key,0,1
#,,
int32,str,str
0,"",""
1,"Kugelform","Verwandelt dich in eine Schlammkugel."
2,"Progenitrix-Form","Verwandelt dich in eine flammende Koboldbombe."
3,"Segen des Lebens","Stellt fortlaufend LP wieder her."
4,"Segen der Stärke","Erhöht ausgeteilten Schaden und wandelt ihn in LP um, erhöht aber auch erlittenen Schaden."
5,"Schnelle Reaktivierung","Verkürzt die Re<SoftHyphen/>ak<SoftHyphen/>ti<SoftHyphen/>vie<SoftHyphen/>rungs<SoftHyphen/>zeit von Talenten."
6,"Supersprint","Erhöht die Be<SoftHyphen/>we<SoftHyphen/>gungs<SoftHyphen/>ge<SoftHyphen/>schwin<SoftHyphen/>dig<SoftHyphen/>keit."
7,"Feindschwächung","Verringert den ausgeteilten Schaden von Gegnern und erhöht ihren erlittenen Schaden."
8,"Nichtsnebel","Erzeugt einen Nebel, der alles im Nichts verschwinden lässt."
9,"Fallenfluch","Erhöht die Anzahl von Fallen."
10,"Desorientierung","Verhüllt die Karte."
