key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,ShopName,,,,,,,,,,,,,,,,,
int32,str,int32,int32,int32,int32,int32,int32,int32,int32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,bit&01
3473408,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3473409,"Ätherwarenhändler",1,4,4,2,3,0,0,0,0,235,210,0,0,0,0,0,True
3473410,"Wertmarken-Scheine eintauschen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473411,"Währungsscheine eintauschen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473412,"Währungsscheine eintauschen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473413,"Währungsscheine eintauschen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473414,"Währungsscheine eintauschen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473415,"Währungsscheine eintauschen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473416,"Währungsscheine eintauschen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473417,"Währungsscheine eintauschen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473418,"Währungsscheine eintauschen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473419,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473420,"Frontberichte eintauschen (Schließkassette)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473421,"Frontberichte eintauschen (Verschiedenes)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473422,"Frontberichte eintauschen (Verschiedenes)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473423,"不用品の交換",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
