key,0,1,2,3,4,5
#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
int32,str,byte,byte,byte,FCActivityCategory,sbyte
0,"",0,0,0,0,-1
1,"Die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft wurde gegründet.",0,0,0,1,0
2,"Der Rang der Freien Ge<SoftHyphen/>sell<SoftHyphen/>schaft ist auf <Value>IntegerParameter(1)</Value> gestiegen!",0,0,1,1,0
3,"Das Verhältnis zum Mahlstrom ist nun „<Sheet(FCReputation,IntegerParameter(2),4)/>“!",1,0,1,1,5
4,"Das Verhältnis zur Bruderschaft der Morgenviper ist nun „<Sheet(FCReputation,IntegerParameter(2),4)/>“!",1,0,1,1,6
5,"Das Verhältnis zur Legion der Unsterblichen ist nun „<Sheet(FCReputation,IntegerParameter(2),4)/>“!",1,0,1,1,7
6,"Du hast neue Rechte („<Sheet(FCRights,IntegerParameter(1),0)/>“) erhalten!",0,0,1,1,0
7,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>bist<Else/>ist</If> der Ge<SoftHyphen/>sell<SoftHyphen/>schaft beigetreten.",4,0,0,2,1
8,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>bist<Else/>ist</If> der Ge<SoftHyphen/>sell<SoftHyphen/>schaft beigetreten.",4,0,0,2,1
9,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>bist<Else/>ist</If> aus der Ge<SoftHyphen/>sell<SoftHyphen/>schaft ausgetreten.",4,0,0,2,2
10,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>bist<Else/>ist</If> aus der Ge<SoftHyphen/>sell<SoftHyphen/>schaft entfernt worden.",4,0,0,2,2
11,"<If(Equal(ObjectParameter(1),ObjectParameter(2)))>Du hast<Else/><If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(3)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,3,1)/><Else/>ObjectParameter(2)</If></If> hat</If> nun den Rang „<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>“.",4,5,0,2,3
12,"<If(Equal(ObjectParameter(1),ObjectParameter(2)))>Du hast<Else/><If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(3)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,3,1)/><Else/>ObjectParameter(2)</If></If> hat</If> nun den Rang „<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>“.",4,5,0,2,3
13,"<If(Equal(ObjectParameter(1),ObjectParameter(2)))>Du hast<Else/><If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(3)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,3,1)/><Else/>ObjectParameter(2)</If></If> hat</If> nun den Rang „<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>“.",4,5,0,2,3
14,"Die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft folgt nun dem Mahlstrom.",0,1,0,1,5
15,"Die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft folgt nun der Bruderschaft der Morgenviper.",0,1,0,1,6
16,"Die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft folgt nun der Legion der Unsterblichen.",0,1,0,1,7
17,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> den Rang „<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>“ bearbeitet.",4,5,0,3,3
18,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> den Rang „<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>“ hinzugefügt.",4,5,0,3,3
19,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> den Rang „<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>“ entfernt.",4,5,0,3,3
20,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> die Hierarchie geändert.",4,0,0,3,3
21,"",4,6,1,0,-1
22,"",4,0,0,0,-1
23,"",4,0,0,0,-1
24,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> das Anschlagbrett aktualisiert.",4,0,0,3,4
25,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> das Ge<SoftHyphen/>sell<SoftHyphen/>schaftsprofil aktualisiert.",4,0,0,3,4
26,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> das Ge<SoftHyphen/>sell<SoftHyphen/>schaftswappen geändert.",4,0,0,3,8
27,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> das Kommando „<Sheet(CompanyAction,IntegerParameter(1),0)/>“ erworben.",4,0,1,4,9
28,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> das Kommando „<Sheet(CompanyAction,IntegerParameter(1),0)/>“ benutzt.",4,0,1,4,9
29,"Diese Aktivität wurde gelöscht.",0,0,0,0,4
30,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> einen Rang in „<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>“ umbenannt.",4,5,0,3,3
31,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> die Anwendung von „<Sheet(CompanyAction,IntegerParameter(1),0)/>“ beendet.",4,0,1,4,9
32,"<Clickable(<If(Equal(ObjectParameter(1),ObjectParameter(2)))><Switch(1)><Case(1)>du</Case><Case(2)>deiner</Case><Case(3)>dir</Case><Case(4)>dich</Case></Switch><Else/><If(PlayerParameter(7))><SheetDe(ObjStr,2,PlayerParameter(7),1,1,1)/><Else/>ObjectParameter(2)</If></If>)/> <If(Equal(ObjectParameter(1),ObjectParameter(2)))>hast<Else/>hat</If> das Kommando „<Sheet(CompanyAction,IntegerParameter(1),0)/>“ entfernt.",4,0,1,4,9
33,"Das Kürzel der Ge<SoftHyphen/>sell<SoftHyphen/>schaft wurde zu „<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>“ geändert.",0,3,0,3,4
34,"Der Name der Ge<SoftHyphen/>sell<SoftHyphen/>schaft wurde zu „<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>“ geändert.",0,2,0,3,4
