key,0
#,Text
int32,str
0,""
1,"Min. <Value>IntegerParameter(1)</Value>er-Strähne"
2,"STR min. <Value>IntegerParameter(1)</Value>"
3,"GESK min. <Value>IntegerParameter(1)</Value>"
4,"KONS min. <Value>IntegerParameter(1)</Value>"
5,"INT min. <Value>IntegerParameter(1)</Value>"
6,"WLK min. <Value>IntegerParameter(1)</Value>"
7,"FRM min. <Value>IntegerParameter(1)</Value>"
8,"Feuer min <Value>IntegerParameter(1)</Value>"
9,"Eis min. <Value>IntegerParameter(1)</Value>"
10,"Wind min. <Value>IntegerParameter(1)</Value>"
11,"Erde min. <Value>IntegerParameter(1)</Value>"
12,"Blitz min. <Value>IntegerParameter(1)</Value>"
13,"Wasser min. <Value>IntegerParameter(1)</Value>"
14,"Sammeln min. <Value>IntegerParameter(1)</Value>"
15,"Expertise min. <Value>IntegerParameter(1)</Value>"
16,"Sammeln max. <Value>IntegerParameter(1)</Value>"
17,"Expertise <If(IntegerParameter(2))>≥<Else/><</If> <Value>IntegerParameter(1)</Value>"
18,"Status „<Sheet(Status,IntegerParameter(1),0)/>“"
19,"Max. SP ≥ <Value>IntegerParameter(1)</Value>"
20,"<Clickable(<Sheet(Item,IntegerParameter(1),9)/>)/> <If(IntegerParameter(2))>ausgerüstet<Else/>nicht ausgerüstet</If>"
