key,0
#,Text
int32,str
0,""
1,"Sammelrate +<Value>IntegerParameter(1)</Value> %"
2,"Sammelrate × <Value>IntegerParameter(1)</Value> "
3,"<If(IntegerParameter(2))>Verfügbar<Else/>Sammelrate <Value>IntegerParameter(1)</Value> %</If>"
4,"Hochstufige +<Value>IntegerParameter(1)</Value> %"
5,"Hochstufige × <Value>IntegerParameter(1)</Value>"
6,"Hochstufige <Value>IntegerParameter(1)</Value> %"
7,"Unter eigener Stufe +<Value>IntegerParameter(1)</Value> %"
8,"Unter eigener Stufe × <Value>IntegerParameter(1)</Value>"
9,"Unter eigener Stufe <Value>IntegerParameter(1)</Value> %"
10,""
11,""
12,""
13,""
14,"Stückzahl +<Value>IntegerParameter(1)</Value>"
15,"Stückzahl × <Value>IntegerParameter(1)</Value>"
16,"Stückzahl <Value>IntegerParameter(1)</Value>"
17,"Stückzahl +<Value>IntegerParameter(1)</Value> (steigend)"
18,"Sammelversuche/Belastbarkeit +<Value>IntegerParameter(1)</Value>"
19,"Sammelversuche/Belastbarkeit +<Value>IntegerParameter(1)</Value> (↑)"
20,"Verborgene × <Value>IntegerParameter(1)</Value> %"
21,"<If(IntegerParameter(2))>Sammlerstück<Else/>Kein Sammlerstück</If>"
22,"Chance auf Stückzahl-Bonus +<Value>IntegerParameter(1)</Value> %"
23,"Chance auf Stückzahl-Bonus +<Value>IntegerParameter(1)</Value> % (↑)"
24,"Bei maximalem Sammlerwert: Erhabenheitsrate +<Value>IntegerParameter(1)</Value> %"
25,"Bei maximalem Sammlerwert: Erhabenheitsrate +<Value>IntegerParameter(1)</Value> % (↑)"
26,"Sammlerwert +<Value>IntegerParameter(1)</Value> (↑)"
27,"Fachkundige Lese: Effektchance +<Value>IntegerParameter(1)</Value> (↑)"
28,"Prüfender Blick: Effektstärke +<Value>IntegerParameter(1)</Value> (↑)"
29,"Intuition: Effektstärke +<Value>IntegerParameter(1)</Value> (↑)"
30,"Sammlerwert +<Value>IntegerParameter(1)</Value>"
31,"Fachkundige Lese: Effektchance +<Value>IntegerParameter(1)</Value>"
32,"Prüfender Blick: Effektstärke +<Value>IntegerParameter(1)</Value>"
33,"Intuition: Effektstärke +<Value>IntegerParameter(1)</Value>"
