key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,Required{Flag},Unlock{Flag},Required{Level},Required{Seals},Reward{Experience},Percent{Base},,GcArmyExpeditionType,Name,Description,Reward{Item}[0],Reward{Item}[1],Reward{Item}[2],Reward{Item}[3],Reward{Item}[4],Reward{Item}[5],Reward{Quantity}[0],Reward{Quantity}[1],Reward{Quantity}[2],Reward{Quantity}[3],Reward{Quantity}[4],Reward{Quantity}[5],Required{Physical}[0],Required{Physical}[1],Required{Physical}[2],Required{Physical}[3],Required{Physical}[4],Required{Physical}[5],Percent{PhysicalMet}[0],Percent{PhysicalMet}[1],Percent{PhysicalMet}[2],Percent{PhysicalMet}[3],Percent{PhysicalMet}[4],Percent{PhysicalMet}[5],Required{Mental}[0],Required{Mental}[1],Required{Mental}[2],Required{Mental}[3],Required{Mental}[4],Required{Mental}[5],Percent{MentalMet}[0],Percent{MentalMet}[1],Percent{MentalMet}[2],Percent{MentalMet}[3],Percent{MentalMet}[4],Percent{MentalMet}[5],Required{Tactical}[0],Required{Tactical}[1],Required{Tactical}[2],Required{Tactical}[3],Required{Tactical}[4],Required{Tactical}[5],Percent{TacticalMet}[0],Percent{TacticalMet}[1],Percent{TacticalMet}[2],Percent{TacticalMet}[3],Percent{TacticalMet}[4],Percent{TacticalMet}[5],Percent{AllMet}[0],Percent{AllMet}[1],Percent{AllMet}[2],Percent{AllMet}[3],Percent{AllMet}[4],Percent{AllMet}[5]
int32,byte,byte,byte,uint16,uint32,byte,byte,GcArmyExpeditionType,str,str,Item,Item,Item,Item,Item,Item,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,8,1,0,7500,100,0,1,"Patrouille des Stadtgebiets","Mehrere Bewohner <Switch(IntegerParameter(1))><Case(1)>Limsa Lominsas</Case><Case(2)>Gridanias</Case><Case(3)>Ul'dahs</Case></Switch> haben verdächtig aussehende Landstreicher gesichtet. Der Befehl lautet: Das Stadtgebiet patrouillieren und für Sicherheit sorgen!",0,0,0,0,0,0,0,0,0,0,0,0,145,145,145,145,145,145,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,20,20,20,20,20,20
2,8,0,1,500,7500,20,0,1,"Lieferung an einen Außenposten","Das Personal <Switch(IntegerParameter(1))><Case(1)>am De Nevelle-Grenzposten</Case><Case(2)>am Stubben</Case><Case(3)>am Sagolii-Grenzposten</Case></Switch> wartet auf neue Marschbefehle. Der Befehl lautet: Die Dokumente sicher ans Ziel bringen!",0,0,0,0,0,0,0,0,0,0,0,0,165,165,165,150,160,150,20,20,20,20,20,20,160,160,170,170,150,160,20,20,20,20,20,20,160,160,150,165,175,175,20,20,20,20,20,20,20,20,20,20,20,20
3,8,0,1,500,9000,20,0,1,"Sicherung der Verkehrswege","Gefährliche Kreaturen attackieren Reisende und Händler <Switch(IntegerParameter(1))><Case(1)>im zentralen La Noscea</Case><Case(2)>im Tiefen Wald</Case><Case(3)>im zentralen Thanalan</Case></Switch>. Der Befehl lautet: Die wichtigsten Verkehrswege sichern!",0,0,0,0,0,0,0,0,0,0,0,0,245,245,150,195,155,195,20,20,20,20,20,20,155,200,255,255,195,155,20,20,20,20,20,20,200,155,195,150,250,250,20,20,20,20,20,20,20,20,20,20,20,20
4,8,0,5,500,10500,20,0,1,"Auskundschaften des Wilden Stammes","Augenzeugen melden eine Anrottung von <Switch(IntegerParameter(1))><Case(1)>Kobolden</Case><Case(2)>Ixal</Case><Case(3)>Amalj'aa</Case></Switch> <Switch(IntegerParameter(1))><Case(1)>im unteren La Noscea</Case><Case(2)>im Südwald</Case><Case(3)>im zentralen Thanalan</Case></Switch>. Der Befehl lautet: Die Ansammlung finden und die feindlichen Aktivitäten beobachten!",0,0,0,0,0,0,0,0,0,0,0,0,150,195,155,245,245,195,20,20,20,20,20,20,255,155,195,200,155,255,20,20,20,20,20,20,195,250,250,155,200,150,20,20,20,20,20,20,20,20,20,20,20,20
5,8,0,10,500,12000,20,0,1,"Geleit eines Versorgungszugs","Ein Feuer hat die Vorräte der Einheit <Switch(IntegerParameter(1))><Case(1)>in Camp Schädeltal</Case><Case(2)>an Amarissaixes Wachturm</Case><Case(3)>in Camp Knochenbleich</Case></Switch> zerstört. Der Befehl lautet: Den Versorgungszug begleiten und beschützen!",0,0,0,0,0,0,0,0,0,0,0,0,210,125,305,305,210,115,20,20,20,20,20,20,125,210,210,130,320,320,20,20,20,20,20,20,310,310,130,210,115,210,20,20,20,20,20,20,20,20,20,20,20,20
6,8,0,15,500,13500,20,0,1,"Schutz von Siedlern","Siedler <Switch(IntegerParameter(1))><Case(1)>im zentralen La Noscea</Case><Case(2)>im Tiefen Wald</Case><Case(3)>im zentralen Thanalan</Case></Switch> werden von ungewöhnlich aggressiven <Switch(IntegerParameter(1))><Case(1)>Goobbue</Case><Case(2)>Baumschraten</Case><Case(3)>Riesenschildkröten</Case></Switch> heimgesucht. Der Befehl lautet: Die Bedrohung für die Siedler beseitigen!",14945,14945,14945,14945,14945,14945,1,1,1,1,1,1,140,225,320,320,130,225,20,20,20,20,20,20,225,140,145,225,335,335,20,20,20,20,20,20,325,325,225,145,225,130,20,20,20,20,20,20,20,20,20,20,20,20
7,10,12,20,2000,21000,0,0,1,"★ Beseitigung eines Nichtsgesandten","Wildkraut-Sammler haben <Switch(IntegerParameter(1))><Case(1)>in der Flüsterklamm</Case><Case(2)>am Geisterkerker</Case><Case(3)>bei Nophicas Brunnen</Case></Switch> einen Nichts<SoftHyphen/>gesand<SoftHyphen/>ten niederen Ranges gesichtet. Der Befehl lautet: Den Dämonen beseitigen und nach weiteren Nichts<SoftHyphen/>gesand<SoftHyphen/>ten Ausschau halten!",15772,15772,15772,15772,15772,15772,1,1,1,1,1,1,225,225,225,225,225,225,0,0,0,0,0,0,205,205,205,205,205,205,0,0,0,0,0,0,230,230,230,230,230,230,0,0,0,0,0,0,100,100,100,100,100,100
