key,0,1,2,3,4,5,6,7,8,9,10
#,,,,,,,,,,,
int32,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,str
0,0,0,0,0,0,0,0,0,0,0,""
1,10,100,10,100,15,100,15,100,20,100,"Kraft +<Indent/><Value>IntegerParameter(1)</Value><Indent/>%"
2,10,100,10,100,15,100,15,100,20,100,"Moral +<Indent/><Value>IntegerParameter(1)</Value><Indent/>%"
3,10,100,10,100,15,100,15,100,20,100,"Taktik +<Indent/><Value>IntegerParameter(1)</Value><Indent/>%"
4,3,100,3,100,3,100,3,100,5,100,"Kraft (alle) +<Indent/><Value>IntegerParameter(1)</Value><Indent/>%"
5,3,100,3,100,3,100,3,100,5,100,"Moral (alle) +<Indent/><Value>IntegerParameter(1)</Value><Indent/>%"
6,3,100,3,100,3,100,3,100,5,100,"Taktik (alle) +<Indent/><Value>IntegerParameter(1)</Value><Indent/>%"
7,10,100,10,100,20,100,20,100,30,100,"Routine +<Indent/><Value>IntegerParameter(1)</Value><Indent/>%"
8,5,100,5,100,10,100,10,100,15,100,"Routine (alle) +<Indent/><Value>IntegerParameter(1)</Value><Indent/>%"
9,10,100,20,100,30,100,40,100,50,100,"Kameradenbonus erhalten (alle) +<Indent/><Value>IntegerParameter(1)</Value><Indent/>%"
10,0,10,0,20,0,30,0,40,0,50,"Fundchance für „Ausbildungs<SoftHyphen/>buch: Verteidiger“ <Value>IntegerParameter(1)</Value><Indent/>%"
11,0,10,0,20,0,30,0,40,0,50,"Fundchance für „Ausbildungs<SoftHyphen/>buch: Magier“ <Value>IntegerParameter(1)</Value><Indent/>%"
12,0,10,0,20,0,30,0,40,0,50,"Fundchance für „Ausbildungs<SoftHyphen/>buch: Angreifer“ <Value>IntegerParameter(1)</Value><Indent/>%"
13,0,10,0,20,0,30,0,40,0,50,"Fundchance für Gil <Value>IntegerParameter(1)</Value><Indent/>%"
14,0,10,0,20,0,30,0,40,0,50,"Fundchance für Staatstaler <Value>IntegerParameter(1)</Value><Indent/>%"
15,0,10,0,20,0,30,0,40,0,50,"Fundchance für MGP <Value>IntegerParameter(1)</Value><Indent/>%"
16,0,10,0,20,0,30,0,40,0,50,"Fundchance für Verteidiger-Materia <Value>IntegerParameter(1)</Value><Indent/>%"
17,0,10,0,20,0,30,0,40,0,50,"Fundchance für Physischer-Angreifer-Materia <Value>IntegerParameter(1)</Value><Indent/>%"
18,0,10,0,20,0,30,0,40,0,50,"Fundchance für Magier-Materia <Value>IntegerParameter(1)</Value><Indent/>%"
19,0,10,0,20,0,30,0,40,0,50,"Fundchance für Sammler-Materia <Value>IntegerParameter(1)</Value><Indent/>%"
20,0,10,0,20,0,30,0,40,0,50,"Fundchance für Handwerker-Materia <Value>IntegerParameter(1)</Value><Indent/>%"
21,0,10,0,20,0,30,0,40,0,50,"Fundchance für Polykristalle <Value>IntegerParameter(1)</Value><Indent/>%"
22,0,10,0,20,0,30,0,40,0,50,"Fundchance für Sammlerscheine <Value>IntegerParameter(1)</Value><Indent/>%"
23,0,10,0,20,0,30,0,40,0,50,"Fundchance für Handwerkerscheine <Value>IntegerParameter(1)</Value><Indent/>%"
