key,0,1,2,3,4
#,Type,,,,Text
int32,HWDInfoBoardArticleType,byte,uint16,bit&01,str
0,0,0,0,False,""
1,0,0,0,False,""
2,0,0,0,False,""
3,0,0,0,False,""
4,0,0,0,False,""
5,1,0,0,True,""
6,1,0,0,True,""
7,1,0,0,True,""
8,1,0,0,True,""
9,1,0,0,True,""
10,1,0,0,True,""
11,1,0,0,True,""
12,2,1,1,True,"<Switch(IntegerParameter(1))><Case(1)>Platz der Habenichtse: Erste Phase</Case><Case(2)>(Nr.1) Platz der Habenichtse: Erste Phase</Case></Switch>"
13,2,1,2,False,"<Switch(IntegerParameter(1))><Case(1)>Helfer gesucht!</Case><Case(2)>(Nr.2) Helfer gesucht!</Case></Switch>"
14,2,4,3,True,"<Switch(IntegerParameter(1))><Case(1)>Platz der Habenichtse: Zweite Phase</Case><Case(2)>(Nr.3) Platz der Habenichtse: Zweite Phase</Case></Switch>"
15,2,4,4,False,"<Switch(IntegerParameter(1))><Case(1)>Helfer gesucht!</Case><Case(2)>(Nr.4) Helfer gesucht!</Case></Switch>"
16,2,7,5,True,"<Switch(IntegerParameter(1))><Case(1)>Platz der Habenichtse: Dritte Phase</Case><Case(2)>(Nr.5) Platz der Habenichtse: Dritte Phase</Case></Switch>"
17,2,7,6,False,"<Switch(IntegerParameter(1))><Case(1)>Lizbeth sucht Helfer!</Case><Case(2)>(Nr.6) Lizbeth sucht Helfer!</Case></Switch>"
18,2,10,7,True,"<Switch(IntegerParameter(1))><Case(1)>Platz der Habenichtse: Das Werk ist vollendet!</Case><Case(2)>(Nr.7) Platz der Habenichtse: Das Werk ist vollendet!</Case></Switch>"
19,3,1,2,True,"Sammlerstücke gefragt!"
20,3,1,3,True,"Der Wieder<SoftHyphen/>aufbau Ishgards: Aufgaben"
21,3,1,1,True,"Der Wieder<SoftHyphen/>aufbau Ishgards"
22,1,0,0,True,""
23,1,0,0,True,""
24,1,0,0,True,""
25,1,0,0,True,""
26,2,11,1,True,"<Switch(IntegerParameter(1))><Case(1)>Kreuzkarst-Spalier</Case><Case(2)>(Nr.1) Kreuzkarst-Spalier</Case></Switch>"
27,2,11,2,False,"<Switch(IntegerParameter(1))><Case(1)>Und weiter geht's!</Case><Case(2)>(Nr.2) Und weiter geht's!</Case></Switch>"
28,2,14,3,False,"<Switch(IntegerParameter(1))><Case(1)>Einen Schritt weiter am Spalier!</Case><Case(2)>(Nr.3) Einen Schritt weiter am Spalier!</Case></Switch>"
29,2,16,4,False,"<Switch(IntegerParameter(1))><Case(1)>Neues Pflaster für die Himmelsstadt!</Case><Case(2)>(Nr.4) Neues Pflaster für die Himmelsstadt!</Case></Switch>"
30,2,19,5,False,"<Switch(IntegerParameter(1))><Case(1)>Nächstes Projekt: der Brunnen!</Case><Case(2)>(Nr.5) Nächstes Projekt: der Brunnen!</Case></Switch>"
31,2,21,6,True,"<Switch(IntegerParameter(1))><Case(1)>Die Estrade der Sankt Roelle</Case><Case(2)>(Nr.6) Die Estrade der Sankt Roelle</Case></Switch>"
32,2,21,7,False,"<Switch(IntegerParameter(1))><Case(1)>Spatenstich für eine neue Straße!</Case><Case(2)>(Nr.7) Spatenstich für eine neue Straße!</Case></Switch>"
33,2,24,8,False,"<Switch(IntegerParameter(1))><Case(1)>An unsere anmutigen Arbeiterinnen und Arbeiter</Case><Case(2)>(Nr.8) An unsere anmutigen Arbeiterinnen und Arbeiter</Case></Switch>"
34,2,26,9,False,"<Switch(IntegerParameter(1))><Case(1)>Stein neben Stein!</Case><Case(2)>(Nr.9) Stein neben Stein!</Case></Switch>"
35,2,29,10,False,"<Switch(IntegerParameter(1))><Case(1)>Stolz ist das Handwerk!</Case><Case(2)>(Nr.10) Stolz ist das Handwerk!</Case></Switch>"
36,2,30,11,True,"<Switch(IntegerParameter(1))><Case(1)>Das Genist</Case><Case(2)>(Nr.11) Das Genist</Case></Switch>"
37,2,30,12,False,"<Switch(IntegerParameter(1))><Case(1)>Schutt weg und Häuser her!</Case><Case(2)>(Nr.12) Schutt weg und Häuser her!</Case></Switch>"
38,2,33,13,False,"<Switch(IntegerParameter(1))><Case(1)>Wir kommen großartig voran!</Case><Case(2)>(Nr.13) Wir kommen großartig voran!</Case></Switch>"
39,2,35,14,False,"<Switch(IntegerParameter(1))><Case(1)>Der Schutt ist fast geschaufelt!</Case><Case(2)>(Nr.14) Der Schutt ist fast geschaufelt!</Case></Switch>"
40,2,37,15,False,"<Switch(IntegerParameter(1))><Case(1)>Pflastern für die Zukunft</Case><Case(2)>(Nr.15) Pflastern für die Zukunft</Case></Switch>"
41,2,40,16,False,"<Switch(IntegerParameter(1))><Case(1)>Es geht an die Häuser!</Case><Case(2)>(Nr.16) Es geht an die Häuser!</Case></Switch>"
42,2,43,17,False,"<Switch(IntegerParameter(1))><Case(1)>Das Genist nimmt Gestalt an!</Case><Case(2)>(Nr.17) Das Genist nimmt Gestalt an!</Case></Switch>"
43,2,46,18,False,"<Switch(IntegerParameter(1))><Case(1)>Wir sind im Endspurt!</Case><Case(2)>(Nr.18) Wir sind im Endspurt!</Case></Switch>"
44,2,48,19,True,"<Switch(IntegerParameter(1))><Case(1)>Das Genist: Das Werk ist vollendet!</Case><Case(2)>(Nr.19) Das Genist: Das Werk ist vollendet!</Case></Switch>"
45,3,11,4,True,"Das Glücks-Kupo"
46,3,11,5,True,"Das Diadem"
47,1,0,0,True,""
48,1,0,0,True,""
49,1,0,0,True,""
50,1,0,0,True,""
51,2,49,1,True,"<Switch(IntegerParameter(1))><Case(1)>Federfall-Quartier</Case><Case(2)>(Nr. 1) Federfall-Quartier</Case></Switch>"
52,2,50,2,False,"<Switch(IntegerParameter(1))><Case(1)>Kräftige Helfer gesucht!</Case><Case(2)>(Nr. 2) Kräftige Helfer gesucht!</Case></Switch>"
53,2,52,3,False,"<Switch(IntegerParameter(1))><Case(1)>Die Trümmer müssen weg!</Case><Case(2)>(Nr. 3) Die Trümmer müssen weg!</Case></Switch>"
54,2,54,4,False,"<Switch(IntegerParameter(1))><Case(1)>Vielen Dank für euren unermüdlichen Einsatz!</Case><Case(2)>(Nr. 4) Vielen Dank für euren unermüdlichen Einsatz!</Case></Switch>"
55,2,56,5,False,"<Switch(IntegerParameter(1))><Case(1)>Helfende Hände gesucht!</Case><Case(2)>(Nr. 5) Helfende Hände gesucht!</Case></Switch>"
56,2,59,6,False,"<Switch(IntegerParameter(1))><Case(1)>Lasst uns etwas Großes vollbringen!</Case><Case(2)>(Nr. 6) Lasst uns etwas Großes vollbringen!</Case></Switch>"
57,2,62,7,False,"<Switch(IntegerParameter(1))><Case(1)>Bitte helft uns bei der Errichtung der Gebäude!</Case><Case(2)>(Nr. 7) Bitte helft uns bei der Errichtung der Gebäude!</Case></Switch>"
58,2,65,8,False,"<Switch(IntegerParameter(1))><Case(1)>Endspurt beim Bau der Wohnungen!</Case><Case(2)>(Nr. 8) Endspurt beim Bau der Wohnungen!</Case></Switch>"
59,2,67,9,True,"<Switch(IntegerParameter(1))><Case(1)>Arbeiten auf der Allee des Abakus</Case><Case(2)>(Nr. 9) Arbeiten auf der Allee des Abakus</Case></Switch>"
60,2,68,10,False,"<Switch(IntegerParameter(1))><Case(1)>Arbeiten auf der Allee des Abakus</Case><Case(2)>(Nr. 10) Arbeiten auf der Allee des Abakus</Case></Switch>"
61,2,70,11,False,"<Switch(IntegerParameter(1))><Case(1)>Versucht euer Glück auf der Allee des Abakus!</Case><Case(2)>(Nr. 11) Versucht euer Glück auf der Allee des Abakus!</Case></Switch>"
62,2,73,12,False,"<Switch(IntegerParameter(1))><Case(1)>Prachtvolle Statue für die Allee des Abakus</Case><Case(2)>(Nr. 12) Prachtvolle Statue für die Allee des Abakus</Case></Switch>"
63,2,74,13,True,"<Switch(IntegerParameter(1))><Case(1)>Arbeiten am Raureif-Refugium</Case><Case(2)>(Nr. 13) Arbeiten am Raureif-Refugium</Case></Switch>"
64,2,75,14,False,"<Switch(IntegerParameter(1))><Case(1)>Ein großes Gebäude erfordert eure Hilfe!</Case><Case(2)>(Nr. 14) Ein großes Gebäude erfordert eure Hilfe!</Case></Switch>"
65,2,79,15,True,"<Switch(IntegerParameter(1))><Case(1)>Federfall-Quartier: Das Werk ist vollendet!</Case><Case(2)>(Nr. 15) Federfall-Quartier: Das Werk ist vollendet!</Case></Switch>"
66,1,0,0,True,""
67,1,0,0,True,""
68,1,0,0,True,""
69,1,0,0,True,""
70,1,0,0,True,""
71,2,80,1,True,"<Switch(IntegerParameter(1))><Case(1)>Westliches Himmelsang</Case><Case(2)>(Nr.1) Westliches Himmelsang</Case></Switch>"
72,2,81,2,False,"<Switch(IntegerParameter(1))><Case(1)>Schuttarbeiten in Himmelsang!</Case><Case(2)>(Nr.2) Schuttarbeiten in Himmelsang!</Case></Switch>"
73,2,83,3,False,"<Switch(IntegerParameter(1))><Case(1)>Pflastersetzer für Himmelsang!</Case><Case(2)>(Nr.3) Pflastersetzer für Himmelsang!</Case></Switch>"
74,2,86,4,False,"<Switch(IntegerParameter(1))><Case(1)>Ein Kulturviertel entsteht!</Case><Case(2)>(Nr.4) Ein Kulturviertel entsteht!</Case></Switch>"
75,2,89,5,False,"<Switch(IntegerParameter(1))><Case(1)>Gemeinsame Schaffenskraft!</Case><Case(2)>(Nr.5) Gemeinsame Schaffenskraft!</Case></Switch>"
76,2,92,6,False,"<Switch(IntegerParameter(1))><Case(1)>Die letzten Arbeiten stehen an in Himmelsang!</Case><Case(2)>(Nr.6) Die letzten Arbeiten stehen an in Himmelsang!</Case></Switch>"
77,2,94,7,True,"<Switch(IntegerParameter(1))><Case(1)>Eine Passage für die Barden!</Case><Case(2)>(Nr.7) Eine Passage für die Barden!</Case></Switch>"
78,2,95,8,False,"<Switch(IntegerParameter(1))><Case(1)>Handwerker zur Balladenpassage!</Case><Case(2)>(Nr.8) Handwerker zur Balladenpassage!</Case></Switch>"
79,2,97,9,False,"<Switch(IntegerParameter(1))><Case(1)>Östliches Himmelsang</Case><Case(2)>(Nr.9) Östliches Himmelsang</Case></Switch>"
80,2,98,10,False,"<Switch(IntegerParameter(1))><Case(1)>Schaufeln und Schubkarren gesucht!</Case><Case(2)>(Nr.10) Schaufeln und Schubkarren gesucht!</Case></Switch>"
81,2,100,11,False,"<Switch(IntegerParameter(1))><Case(1)>Straßenarbeiten im östlichen Himmelsang!</Case><Case(2)>(Nr.11) Straßenarbeiten im östlichen Himmelsang!</Case></Switch>"
82,2,103,12,True,"<Switch(IntegerParameter(1))><Case(1)>Am Anfang war das Fundament</Case><Case(2)>(Nr.12) Am Anfang war das Fundament</Case></Switch>"
83,2,106,13,False,"<Switch(IntegerParameter(1))><Case(1)>Häuser fürs Volk!</Case><Case(2)>(Nr.13) Häuser fürs Volk!</Case></Switch>"
84,2,108,14,True,"<Switch(IntegerParameter(1))><Case(1)>Winterliche Wonnen</Case><Case(2)>(Nr.14) Winterliche Wonnen</Case></Switch>"
