key,0,1,2
#,Image,Text,NpcName
int32,Image,str,str
0,0,"",""
1,0,"",""
2,0,"",""
3,0,"",""
4,0,"",""
5,0,"Der Wieder<SoftHyphen/>aufbau der Himmelsstadt hat nunmehr offiziell begonnen.","Francel"
6,0,"Der Wieder<SoftHyphen/>aufbau der Himmelsstadt hat nunmehr offiziell begonnen.","Francel"
7,0,"Die Hauptannahmestelle ist hiermit eröffnet!","Potkin"
8,0,"Die Hauptannahmestelle ist hiermit eröffnet!","Potkin"
9,0,"Schaffen wir uns ein wahres Handwerkerparadies!","Lizbeth"
10,0,"Schaffen wir uns ein wahres Handwerkerparadies!","Lizbeth"
11,0,"Der Platz der Habenichtse wurde vollständig wiederaufgebaut!","Francel"
12,70301,"An alle Helferinnen und Helfer,

Mein Name ist Francel Haillenarte und ich bekleide das Amt des Generaldirektors dieses Projekts. Dank eurer vielen Mühen hat der Wieder<SoftHyphen/>aufbau der Himmelsstadt offiziell begonnen. Momentan richten sich all unsere Bestrebungen auf den Platz der Habenichtse, das Forum gleich am Eingang der Himmelsstadt. Nach dessen Fertigstellung wird er als der offizielle Knotenpunkt für alle Handwerker und Sammler dienen. Damit bildet der Platz der Habenichtse auch die Basis für zukünftige Projekte und eine zügige Fertigstellung hat oberste Priorität. Ich danke allen Helferinnen und Helfern aus tiefstem Herzen.

Francel Haillenarte",""
13,70302,"Sobald wir genügend Material gesammelt haben, können wir mit dem Aufbauprojekt der ersten Phase beginnen. Der Arbeitsablauf eines solchen Projekts gestaltet sich wie folgt:

1. Materialien von einem Materialstapel holen
2. Die Materialien an einer Werkbank verarbeiten
3. Die fertigen Erzeugnisse zu einer Baustelle bringen

Und das war's auch schon.

Grüße
Augebert",""
14,70303,"Hier spricht (be<SoftHyphen/>ziehungs<SoftHyphen/>weise schreibt) Potkin von der Hauptannahmestelle!

Ich danke allen Helferinnen und Helfern herzlich für die Unterstützung zum Aufbau der Ostseite unseres Platzes. Endlich kann ich alle Lieferungen mit einem Dach über dem Kopf entgegennehmen. Nun wollen wir uns jedoch auch um die Westseite kümmern und planen dort ähnliche Einrichtungen zu errichten. Demnach bitte ich auch weiterhin um tatkräftige Unterstützung!

Vielen Dank
Potkin",""
15,70304,"Und auf ein Neues, meine Lieben. Sobald wir genügend Material gesammelt haben, können wir mit dem Aufbauprojekt der zweiten Phase beginnen. Der Arbeitsablauf ist genau derselbe wie beim letzten Mal:

1. Benötigte Materialien von einem Materialstapel holen
2. Die Materialien an einer Werkbank verarbeiten
3. Die fertigen Erzeugnisse zu einer Baustelle bringen

Und das war's auch schon.

Grüße
Augebert",""
16,70305,"Liebe Helferinnen und Helfer,

Vielen Dank für eure harte Arbeit! Der Platz der Habenichtse ist der Dreh- und Angelpunkt unseres gesamten Wieder<SoftHyphen/>aufbauprojektes. Daher haben wir es uns zum Ziel gesetzt, ihn zu <Emphasis>der</Emphasis> perfekten Arbeitsumgebung für all unsere fleißigen Unterstützerinnen und Unterstützer zu machen!

Insbesondere wünschen wir uns mehr Licht und weitere Anschlagtafeln. Dafür benötigen wir selbst<SoftHyphen/>verständ<SoftHyphen/>lich haufenweise Baumaterial und bitten abermals um tatkräftige Mithilfe!

Lizbeth",""
17,70306,"Willkommen in der dritten Phase. Diesmal zwei Projekte:

<Emphasis>Erhaltung des Wachfeuers</Emphasis>
1. Materialien von einem Materialstapel holen
2. Brennstoff an einer der Werkbänke herstellen
3. Den Brennstoff ins Feuer legen

<Emphasis>Zusätzliche Anschlagtafeln</Emphasis>
1. Materialien von einem Materialstapel holen
2. Die Materialien an einer Werkbank verarbeiten
3. Die fertigen Erzeugnisse zu einer Baustelle bringen

Augebert",""
18,70307,"Ich darf mit Freuden verkünden, dass der Wieder<SoftHyphen/>aufbau des Platzes der Habenichtse vollständig abgeschlossen ist. Ich danke allen Helferinnen und Helfern vielmals für ihre Mühen<Indent/>- ohne die vielen Lieferungen und handwerklichen Meisterleistungen hätten wir es niemals bis hierher geschafft. Nun bitte ich um Geduld, bis das nächste Großprojekt beschlossen ist. Auch dann werden wir wieder auf vielseitige Unterstützung angewiesen sein, um diese Stadt zu neuem Leben zu erwecken.

Auf eine Himmelsstadt, die jedem ein Zuhause ist.
Auf eine Himmelsstadt, auf die wir stolz sein können.

Francel Haillenarte",""
19,0,"Für den Wieder<SoftHyphen/>aufbau der Himmelsstadt werden spezielle Sammlerstücke erbeten.

Bitte wendet euch an Potkin für eine genauere Erklärung solcher Lieferungen. Danach kann im Handwerker-Notizbuch unter „Der Wieder<SoftHyphen/>aufbau Ishgards“ eingesehen werden, was benötigt wird. Potkin nimmt alle hergestellten Sammlerstücke entgegen und vergütet sie nach Qualität und Art mit <SheetDe(Item,5,28063,2,3,1)/>.

Wir freuen uns auf viele Lieferungen und eine im neuen Glanz erstrahlende Himmelsstadt.",""
20,0,"Die Aufbauprojekte der Himmelsstadt sind gemeinschaftliche Unternehmungen, die freigegeben werden, sobald alle benötigten Materialien abgeliefert wurden.

Um die Teilnahme so vieler Helferinnen und Helfer wie möglich zu gewährleisten, wird der Beginn eines jeden Aufbauprojekts frühzeitig am <SheetDe(EObj,5,2010775,1,3,1)/> bekannt gegeben. Bitte haltet euch diesbezüglich auf dem Laufenden.

Die Aufbauprojekte reichen von Beseitigung von Schutt bis zur Errichtung von Gebäuden. Welche Arbeiten genau anfallen, ist ebenfalls dem Schwarzen Brett zu entnehmen. Die Teilnahme an solcherlei Projekten wird mit <SheetDe(Item,5,28063,2,3,1)/> vergütet.

Wir danken allen Unterstützerinnen und Unterstützern für ihre Mühen.

<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Die Arbeiten sind abgeschlossen. Es sind keine weiteren Aufbauprojekte gepalnt.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>",""
