key,0
#,Text
int32,str
0,""
1,"Achtung: Wenn der Gegenstand einmal platziert ist, kann er nicht mehr auf dem Markt verkauft werden.
Bitte beachte, dass der Gegenstand in den folgenden Fällen <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>unwiderruflich verloren<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gehen kann:
- Der Gegenstand wird durch einen anderen Spieler entfernt.
- Du verlässt die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft durch Austritt oder Ausschluss.
- Die Wohngemeinschaft wird aufgelöst.
- Das Grundstück wird geräumt oder niedergerissen.

Trotzdem fortfahren?"
2,"Achtung: Wenn der Gegenstand einmal platziert ist, kann er nicht mehr in das Inventar zurückgelegt werden.
Bitte beachte, dass der Gegenstand in den folgenden Fällen <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>unwiderruflich verloren<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gehen kann:
- Der Gegenstand wird durch einen anderen Spieler entfernt.
- Du verlässt die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft durch Austritt oder Ausschluss.
- Die Wohngemeinschaft wird aufgelöst.
- Das Grundstück wird geräumt oder niedergerissen.

Trotzdem fortfahren?"
3,"Achtung: Dieser Gegenstand wurde im Online Store gekauft oder für einen Produktcode eingetauscht. Er kann nicht auf dem Markt verkauft oder mit anderen Spielern gehandelt werden.
Bitte beachte, dass der Gegenstand in den folgenden Fällen <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>unwiderruflich verloren<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gehen kann:
- Der Gegenstand wird durch einen anderen Spieler entfernt.
- Du verlässt die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft durch Austritt oder Ausschluss.
- Die Wohngemeinschaft wird aufgelöst.
- Das Grundstück wird geräumt oder niedergerissen.

Trotzdem fortfahren?"
4,"Achtung: Wenn der Gegenstand einmal platziert ist, kann er nicht mehr in das Inventar zurückgelegt werden.
Bitte beachte, dass der Gegenstand in den folgenden Fällen <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>unwiderruflich verloren<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gehen kann:
- Der Gegenstand wird durch einen anderen Spieler entfernt.
- Du verlässt die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft durch Austritt oder Ausschluss.
- Die Wohngemeinschaft wird aufgelöst.

Trotzdem fortfahren?"
5,"Achtung: Dieser Gegenstand kann nicht auf dem Markt verkauft oder mit anderen Spielern gehandelt werden.
Bitte beachte, dass der Gegenstand in den folgenden Fällen <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>unwiderruflich verloren<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gehen kann:
- Der Gegenstand wird durch einen anderen Spieler entfernt.
- Du verlässt die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft durch Austritt oder Ausschluss.
- Die Wohngemeinschaft wird aufgelöst.
- Das Grundstück wird geräumt oder niedergerissen.

Trotzdem fortfahren?"
6,"Achtung: Dieser Gegenstand kann nicht auf dem Markt verkauft werden.
Bitte beachte, dass der Gegenstand in den folgenden Fällen <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>unwiderruflich verloren<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gehen kann:
- Der Gegenstand wird durch einen anderen Spieler entfernt.
- Du verlässt die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft durch Austritt oder Ausschluss.
- Die Wohngemeinschaft wird aufgelöst.
- Das Grundstück wird geräumt oder niedergerissen.

Trotzdem fortfahren?"
7,"Achtung: Dieser Gegenstand wurde im Online Store gekauft oder für einen Produktcode eingetauscht. Er kann nicht auf dem Markt verkauft oder mit anderen Spielern gehandelt werden.
Außerdem kann der Gegenstand, wenn er <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>einmal benutzt<UIGlow>01</UIGlow><UIForeground>01</UIForeground> wird, nicht mehr ins Inventar zurückgelegt werden.
Bitte beachte, dass der Gegenstand in den folgenden Fällen <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>unwiderruflich verloren<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gehen kann:
- Der Gegenstand wird durch einen anderen Spieler entfernt.
- Du verlässt die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft durch Austritt oder Ausschluss.
- Die Wohngemeinschaft wird aufgelöst.
- Das Grundstück wird geräumt oder niedergerissen.

Trotzdem fortfahren?"
8,"Achtung: Dieser Gegenstand kann nicht auf dem Markt verkauft oder mit anderen Spielern gehandelt werden.
Außerdem kann der Gegenstand, wenn er <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>einmal benutzt<UIGlow>01</UIGlow><UIForeground>01</UIForeground> wird, nicht mehr ins Inventar zurückgelegt werden.
Bitte beachte, dass der Gegenstand in den folgenden Fällen <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>unwiderruflich verloren<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gehen kann:
- Der Gegenstand wird durch einen anderen Spieler entfernt.
- Du verlässt die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft durch Austritt oder Ausschluss.
- Die Wohngemeinschaft wird aufgelöst.
- Das Grundstück wird geräumt oder niedergerissen.

Trotzdem fortfahren?"
9,"Achtung: Wenn der Gegenstand einmal platziert ist, kann er nicht mehr auf dem Markt verkauft werden.
Außerdem kann der Gegenstand, wenn er <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>einmal benutzt<UIGlow>01</UIGlow><UIForeground>01</UIForeground> wird, nicht mehr ins Inventar zurückgelegt werden.
Bitte beachte, dass der Gegenstand in den folgenden Fällen <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>unwiderruflich verloren<UIGlow>01</UIGlow><UIForeground>01</UIForeground> gehen kann:
- Der Gegenstand wird durch einen anderen Spieler entfernt.
- Du verlässt die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft durch Austritt oder Ausschluss.
- Die Wohngemeinschaft wird aufgelöst.
- Das Grundstück wird geräumt oder niedergerissen.

Trotzdem fortfahren?"
