key,0
#,Objective
int32,str
0,""
1,"Besiege die Gegner"
2,"Besorge die Gegenstände"
3,"Vernichte alle Gegner"
4,"Verfolge und vernichte alle Gegner"
5,"Schwäche den Gegner und besänftige ihn <If(Equal(IntegerParameter(1),0))>mit dem Emote „Beruhigen“<Else/>mit <SheetDe(EventItem,5,IntegerParameter(1),2,3,1)/></If>"
6,"<If(Equal(IntegerParameter(1),0))>Greif an<Else/>Benutze <SheetDe(EventItem,5,IntegerParameter(1),2,4,1)/></If>, um die Gegner zu enttarnen, und besiege sie"
7,"Beseitige die Gegner im Zielgebiet"
8,"Sammle die Seiten des „Nekrologs“ und besiege das daraus erscheinende Monster"
9,"Geleite <SheetDe(BNpcName,2,IntegerParameter(1),1,4,1)/> zum Ziel"
10,"Sammle die Gegenstände in allen Zielgebieten
Bonus für Bewertung von
min. 320: +25 %
min. 303: +10 %
min. 286: +5 %"
11,"Besorge die Gegenstände"
12,"Gehe in alle Zielgebiete und besorge die Gegenstände"
13,"Vermerke die Sammelarbeiten
Bonus für Bewertung von
min. 160: +25 %
min. 152: +10 %
min. 143: +5 %"
14,"Bring das Geforderte am Zielobjekt an"
15,"Bei zu wenigen Gegenständen scheitert die Mission"
16,"Such am Zielort"
17,"Lock das Ziel hervor und vernichte es."
18,"Sammle die Gegenstände in allen Zielgebieten
Bonus für Bewertung von
min. 479: +25 %
min. 454: +10 %
min. 429: +5 %"
19,"Untersuche alle Zielgebiete
Bonus für Bewertung von
min. 240: +25 %
min. 227: +10 %
min. 215: +5 %"
20,"Sammle die Seiten des „Nekrologs“ und besiege das daraus erscheinende Monster"
21,"Fortschritt"
22,"Abgesuchte Gebiete"
23,"Schwäche das Ziel vorm Besänftigen, aber schlag es nicht k. o. "
24,"Ringe <SheetDe(BNpcName,2,IntegerParameter(1),2,3,1)/> <SheetDe(EventItem,5,IntegerParameter(2),2,4,1)/> ab, um Monster zu enttarnen"
25,"Wenn <SheetDe(BNpcName,2,IntegerParameter(1),1,1,1)/> k. o. geht, scheitert die Mission"
26,"Beschütze das Missionsobjekt und besiege die Gegner"
27,"Besiege so viele Gegner wie möglich"
28,"Finde den Gegner mit <SheetDe(EventItem,5,IntegerParameter(1),2,3,1)/> und besiege ihn"
29,""
30,"Besiege die Gegner, die Verstärkung rufen"
31,"Bei zu wenig besiegten Gegnern scheitert die Mission"
32,"Besiege Gegner, die auf das <If(Equal(IntegerParameter(1),1))>/stups<Else/>/schuld</If> Emote reagieren und sammle <SheetDe(EventItem,2,IntegerParameter(2),2,4,1)/> auf."
33,"Mission misslingt, wenn alle <SheetDe(BNpcName,5,IntegerParameter(1),2,1,1)/> verloren gehen"
34,"Benutze <SheetDe(EventItem,2,IntegerParameter(2),2,4,1)/> von <SheetDe(BNpcName,2,IntegerParameter(1),2,3,1)/> an <SheetDe(EObj,2,IntegerParameter(3),2,3,1)/>, um <SheetDe(BNpcName,5,IntegerParameter(4),2,4,1)/> anzulocken"
35,"Schwäche das Ziel vor dem Besänftigen, sonst rastet es aus"
