key,0,1
#,,
int32,str,str
0,"",""
1,"",""
2,"",""
3,"",""
4,"Verringerte Schwierigkeit","Die folgenden Änderungen wurden an epischen Inhalten vorgenommen:
- Keine Speicherung des Fortschritts für einzelne Inhalte.
- Die Option „Fortschritt“ ist nicht länger verfügbar.
- Bei Abschluss erscheinen immer zwei Schatztruhen.
- Kein Wochenlimit für Gegenstände aus Schatztruhen.
"
5,"Suchkriterien","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Suchkriterien<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Das Suchkriterium „Abgeschlossen“ ist erst verfügbar, wenn der Inhalt einmal abgeschlossen wurde.

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Ziel<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Das Ziel „Raid abschließen“ ist nur verfügbar, wenn die wöchentliche Vergütung noch nicht erhalten wurde.

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Fokus der Übung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Dies ist nur verfügbar, wenn „Raid üben“ als „Ziel“ ausgewählt ist. Durch die Wahl eines Übungsfokus werden keine Phasen übersprungen.

Die Registrierung wird abgebrochen, wenn der Zeitpunkt für die Zurücksetzung des Wochenlimits überschritten ist."
6,"Spielfortschritt","Der Fortschritt in den neuesten epischen Raids wird an bestimmten Stellen gespeichert, um ein späteres Weiterspielen zu ermöglichen.

Der Fortschritt wird jeweils am <ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>Sonntag</Case><Case(2)>Montag</Case><Case(3)>Dienstag</Case><Case(4)>Mittwoch</Case><Case(5)>Donnerstag</Case><Case(6)>Freitag</Case><Case(7)>Samstag</Case></Switch> um <If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr (Erdenzeit) zurückgesetzt.
"
7,"Vergütung","Spieler, die weiter fortgeschritten sind als der Gruppenanführer, erhalten für bereits abgeschlossene Abschnitte keine Vergütung.

Die Anzahl der erscheinenden Schatztruhen kann sich also von Gruppe zu Gruppe unterscheiden.
　・0 Spieler = 1 Schatztruhe
　・1-4 Spieler = 1 Schatztruhe
　・5 oder mehr = Keine Schatztruhen
 
In Gruppen von 1-8 Spielern, die über die Raid-Suche zu<SoftHyphen/>sammen<SoftHyphen/>gestellt wurden, können die Belohnungen je nach Spielfortschritt der Spieler abweichen."
