key,0,1,2,3,4,5,6,7,8,9,10
#,Quest,,UITab,Category,,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,ChapterName,ChapterPart,Transient
int32,Quest,uint32,QuestRedoChapterUITab,QuestRedoChapterUICategory,byte,Image,Image,Image,str,str,str
0,0,0,0,0,0,0,0,0,"","",""
1,66060,0,1,30,1,114766,114166,114466,"A Realm Reborn - Kapitel 1","Kapitel 1","Eorzea, der Kontinent, von dem es heißt, dass er von den Göttern geliebt wird. Hier beginnt die Reise <If(PlayerParameter(4))>einer einzelnen Heldin<Else/>eines einzelnen Helden</If>. Vom Urkristall als <If(PlayerParameter(4))>Kriegerin<Else/>Krieger</If> des Lichts berufen, zieht <If(PlayerParameter(4))>sie<Else/>er</If> hinaus, um das weite Land zu erkunden. Lüstet es <If(PlayerParameter(4))>sie<Else/>ihn</If> nach Macht oder nach Ruhm? Oder ist es einfach nur die Sehnsucht nach dem Abenteuer? Mit der Zeit wird es sich zeigen, was <If(PlayerParameter(4))>ihr<Else/>sein</If> Herz wirklich bewegt."
2,66060,0,1,30,2,114767,114167,114467,"A Realm Reborn - Kapitel 2","Kapitel 2","Nachdem <If(PlayerParameter(4))>die Kriegerin<Else/>der Krieger</If> des Lichts eine Weile durch die Welt Eorzeas gereist ist und dabei die drei Stadt<SoftHyphen/>staaten besucht hat, wird <If(PlayerParameter(4))>ihr<Else/>ihm</If> langsam bewusst, dass das Land vor gewaltigen Heraus<SoftHyphen/>forde<SoftHyphen/>rungen steht. Auf <If(PlayerParameter(4))>ihren<Else/>seinen</If> Reisen begegnet <If(PlayerParameter(4))>sie<Else/>er</If> dem Mitglied einer geheimen Vereinigung, dem „Bund der Morgenröte“. Sie scheinen die Antwort auf einige der dringendsten Fragen zu haben: Was ist diese mysteriöse „Kraft des Transzendierens“? Und was hat es mit diesem Phantom auf sich, dem <If(PlayerParameter(4))>sie<Else/>er</If> begegnet ist?"
3,66060,0,1,30,3,114768,114168,114468,"A Realm Reborn - Kapitel 3","Kapitel 3","Der Primae Ifrit war eine Bedrohung für die Sicherheit ganz Eorzeas, die nun Dank <If(PlayerParameter(4))>der Abenteurerin<Else/>des Abenteurers</If> gebannt ist. Wie es sich herausstellt, walten hinter dem Auftauchen dieses Ungeheuers üble Kräfte, in Gestalt der Boten der Finsternis: den Ascians. Und es ist die Bestimmung <If(PlayerParameter(4))>der Kriegerin<Else/>des Kriegers</If> des Lichts, ihre Pläne zu durchkreuzen. Das Ziel ist klar: der Ascian Lahabrea muss gestoppt werden."
4,66060,0,1,30,4,114769,114169,114469,"A Realm Reborn - Kapitel 4","Kapitel 4","Mit der Unterstützung des Heeres der Helden konnte der Primae Titan bezwungen werden. Y'shtola verspürte während des heftigen Kampfes die Präsenz einer verborgenen Entität. Und in der Tat, das Garleische Kaiserreich scheint im Bunde mit den Ascians zu stehen. Gemeinsam mit <If(PlayerParameter(4))>der Kriegerin<Else/>dem Krieger</If> des Lichts geht es zurück ins Hauptquartier des Bundes, um einen Plan auszuarbeiten, doch es kommt anders<Indent/>..."
5,66996,0,1,30,5,114770,114170,114470,"7. Ära des Lichts - Kapitel 1","7. Ära - Kapitel 1","Die Exegeten haben die erbitterte Schlacht um das Castrum Meridianum für sich entschieden. Die Welt kann nun endgültig die finstere Zeit der Siebten Katastrophe hinter sich lassen und einer besseren Zukunft entgegenblicken. Auch für den Bund der Morgenröte, der Eorzea vor einem dunklen Schicksal bewahrte, bedeutet dies ein großer Schritt zur Erfüllung seiner Ziele. Doch schon tut sich eine neue Bedrohung auf, die das Können der Exegeten auf die Probe stellen wird."
6,65964,0,1,30,6,114771,114171,114471,"7. Ära des Lichts - Kapitel 2","7. Ära - Kapitel 2","Auch wenn nun die Siebte Ära des Lichts angebrochen ist, Eorzea ächzt im Angesicht der zahllosen Bedrohungen, die sich auftun. Die Wilden Stämme und die Primae, das Verschwinden der Insel Val, allen Ortes das unendliche Leid der Entwurzelten und nun auch noch Häretiker in Coerthas. Die von Alphinaud ins Leben gerufenen „Kristallstreiter“ können allein nicht all der Probleme, die sich in Eorzea auftun, Herr werden. "
7,67205,0,1,1,1,114701,114101,114401,"Heavensward - Kapitel 1","Kapitel 1","Übler Verrat aus den Schatten von Ul'dah hat die Exegeten getrennt und <If(PlayerParameter(4))>die Kriegerin<Else/>den Krieger</If> des Lichts gezwungen, Zuflucht im kalten Norden von Eorzea zu suchen. Lord Haurchefant gewährt <If(PlayerParameter(4))>der Heldin<Else/>dem Helden</If> Zuflucht, doch wie viel Sicherheit kann ein Staat bieten, der sich in einem tausendjährigen Krieg mit unsterblichen Drachen befindet?"
8,67205,0,1,1,2,114702,114102,114402,"Heavensward - Kapitel 2","Kapitel 2","Tief im Reich der Drachen stehen die Helden Angesicht zu Angesicht mit dem Großen Drachen Hraesvelgr, der ihnen die schockierenden Hintergründe des Drachenkriegs offenbart: Es war ein Verrat der Sterblichen, welcher den Frieden zwischen Ishgard und den Drachen zunichte machte. Zusammen mit dem Azur-Drachenreiter macht <If(PlayerParameter(4))>die Kriegerin<Else/>der Krieger</If> des Lichts Jagd auf den unversöhnlichen Drachen Nidhogg."
9,67783,0,1,1,3,114703,114103,114403,"Heavensward - Kapitel 3","Kapitel 3","Auf dem schwebenden Kontinent Azys Lla bringen die Helden den kriegstreiberischen Papst zu Fall und unterbrechen den Kreislauf des Hasses zwischen Ishgard und den Drachen. Der Kirchenstaat aber findet keine Ruhe, denn zu groß ist der Schock über die Wahrheit, zu plötzlich die Erkenntnis der eigenen Schuld."
10,67895,0,1,1,4,114704,114104,114404,"Heavensward - Kapitel 4","Kapitel 4","Nach eintausend Jahren des Blutvergießens und der Trauer beendet <If(PlayerParameter(4))>die Kriegerin<Else/>der Krieger</If> des Lichts den Drachenkrieg mit einer Heldentat: Nidhogg und sein Hass sind besiegt. Ishgards Annalen sind um eine Legende reicher, doch die Geschichte des Kirchenstaats ist noch nicht zu Ende erzählt."
11,68089,0,1,2,1,114705,114105,114405,"Stormblood - Kapitel 1","Kapitel 1","Die Männer und Frauen der eorzäischen Allianz ziehen in den Kampf, um das von dem Garleischen Kaiserreich versklavte Ala Mhigo zu befreien. Der Wind des Aufstands regt sich auch im Fernen Osten, wo mutige Widerstandskämpfer neue Hoffnung für ihr gefallenes Königreich Doma schöpfen."
12,68089,0,1,2,2,114706,114106,114406,"Stormblood - Kapitel 2","Kapitel 2","Jenseits der Rubinsee betreten die Helden das Land Yanxia, das Yotsuyu, die erbarmungslose Statthalterin von Doma, für Garlemald beansprucht. Um Doma endlich zur Freiheit zu verhelfen, ziehen die Helden in die endlosen Weiten der Azim-Steppe, auf der Suche nach dem rechtmäßigen Erben auf den Königstitel."
13,68612,0,1,2,3,114707,114107,114407,"Stormblood - Kapitel 3","Kapitel 3","Ala Mhigo ist befreit und die Zeit des garleischen Jochs vorüber. Nun liegt es an seinen Bewohnern, sich mit den Schatten der Ver<SoftHyphen/>gangen<SoftHyphen/>heit zur versöhnen. Welche Fallen erwarten Lyse beim Wieder<SoftHyphen/>aufbau ihres Landes? Welche Schrecken plagen Fordola in ihrer Zelle? Und welche Zukunft wird Raubahn für sich wählen, jetzt da sich der Traum, den er für seine Heimat hegte, erfüllt hat?"
14,68721,0,1,2,4,114708,114108,114408,"Stormblood - Kapitel 4","Kapitel 4","Ist Zenos von den Toten auferstanden? War er nie tot? Alles deutet auf weitere Machenschaften der Ascians hin, als der Prinz des garleischen Kaiserhauses in Garlemald auftaucht. Ein Bote trifft im Sonnenstein ein und bringt Neuigkeiten, welche die Exegeten auf eine neue abenteuerliche Reise schicken."
