key,0,1,2,3,4,5,6,7,8,9,10,11
#,,,,,,Command,ShortCommand,Description,Alias,ShortAlias,Param,
int32,byte,byte,sbyte,sbyte,sbyte,str,str,str,str,str,TextCommandParam,uint32
0,0,0,0,0,0,"","","","","",0,0
1,1,0,0,0,0,"/record","","/rückblende, /rück, /record
→ Öffnet das Rückblendenmenü.","/rückblende","/rück",32,0
2,2,1,0,0,0,"/recordready","","/rückbereit, /rb, /recordready
VERWENDUNG:
/rückbereit [Zahl]
→ Sendet eine Bereitschaftsanfrage für die Rückblende und startet den Inhalt nach einem Countdown von 5-30 Sekunden, nachdem alle ihre Bereitschaft erklärt haben.
Bei fehlendem Unterbefehl wird das Menü für die Bereitschaftsanfrage (Rückblende) geöffnet.","/rückbereit","/rb",0,0
3,1,0,0,0,0,"/pvpteamcmd","","/pvpteammenü, /tm, /pvpteamcmd
→ Öffnet das PvP-Team-Menü.","/pvpteammenü","/tm",0,0
4,1,0,0,0,0,"/saddlebag","","/satteltasche, /st, /chocobag
→ Zeigt den Inhalt der Chocobo-Satteltasche an.","/satteltasche","/st",0,0
5,1,0,0,0,0,"/magiaright","","/magiarechts, /mr, /magiaright
→ Dreht die Magia-Tafel im Uhrzeigersinn.","/magiarechts","/mr",0,0
6,1,0,0,0,0,"/magialeft","","/magialinks, /ml, /magialeft
→ Dreht die Magia-Tafel gegen den Uhrzeigersinn.","/magialinks","/ml",0,0
7,1,0,0,0,0,"/cwlinkshellcmd","/cwlcmd","/wkkmenü, /wkkm, /cwlinkshellcmd, /cwlcmd
→ Öffnet und schließt das Menüfenster deines Welten-Kontaktkreises.","/wkkmenü","/wkkm",0,0
8,3,1,17,0,0,"/quickchat","/qchat","/schnellchat, /schat, /quickchat, /qchat
VERWENDUNG:
/schnellchat [Chat-Nachricht]
→ Sendet eine schnelle Chat-Nachricht. Kann nur während „Crystalline Conflict“ benutzt werden.

Beispiel:
/schnellchat Angriff
Sendet die Nachricht „Angriff“ an die Teammitglieder.
/schnellchat <t> Angriff
Bittet Teammitglieder, das aktuell anvisierte Ziel anzugreifen.","/schnellchat","/schat",1021,0
9,4,3,2,18,2,"/bluespellbook","","/blaumagie, /blaum, /bluespellbook
VERWENDUNG:
/blaumagie [Unterbefehl]
→ Aktiviert ein Blaumagie-Kommando.
>>Unterbefehle:
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>legen<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (set) [Kommando] Aktiviert oder deaktiviert das genannte Blaumagie-Kommando.
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>legen<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (set) [Kommando] <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>ein<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (on) Aktiviert das genannte Blaumagie-Kommando.
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>legen<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (set) [Kommando] <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>aus<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (off) Deaktiviert das genannte Blaumagie-Kommando.
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>aktivset<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (preset) [Aktivset-Nummer] (1-5)
 Aktiviert das bezeichnete Aktivset.
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>zurück<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (clear) Deaktiviert alle Kommandos des aktiven Sets.
Bei fehlendem Unterbefehl wird das Zauberbuch der Blaumagie geöffnet.
>>Beispiel:
/blaumagie legen Wasserkanone
Aktiviert oder deaktiviert das Kommando „Wasserkanone“.
/blaumagie aktivset 2
Aktiviert das Aktivset 2.","/blaumagie","/blaum",36,0
10,2,1,2,0,0,"/magiaattack","","/magiaoffensiv, /magiaoff, /magiaattack
VERWENDUNG:
/magiaoffensiv [Ziel]
→ Stellt die Magia-Tafel entgegengesetzt zur elementaren Affinität des benannten Zieles ein.
>>Beispiel:
/magiaoffensiv <t>
Stellt die Magia-Tafel entgegengesetzt zur elementaren Affinität des anvisierten Zieles ein.","/magiaoffensiv","/magiaoff",0,0
11,2,1,2,0,0,"/magiadefense","","/magiadefensiv, /magiadef, /magiadefense
VERWENDUNG:
/defensiv [Ziel]
→ Stellt die Magia-Tafel passend zur elementaren Affinität des benannten Zieles ein.
>>Beispiel:
/magiadefensiv <t>
Stellt die Magia-Tafel passend zur elementaren Affinität des anvisierten Zieles ein.","/magiadefensiv","/magiadef",0,0
12,2,1,2,0,0,"/magiaauto","","/magiaauto
VERWENDUNG:
/magiaauto [Unterbefehl]
→ Aktiviert oder deaktiviert den Automatikmodus der Magia-Tafel. Solange der Automatikmodus aktiv ist, wird die elementare Ausrichtung der Magia-Tafel automatisch an das Ziel angepasst.
>>Unterbefehle:
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>ang<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (attack): Die automatische Anpassung erfolgt offensiv.
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>ver<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (defense): Die automatische Anpassung erfolgt defensiv.
  <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>aus<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (off): Deaktiviert den Automatikmodus.
Bei fehlendem Unterbefehl werden die Einstellungsoptionen der Reihe nach durchgeschaltet.
>>Beispiel:
/magiaauto offensiv
Aktiviert den offensiven Automatikmodus.","","",0,0
13,1,0,0,0,0,"/cwlinkshell1","/cwl1","/weltenkontaktkreis1, /wkk1, /cwlinkshell1, /cwl1
VERWENDUNG:
/wkk1 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 1 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 1“.

Beispiel:
/wkk1 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 1.
/wkk1
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 1“.","/weltenkontaktkreis1","/wkk1",1021,0
14,1,0,0,0,0,"/cwlinkshell2","/cwl2","/weltenkontaktkreis2, /wkk2, /cwlinkshell2, /cwl2
VERWENDUNG:
/wkk2 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 2 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 2“.

Beispiel:
/wkk2 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 2.
/wkk2
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 2“.","/weltenkontaktkreis2","/wkk2",1021,0
15,1,0,0,0,0,"/cwlinkshell3","/cwl3","/weltenkontaktkreis3, /wkk3, /cwlinkshell3, /cwl3
VERWENDUNG:
/wkk3 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 3 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 3“.

Beispiel:
/wkk3 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 3.
/wkk3
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 3“.","/weltenkontaktkreis3","/wkk3",1021,0
16,1,0,0,0,0,"/cwlinkshell4","/cwl4","/weltenkontaktkreis4, /wkk4, /cwlinkshell4, /cwl4
VERWENDUNG:
/wkk4 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 4 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 4“.

Beispiel:
/wkk4 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 4.
/wkk4
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 4“.","/weltenkontaktkreis4","/wkk4",1021,0
17,1,0,0,0,0,"/cwlinkshell5","/cwl5","/weltenkontaktkreis5, /wkk5, /cwlinkshell5, /cwl5
VERWENDUNG:
/wkk5 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 5 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 5“.

Beispiel:
/wkk5 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 5.
/wkk5
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 5“.","/weltenkontaktkreis5","/wkk5",1021,0
18,1,0,0,0,0,"/cwlinkshell6","/cwl6","/weltenkontaktkreis6, /wkk6, /cwlinkshell6, /cwl6
VERWENDUNG:
/wkk6 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 6 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 6“.

Beispiel:
/wkk6 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 6.
/wkk6
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 6“.","/weltenkontaktkreis6","/wkk6",1021,0
19,1,0,0,0,0,"/cwlinkshell7","/cwl7","/weltenkontaktkreis7, /wkk7, /cwlinkshell7, /cwl7
VERWENDUNG:
/wkk7 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 7 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 7“.

Beispiel:
/wkk7 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 7.
/wkk7
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 7“.","/weltenkontaktkreis7","/wkk7",1021,0
