key,0
#,Description
int32,str
0,""
1,"Die Konstitution wird um 8 erhöht."
2,"Die Konstitution wird um 16 erhöht."
3,"Die Konstitution wird um 24 erhöht."
4,"Die Konstitution wird um 8 erhöht."
5,"Die Konstitution wird um 16 erhöht."
6,"Die Konstitution wird um 24 erhöht."
7,"Die Stärke wird um 8 erhöht."
8,"Die Stärke wird um 16 erhöht."
9,"Die Stärke wird um 24 erhöht."
10,"Ermöglicht die Stapelung von zwei <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Geölter Blitz<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
11,"Ermöglicht die Stapelung von drei <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Geölter Blitz<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
12,"Die Stärke wird um 8 erhöht."
13,"Die Stärke wird um 16 erhöht."
14,"Die Stärke wird um 24 erhöht."
15,"Das Geschick wird um 8 erhöht."
16,"Das Geschick wird um 16 erhöht."
17,"Fügt <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Gewaltiger Schuss<UIGlow>01</UIGlow><UIForeground>01</UIForeground> eine Wahr<SoftHyphen/>schein<SoftHyphen/>lich<SoftHyphen/>keit von 20<Indent/>% hinzu, dass du den Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Falkenauge<UIGlow>01</UIGlow><UIForeground>01</UIForeground> erhältst.
Dauer: 30 Sekunden"
18,"Erhöht den Basisschaden von Kommandos außer Auto-Attacke um 10 %."
19,"Das Geschick wird um 24 erhöht."
20,"Erhöht den Basisschaden von Kommandos außer Auto-Attacke um 20 %."
21,"Die Willenskraft wird um 8 erhöht."
22,"Die Willenskraft wird um 16 erhöht."
23,"Erhöht den Basisschaden und das Regenerationspotenzial von Kommandos außer Auto-Attacke um 10 %."
24,"Die Willenskraft wird um 24 erhöht."
25,"Mit 15 % Wahr<SoftHyphen/>schein<SoftHyphen/>lich<SoftHyphen/>keit verbraucht ein nach <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Vita<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ausgeführtes <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Vitra<UIGlow>01</UIGlow><UIForeground>01</UIForeground> keine MP.
Dauer: 15 Sekunden."
26,"Erhöht den Basisschaden und das Regenerationspotenzial von Kommandos außer Auto-Attacke um 30 %."
27,"Die Intelligenz wird um 8 erhöht."
28,"Die Intelligenz wird um 16 erhöht."
29,"Erhöht den Basisschaden und das Regenerationspotenzial von Kommandos außer Auto-Attacke um 10 %."
30,"Die Intelligenz wird um 24 erhöht."
31,"Erhöht den Basisschaden und das Regenerationspotenzial von Kommandos außer Auto-Attacke um 30 %."
32,"Mit 40 % Wahr<SoftHyphen/>schein<SoftHyphen/>lich<SoftHyphen/>keit wird das nächste <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Feuga<UIGlow>01</UIGlow><UIForeground>01</UIForeground> sofort und ohne MP-Verbrauch gewirkt."
33,"10 % Wahr<SoftHyphen/>schein<SoftHyphen/>lich<SoftHyphen/>keit bei jedem Schaden-über-Zeit-Treffer durch <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Blitz<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Blitzga<UIGlow>01</UIGlow><UIForeground>01</UIForeground> bzw. 3 % durch <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Blitzra<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Blitzka<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, dass der nächste <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Blitz<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Blitzra<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Blitzga<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Blitzka<UIGlow>01</UIGlow><UIForeground>01</UIForeground> sofort und ohne MP-Verbrauch gewirkt wird und den vollen Schaden über Zeit auf einmal anrichtet.
Dauer: 40 Sekunden"
34,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Geodäsie<UIGlow>01</UIGlow><UIForeground>01</UIForeground> wird beim Klassenwechsel zu Gärtner automatisch aktiviert."
35,"Monster bis zur Stufe 30 können dich nicht aufspüren."
36,"Monster bis zur Stufe 40 können dich nicht aufspüren."
37,"Monster bis zur Stufe 50 können dich nicht aufspüren."
