key,0,1
#,,
int32,int32,str
0,111106,"Das Projekt „Kosmo-Erkundung“ hat offiziell sämtliche Arbeiten in Sinus Ardorum erfolgreich abgeschlossen!
Dank der überwältigenden Unterstützung jedes einzelnen Projektteilnehmers ist es uns nun möglich, von der Lunaren Hoppopolis aus in die Weiten des Alls aufzubrechen.
Aus diesem Grund möchten wir hier, im Namen aller Beteiligten, unseren tiefsten Dank aussprechen!
Mit Blick in Richtung der unzähligen Entdeckungen, die dort draußen auf uns warten, hoffen wir, dass ihr uns auch weiterhin auf dieser Reise begleiten werdet!
Auf ein Wieder<SoftHyphen/>sehen zwischen den Sternen
Eure Loporrit"
1,111107,"Das Projekt „Kosmo-Erkundung“ hat offiziell sämtliche Arbeiten auf Phaenna erfolgreich abgeschlossen!
Dank der überwältigenden Unterstützung jedes einzelnen Projektteilnehmers ist es uns nun möglich, den nächsten Hopser auf unserer großen Reise durch den Kosmos anzutreten.
Aus diesem Grund möchten wir hier, im Namen aller Beteiligten, unseren tiefsten Dank aussprechen!
Mit Blick in Richtung der unzähligen Entdeckungen, die dort draußen auf uns warten, hoffen wir, dass ihr uns auch weiterhin auf diesem einmaligen Abenteuer begleiten werdet!
Auf ein Wieder<SoftHyphen/>sehen zwischen den Sternen
Eure Loporrit"
2,111108,"Das Projekt hat ein weiteres Mal einen gewaltigen Hopser nach vorne gemacht<Indent/>- sämtliche Arbeiten auf Oizys sind nun beendet!
Dank der überwältigenden Unterstützung jedes einzelnen Projektteilnehmers ist es uns nun möglich, die Spuren der Gegangenen weiter durch den Kosmos zu verfolgen.
Aus diesem Grund möchten wir hier, im Namen aller Beteiligten, unseren tiefsten Dank aussprechen!
Mit Blick in Richtung der unzähligen Entdeckungen, die dort draußen auf uns warten, hoffen wir, dass ihr uns auch weiterhin auf dieser Reise begleiten werdet!
Auf ein Wieder<SoftHyphen/>sehen zwischen den Sternen
Eure Loporrit"
3,0,""
4,0,""
5,0,""
6,0,""
7,0,""
8,0,""
