key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,,,,,,,,,,,,,
int32,byte,uint32,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,str
0,0,0,0,"",0,"",0,0,1,0,0,"","",""
1,1,243001,98,"Gürtel[p] der Vitalität",4,"Gürtel[p] der Vitalität",2,0,1,0,0,"Gürtel der Vitalität","Maximal-LP + 20 %","Erhöht die Maximal-LP."
2,1,243002,35,"Opferring",4,"Opferringe",2,0,1,0,0,"Opferring","Belebt dich bei Kampfunfähigkeit wieder und opfert dafür die gerufene Bestie. Wirkt nur, wenn eine Bestie gerufen ist.","Opfert die Bestie, um den Bestienbändiger wiederzubeleben."
3,1,243003,175,"Ring[p] der Heilung",4,"Ringe[p] der Heilung",2,0,1,0,0,"Ring der Heilung","Regeneriert nach Kämpfen 25<Indent/>% der Maximal-LP.","Regeneriert nach Kämpfen LP."
4,1,243004,35,"Arzneibeutel",4,"Arzneibeutel",2,0,1,0,0,"Arzneibeutel","Gewährt beim Rasten im Zelt einen zufälligen Bestien-Heiltrank.","Gewährt beim Rasten einen Bestien-Heiltrank."
5,1,243005,56,"verhext[a] Hut",4,"verhext[a] Hüte",2,0,1,0,0,"Verhexter Hut","Magische Verwundbarkeit - 10<Indent/>%","Verringert erlittenen magischen Schaden."
6,1,243006,63,"Stahlrüstung",3,"Stahlrüstungen",1,0,1,1,0,"Stahlrüstung","Physische Verwundbarkeit - 15<Indent/>%","Verringert erlittenen physischen Schaden."
7,1,243007,190,"Krone[p] der Wildheit",3,"Krone[p] der Wildheit",1,0,1,1,0,"Krone der Wildheit","Ausgeteilter physischer Schaden + 10<Indent/>%
Kritische Trefferrate + 3<Indent/>%
※ Effekt wirkt auch auf die gerufene Bestie.","Erhöht den ausgeteilten physischen Schaden und die kritische Trefferrate (auch bei der Bestie)."
8,1,243008,190,"Stab[p] der Weisheit",4,"Stäbe[p] der Weisheit",2,0,1,0,0,"Stab der Weisheit","Ausgeteilter magischer Schaden + 20<Indent/>%
※ Effekt wirkt auch auf die gerufene Bestie.","Erhöht den ausgeteilten magischen Schaden (auch bei der Bestie)."
