key,0,1
#,,
int32,str,str
0,"TEXT_CTSMKDENTRANCE_00929_Q1_000_000","Was möchtest du tun?"
1,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT","<Sheet(ContentFinderCondition,IntegerParameter(1),43)/> betreten"
2,"TEXT_CTSMKDENTRANCE_00929_A1_000_001","Mehr über Kreszentia erfahren"
3,"TEXT_CTSMKDENTRANCE_00929_A1_000_002","Abbrechen"
4,"TEXT_CTSMKDENTRANCE_00929_A1_000_003","Wissensstufe und Währungen prüfen"
5,"TEXT_CTSMKDENTRANCE_00929_A1_000_004","Phantomjobs einsehen"
6,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION_SOUTH","<Sheet(ContentFinderCondition,IntegerParameter(1),43)/> betreten?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※ Falls deine Wissensstufe höher als 20 ist, wird sie automatisch auf diesen Wert herabgesetzt.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
7,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION","<Sheet(ContentFinderCondition,IntegerParameter(1),43)/> betreten?"
8,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION_HARD","<Sheet(ContentFinderCondition,IntegerParameter(1),43)/> betreten?"
9,"TEXT_CTSMKDENTRANCE_00929_A1_000_005","Ja"
10,"TEXT_CTSMKDENTRANCE_00929_A1_000_006","Nein"
