key,0,1
#,,
int32,str,str
0,"TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_000","Bevor ich mit der Verstärkung beginne<Indent/>... Lasse die ideale Gestalt deiner Phantomwaffe vor deinem geistigen Auge Form annehmen. Sobald du bereit bist, teile ihre Eigenschaften mit mir."
1,"TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_001","O Erinnerungen der Schlacht, vielfältig in eurer Pracht<Indent/>...
Werdet eins mit dem Phantom und entfesselt seine Macht<Indent/>...!"
2,"TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_002","Hngggggh!"
3,"TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_003","Es ist vollbracht!"
4,"TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_004","Genau wie beim ersten Mal 'n fantastischer Anblick! Eine von Illusionen befreite Phantomwaffe, verfeinert mit den Kampferinnerungen <If(PlayerParameter(4))>der stärksten Kämpferin<Else/>des stärksten Kämpfers</If> unserer Zeit<Indent/>..."
5,"TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_005","Das ist die finale Form der Phantomwaffen! <Clickable(<SheetDe(Item,2,IntegerParameter(1),1,1,1)/>)/>!"
6,"TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_006","Das ist die finale Form der Phantomwaffen! <Clickable(<SheetDe(Item,2,IntegerParameter(1),1,1,1)/>)/> und <SheetDe(Item,2,IntegerParameter(2),1,1,1)/>!!"
7,"TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_007","Das war wirklich alles, was sich auf dieser verfluchten Insel aus den Phantomwaffen rauskitzeln lässt. Jetzt liegt's an dir, das Beste aus ihnen zu machen!"
8,"TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_008","Und vergiss nicht! Wir können die Eigenschaften der Waffe zwar nochmal anpassen, aber dann brauchen wir wieder <Sheet(Item,50977,9)/>, klar?"
9,"TEXT_CTSMKDWEPTRADE5_00980_SYSTEM_100_008","Wenn du die Parameterwerte deiner Waffe erneut anpassen möchtest, kann dir Brigid in Trugstadt mit ihrer Sphäre aushelfen."
10,"TEXT_CTSMKDWEPTRADE5_00980_SYSTEM_000_009","Das hierfür benötigte <Sheet(Item,50977,9)/> kann bei Ermina in Trugstadt durch Tausch erworben werden."
