key,0,1
#,,
int32,str,str
0,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_000","Die Sachen gehörten bestimmt Forschungsleiter Demetrius: ein Tablet und ein Spind."
1,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_Q1_000_000","Was möchtest du tun?"
2,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A1_000_001","Das Tablet untersuchen"
3,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A1_000_002","Den Spind untersuchen"
4,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_001","Ein neuer Eintrag kann jetzt gelesen werden. Es geht um die „Sicherung von Erinnerungen“."
5,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_Q2_000_000","Was möchtest du lesen?"
6,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_001","Forschungslogbuch"
7,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_002","Das Abschaltprotokoll"
8,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_003","Nichts"
9,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_004","Sicherung von Erinnerungen"
10,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_002","(-Forschungslogbucheintrag-)<Emphasis>Keine besonderen Vorkommnisse zu verzeichnen. Die Aktivierungsbedingungen des Schlüssels sind nach wie vor unbekannt.</Emphasis>"
11,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_003","(-Forschungslogbucheintrag-)<Emphasis>Temporäre Verschmelzung mit anderer Welt als Folge einer unvorhergesehenen Destabilisierung der Kontrollmechanismen des Schlüssels bestätigt. Experimentelle Stabilisierung der Kernenergien eingeleitet.</Emphasis>"
