key,0,1
#,Prologue,Epilogue
int32,str,str
0,"",""
1,"Maître<If(PlayerParameter(4))>sse<Else/></If>... j'étouffe... un peu...","Maître<If(PlayerParameter(4))>sse<Else/></If>... j'étouffe... un peu..."
2,"Qu'en dites-vous, Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>... Je me suis épanoui, vous ne trouvez pas<Indent/>?<Indent/>...","Qu'en dites-vous, Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>... Je me suis épanouie, vous ne trouvez pas<Indent/>?<Indent/>..."
3,"Mais quel est ce pouvoir... que je ressens en moi<Indent/>?<Indent/>...","Mais quel est ce pouvoir... que je ressens en moi<Indent/>?<Indent/>..."
4,"Oooh<Indent/>! Je ressens un pouvoir... plus grand que d'habitude...","Oooh<Indent/>! Je ressens un pouvoir... plus grand que d'habitude..."
5,"Quelle formidable énergie<Indent/>!<Indent/>... M'est-elle destinée<Indent/>?<Indent/>...","Quelle formidable énergie<Indent/>!<Indent/>... M'est-elle destinée<Indent/>?<Indent/>..."
6,"Je me sens vraiment très... puissant aujourd'hui<Indent/>!","Je me sens vraiment très... puissante aujourd'hui<Indent/>!"
7,"J'ai comme une étrange sensation... Que cela peut-il bien être<Indent/>?<Indent/>...","J'ai comme une étrange sensation... Que cela peut-il bien être<Indent/>?<Indent/>..."
8,"Ce pouvoir... provient-il des cristaux<Indent/>?<Indent/>...","Ce pouvoir... provient-il des cristaux<Indent/>?<Indent/>..."
9,"J'ai vraiment du mal... à m'habituer à cette sensation...","J'ai vraiment du mal... à m'habituer à cette sensation..."
10,"Je ressens un nouvel éther... différent du vôtre, Maître<If(PlayerParameter(4))>sse<Else/></If>...","Je ressens un nouvel éther... différent du vôtre, Maître<If(PlayerParameter(4))>sse<Else/></If>..."
11,"Je sens bien de l'éther... mais d'où provient-il<Indent/>?<Indent/>...","Je sens bien de l'éther... mais d'où provient-il<Indent/>?<Indent/>..."
12,"À nouveau, de l'éther... entre en moi... ","À nouveau, de l'éther... entre en moi... "
13,"Ce pouvoir ne risque-t-il pas... de me détruire<Indent/>?<Indent/>...","Ce pouvoir ne risque-t-il pas... de me détruire<Indent/>?<Indent/>..."
14,"Cette énergie... est-elle vraiment sans risque<Indent/>?<Indent/>...","Cette énergie... est-elle vraiment sans risque<Indent/>?<Indent/>..."
15,"Je crois que je me suis habitué... à cette sensation...","Je crois que je me suis habituée... à cette sensation..."
16,"Vous me donnez davantage d'éther... Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>...","Vous me donnez davantage d'éther... Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>..."
17,"Ce sentiment d'être rempli... d'énergie me plaît...","Ce sentiment d'être remplie... d'énergie me plaît..."
18,"Oui, l'éther pénètre en moi... Je le sens...","Oui, l'éther pénètre en moi... Je le sens..."
19,"Oui, je reconnais cette sensation... C'est la même qu'avant...","Oui, je reconnais cette sensation... C'est la même qu'avant..."
20,"Je suis vraiment impatient de recevoir... davantage de pouvoir, ces temps-ci...","Je suis vraiment impatiente de recevoir... davantage de pouvoir, ces temps-ci..."
21,"J'avais vraiment hâte... d'absorber davantage d'éther...","J'avais vraiment hâte... d'absorber davantage d'éther..."
22,"Hmm... J'ai vraiment l'impression d'être un peu plus entier...","Hmm... J'ai vraiment l'impression d'être un peu plus entière..."
23,"Regardez, Maître<If(PlayerParameter(4))>sse<Else/></If>... comme j'ai encore évolué...","Regardez, Maître<If(PlayerParameter(4))>sse<Else/></If>... comme j'ai encore évolué..."
24,"Avec ça, je suis devenu... encore un peu plus puissant...","Avec ça, je suis devenue... encore un peu plus puissante..."
25,"Je ressens plus de force en moi... C'est grâce à vous, Maître<If(PlayerParameter(4))>sse<Else/></If>...","Je ressens plus de force en moi... C'est grâce à vous, Maître<If(PlayerParameter(4))>sse<Else/></If>..."
26,"J'espère que j'obtiendrai un pouvoir... digne de vous, Maître<If(PlayerParameter(4))>sse<Else/></If>...","J'espère que j'obtiendrai un pouvoir... digne de vous, Maître<If(PlayerParameter(4))>sse<Else/></If>..."
27,"Je peux devenir plus puissant... afin de mieux vous servir, Maître<If(PlayerParameter(4))>sse<Else/></If>...","Je peux devenir plus puissante... afin de mieux vous servir, Maître<If(PlayerParameter(4))>sse<Else/></If>..."
28,"Maître<If(PlayerParameter(4))>sse<Else/></If>... je n'ai pas fini de me développer...","Maître<If(PlayerParameter(4))>sse<Else/></If>... je n'ai pas fini de me développer..."
29,"Comptez sur moi pour utiliser... ce pouvoir au mieux, Maître<If(PlayerParameter(4))>sse<Else/></If>...","Comptez sur moi pour utiliser... ce pouvoir au mieux, Maître<If(PlayerParameter(4))>sse<Else/></If>..."
30,"Je sens que je suis en train de m'épanouir... Pas vous, Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>...","Je sens que je suis en train de m'épanouir... Pas vous, Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>..."
31,"Regardez, Maître<If(PlayerParameter(4))>sse<Else/></If>... J'ai obtenu davantage de pouvoir...","Regardez, Maître<If(PlayerParameter(4))>sse<Else/></If>... J'ai obtenu davantage de pouvoir..."
32,"Je dois atteindre de nouveaux sommets... pour continuer mon périple avec vous, Maître<If(PlayerParameter(4))>sse<Else/></If>...","Je dois atteindre de nouveaux sommets... pour continuer mon périple avec vous, Maître<If(PlayerParameter(4))>sse<Else/></If>..."
33,"Maître<If(PlayerParameter(4))>sse<Else/></If>, j'ai acquis plus d'énergie... pour mieux vous servir<Indent/>!<Indent/>...","Maître<If(PlayerParameter(4))>sse<Else/></If>, j'ai acquis plus d'énergie... pour mieux vous servir<Indent/>!<Indent/>..."
34,"Est-ce que vous voyez... comment mon éther resplendit, Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>...","Est-ce que vous voyez... comment mon éther resplendit, Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>..."
35,"J'ai hâte de mettre mon nouveau pouvoir à con<SoftHyphen/>tri<SoftHyphen/>bu<SoftHyphen/>tion... lors de votre prochain combat, Maître<If(PlayerParameter(4))>sse<Else/></If>...","J'ai hâte de mettre mon nouveau pouvoir à con<SoftHyphen/>tri<SoftHyphen/>bu<SoftHyphen/>tion... lors de votre prochain combat, Maître<If(PlayerParameter(4))>sse<Else/></If>..."
36,"J'ai vraiment envie d'essayer... cette puissance nouvellement acquise...","J'ai vraiment envie d'essayer... cette puissance nouvellement acquise..."
37,"Donnez-moi plus d'éther... Ainsi, je deviendrai plus puissant<Indent/>!<Indent/>...","Donnez-moi plus d'éther... Ainsi, je deviendrai plus puissante<Indent/>!<Indent/>..."
38,"L'énergie afflue en moi... Je dois la mettre à votre disposition, Maître<If(PlayerParameter(4))>sse<Else/></If>...","L'énergie afflue en moi... Je dois la mettre à votre disposition, Maître<If(PlayerParameter(4))>sse<Else/></If>..."
39,"Hmm<Indent/>?<Indent/>... Vous préparez quelque chose<Indent/>?<Indent/>...","Hmm<Indent/>?<Indent/>... Vous préparez quelque chose<Indent/>?<Indent/>..."
40,"Oui<Indent/>?<Indent/>... Vous avez besoin de moi, Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>...","Oui<Indent/>?<Indent/>... Vous avez besoin de moi, Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>..."
41,"Une nouvelle épreuve<Indent/>?<Indent/>... Un peu d'exercice va me faire du bien<Indent/>!<Indent/>...","Une nouvelle épreuve<Indent/>?<Indent/>... Un peu d'exercice va me faire du bien<Indent/>!<Indent/>..."
42,"Maître<If(PlayerParameter(4))>sse<Else/></If>... Que voulez-vous faire de moi<Indent/>?<Indent/>...","Maître<If(PlayerParameter(4))>sse<Else/></If>... Que voulez-vous faire de moi<Indent/>?<Indent/>..."
43,"Maître<If(PlayerParameter(4))>sse<Else/></If>... Je ne veux pas disparaître...","Maître<If(PlayerParameter(4))>sse<Else/></If>... Je ne veux pas disparaître..."
44,"Vous allez encore me donner... de ce mystérieux pouvoir<Indent/>?<Indent/>...","Vous allez encore me donner... de ce mystérieux pouvoir<Indent/>?<Indent/>..."
45,"Je suis prêt<Indent/>!<Indent/>... Je suis prêt<Indent/>!<Indent/>...","Je suis prête<Indent/>!<Indent/>... Je suis prête<Indent/>!<Indent/>..."
46,"Oh<Indent/>! Si nous sommes ici... c'est pour me permettre de m'épanouir davantage, n'est-ce pas<Indent/>?<Indent/>...","Oh<Indent/>! Si nous sommes ici... c'est pour me permettre de m'épanouir davantage, n'est-ce pas<Indent/>?<Indent/>..."
47,"Maître<If(PlayerParameter(4))>sse<Else/></If>... je n'attends que votre signal<Indent/>!<Indent/>...","Maître<If(PlayerParameter(4))>sse<Else/></If>... je n'attends que votre signal<Indent/>!<Indent/>..."
48,"Vous m'avez appelé... Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>...","Vous m'avez appelée... Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>?<Indent/>..."
49,"Vous allez me donner davantage d'éther<Indent/>?<Indent/>... Vous ne pouvez pas savoir à quel point je suis impatient<Indent/>!<Indent/>...","Vous allez me donner davantage d'éther<Indent/>?<Indent/>... Vous ne pouvez pas savoir à quel point je suis impatiente<Indent/>!<Indent/>..."
50,"Maître<If(PlayerParameter(4))>sse<Else/></If>... Donnez-moi plus de pouvoir, s'il vous plaît<Indent/>!<Indent/>...","Maître<If(PlayerParameter(4))>sse<Else/></If>... Donnez-moi plus de pouvoir, s'il vous plaît<Indent/>!<Indent/>..."
51,"Je vais devenir plus puissant pour vous... Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>!<Indent/>...","Je vais devenir plus puissante pour vous... Maître<If(PlayerParameter(4))>sse<Else/></If><Indent/>!<Indent/>..."
