key,0,1
#,,
int32,str,str
0,"",""
1,"Classe",""
2,"Job",""
3,"Familier",""
4,"Techniques d'arme en combo",""
5,"Sorts en combo",""
6,"Techniques d'arme en posture","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Actions nécessitant d'adopter des postures spécifiques, octroyant des effets additionnels.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
7,"Techniques d'arme",""
8,"Sorts",""
9,"Aptitudes",""
10,"Récolte","Actions utilisables lors de la récolte."
11,"Collectionnables","Actions utilisables lors de la récolte d'objets collectionnables."
12,"Autres","Actions communes aux disciples de la terre, hors récolte. "
13,"Pêche : actions basiques","Actions fondamentales de la pêche."
14,"Pêche : actions de préparation","Actions utilisables avant de lancer votre ligne."
15,"Pêche : leurres et ferrage","Actions utilisables après avoir lancé votre ligne."
16,"Pêche au harpon","Actions utilisables lors de la pêche au harpon."
17,"Autres","Actions communes à la pêche et à la pêche au harpon."
18,"Progrès","Actions qui font progresser la synthèse ou améliorent leur efficacité."
19,"Qualité","Actions qui augmentent la qualité ou améliorent leur efficacité."
20,"Support à la synthèse","Actions qui agissent sur la solidité ou restaurent des PS."
21,"Spécialiste","Actions utilisables avec un cristal d'artisan équipé."
22,"",""
23,"",""
