key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
#,Name,Category,,Description,DutyType,,,IsGoldSaucer,IsInDutyFinder,OpenRule,IsPvP,RequiredLevel,,ItemLevel{Required},,,Icon,ContentRouletteRoleBonus,Reward{TomeA},Reward{TomeB},Reward{TomeC},,,,SortKey,,ContentMemberType,,,,,,,,,,,RequireAllDuties,,ContentRouletteOpenRule,InstanceContent,,,,,,,,
int32,str,str,str,str,str,byte,uint32,bit&01,bit&02,ContentRouletteOpenRule,bit&04,byte,byte,uint16,bit&08,uint16,Image,ContentRouletteRoleBonus,uint16,uint16,uint16,uint32,uint16,uint32,byte,byte,ContentMemberType,byte,byte,sbyte,bit&10,byte,byte,byte,byte,bit&20,bit&40,bit&80,bit&01,bit&02,InstanceContent,uint16,bit&04,byte,bit&08,bit&10,bit&20,int32,byte
0,"","","","","",0,0,False,False,1,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,108,0,0,0,-1,False,0,0,0,0,True,False,True,False,False,0,0,False,0,False,True,True,0,0
1,"Mission aléatoire : gain de niveaux","Gain de niveaux","","Cette option sélectionne aléatoirement une mission parmi les donjons et défis pour petite équipe auxquels vous avez accès, avec une plus grande récompense en cas de réussite.

* Le bonus d'expérience et de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* Le nombre de sceaux de grande compagnie reçu dépend du niveau de la classe ou du job.
* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>h (temps réel).
* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons et défis pour petite équipe",0,0,False,True,1,False,16,16,0,False,0,112034,1,0,100,20,0,0,0,4,142,2,0,0,0,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
2,"Mission aléatoire : donjons avancés","Donjons avancés","","Cette option sélectionne aléatoirement une mission pour petite équipe parmi les donjons de niveaux 50, 60, 70, 80 et 90 auxquels vous avez accès, avec une plus grande récompense en cas de réussite.

* Les bonus de points d'expérience et de gils sont basés sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>h (temps réel).
* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons de niveaux 50, 60, 70, 80 et 90 pour petite équipe",0,0,False,True,1,False,50,50,45,False,0,112035,2,100,120,0,0,0,0,3,142,2,0,0,1,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
3,"Mission aléatoire : épopée","Épopée","","Cette option sélectionne aléatoirement une mission parmi celles de l'épopée auxquelles vous avez accès, avec une plus grande récompense en cas de réussite.

* Les scènes cinématiques de ces missions de l'épopée ne peuvent pas être passées.
* Le bonus d'expérience et de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>h (temps réel).
* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons pour équipe complète",0,0,False,True,1,False,50,50,42,False,0,112036,3,350,100,50,0,0,0,6,142,2,0,0,2,True,1,0,60,120,True,True,True,False,False,2,0,False,0,False,True,True,0,0
4,"Mission aléatoire : opérations de guilde","Opérations de guilde","","Cette option sélectionne aléatoirement une mission parmi les opérations de guilde auxquelles vous avez accès. Si vous la réussissez, vous gagnerez une plus grande récompense que si vous y aviez participé en la désignant.

* Le bonus d'expérience et de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* Le nombre de sceaux de grande compagnie reçu dépend du niveau de la classe ou du job.
* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>h (temps réel).
* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.
* L'enregistrement en petite équipe ne donne accès qu'aux opérations de guilde prévues pour 4 joueurs et peut être fait sans restriction quant aux rôles.
* L'utilisation de queues de phénix est impossible au cours de certaines missions.","Type de missions : opérations de guilde",0,0,False,True,1,False,10,10,0,False,0,112037,4,0,0,0,0,0,0,7,142,3,0,0,3,True,1,0,30,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
5,"Mission aléatoire : expert","Expert","","Cette option sélectionne aléatoirement une mission parmi les donjons experts que vous avez terminés, avec une plus grande récompense en cas de réussite.

* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>h (temps réel).
* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons experts pour petite équipe",5,0,False,True,2,False,100,100,735,False,0,112057,5,0,60,40,0,0,0,1,142,2,0,0,4,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
6,"Mission aléatoire : défis","Défis","","Cette option sélectionne aléatoirement une mission parmi les défis pour équipe complète auxquels vous avez accès, avec une plus grande récompense en cas de réussite.

* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>h (temps réel).
* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : défis pour équipe complète",0,0,False,True,1,False,50,50,90,False,0,112056,6,0,60,15,0,0,0,5,142,3,0,0,5,True,1,0,60,0,True,False,True,False,False,2,0,False,0,False,True,True,0,0
7,"Challenge quotidien : Front","Front","","Cette option vous fait participer à la bataille du jour du Front (indiquée dans la rubrique in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions), avec un bonus de récompense en cas de réussite.

* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>h (temps réel).","Type de missions : Onsal Hakair (Danshig Naadam)",0,0,False,True,3,True,30,30,0,False,0,112083,0,0,50,20,1000,1000,1500,15,146,24,0,0,6,True,1,28,20,0,True,True,True,False,False,0,0,False,0,False,True,True,0,0
