key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5]
int32,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,int32,str,str,str,str,str,str
0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0"
1,False,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"Vous m'avez amené ce dont j'ai besoin<Indent/>?","Merci<Indent/>!","Dommage...","0","0","0"
2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ah, voilà ce que je voulais<Indent/>!","Super, merci<Indent/>!","Je vois...","Oh, vous m'en ramenez encore<Indent/>?","Bon, alors parlez-moi de nouveau si vous changez d'avis<Indent/>!","Ça suffira. Merci<Indent/>!"
3,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est vous l'artisan<If(PlayerParameter(4))>e<Else/></If> qui a pris en charge le mandat<Indent/>?","Merci<Indent/>! J'ai eu de la chance de tomber sur une personne fiable comme vous. Voici votre récompense.","Mince, voilà qui ne m'arrange pas... J'ai pourtant émis un mandat pour ce travail...","0","0","0"
4,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est vous l'artisan<If(PlayerParameter(4))>e<Else/></If> qui a accepté le mandat<Indent/>? Vous avez préparé ce qui était demandé<Indent/>?","Merci de m'avoir fourni ce dont j'avais besoin. Je vais vous donner votre récompense.","Ah, dommage... Je n'ai qu'à prendre mon mal en patience, alors.","0","0","0"
5,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Vous êtes l'artisan<If(PlayerParameter(4))>e<Else/></If> que la guilde m'envoie, n'est-ce pas<Indent/>? Vous avez pu préparer ce que j'ai demandé<Indent/>?","Quelle qualité<Indent/>! Merci, j'accuse réception de la commande.","Je comprends, j'imagine que vous avez vos raisons. Une personne comme vous n'agirait pas de manière irresponsable.","Si vous avez encore un peu de temps à m'accorder, accepteriez-vous de me fournir une nouvelle fois<Indent/>?","Il est normal qu'une personne de votre talent ne soit pas toujours disponible, bien sûr... Si jamais vous vous libériez, cependant, revenez me voir.","Merci beaucoup<Indent/>!"
6,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah, vous voilà enfin<Indent/>! Je n'en pouvais plus d'attendre<Indent/>! Vous avez ce que j'ai demandé<Indent/>?","Oh, quel beau travail<Indent/>! Très bien, voici la récompense.","Que quelqu'un vienne m'aider, et vite<Indent/>! Si ce n'était pas urgent, je n'aurais pas émis un mandat exprès<Indent/>!","J'ai demandé une nouvelle livraison, est-ce que vous voudriez bien m'aider à nouveau<Indent/>? Je vois que vous savez travailler vite et bien...","Bien, n'hésitez pas à revenir une autre fois. Enfin, si c'est pour m'inviter, c'est à voir.","Merci<Indent/>! Les aventuriers qui me rendent service comme vous sont toujours les bienvenus ici<Indent/>!"
7,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah, c'est vous qui avez accepté la requête de mon unité. Très bien, voyons un peu ce que vous nous avez apporté.","Je n'ai rien à redire sur la qualité, c'est de l'excellent travail. Vous avez toute ma recon<SoftHyphen/>nais<SoftHyphen/>san<SoftHyphen/>ce.","Moi et mes hommes avons besoin de la marchandise dans les plus brefs délais. Tout retard est susceptible de nous coûter la vie si nous subissons une attaque.","0","0","0"
