key,0,1,2,3,4,5,6,7,8,9,10,11
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Tooltip,Action
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Action
0,0,"",0,"",0,0,1,0,0,"","",0
1,27901,"poterie magique de désamorçage",0,"poteries magiques de désamorçage",0,0,1,1,0,"Poterie magique de désamorçage","Désamorce tous les pièges <Switch(PlayerParameter(109))><Case(1)>du sous-sol</Case><Case(2)>de l'étage</Case><Case(3)>du sous-sol</Case><Case(4)>de la zone</Case></Switch> actuel<If(Equal(PlayerParameter(109),4))>le<Else/></If>.",6259
2,27902,"poterie magique de localisation",0,"poteries magiques de localisation",0,0,1,1,0,"Poterie magique de localisation","Révèle la carte <Switch(PlayerParameter(109))><Case(1)>du sous-sol</Case><Case(2)>de l'étage</Case><Case(3)>du sous-sol</Case><Case(4)>de la zone</Case></Switch> actuel<If(Equal(PlayerParameter(109),4))>le<Else/></If> et rend visibles les pièges qui s'y trouvent.",6260
3,27903,"poterie magique de puissance",0,"poteries magiques de puissance",0,0,1,1,0,"Poterie magique de puissance","Augmente de 30% les dégâts que vous infligez et l'effet de vos sorts curatifs.",6262
4,27904,"poterie magique de protection",0,"poteries magiques de protection",0,0,1,1,0,"Poterie magique de protection","Réduit de 40% les dégâts que vous subissez.",6263
5,27905,"poterie magique de décèlement",0,"poteries magiques de décèlement",0,0,1,1,0,"Poterie magique de décèlement","Augmente le nombre de coffres au trésor <Switch(PlayerParameter(109))><Case(1)>du sous-sol</Case><Case(2)>de l'étage</Case><Case(3)>du sous-sol</Case><Case(4)>de la zone</Case></Switch> suivant<If(Equal(PlayerParameter(109),4))>e<Else/></If>.",6264
6,27906,"poterie magique de sécurisation",0,"poteries magiques de sécurisation",0,0,1,1,0,"Poterie magique de sécurisation","Réduit le nombre d'ennemis <Switch(PlayerParameter(109))><Case(1)>du sous-sol</Case><Case(2)>de l'étage</Case><Case(3)>du sous-sol</Case><Case(4)>de la zone</Case></Switch> suivant<If(Equal(PlayerParameter(109),4))>e<Else/></If>.",6265
7,27907,"poterie magique d'affaiblissement",0,"poteries magiques d'affaiblissement",0,0,1,1,0,"Poterie magique d'affaiblissement","Transforme en mimic ou en mandragore les ennemis d'une des salles <Switch(PlayerParameter(109))><Case(1)>du sous-sol</Case><Case(2)>de l'étage</Case><Case(3)>du sous-sol</Case><Case(4)>de la zone</Case></Switch> suivant<If(Equal(PlayerParameter(109),4))>e<Else/></If>.",6266
8,27908,"poterie magique d'anti-maléfice",0,"poteries magiques d'anti-maléfice",0,0,1,1,0,"Poterie magique d'anti-maléfice","Dissipe l'altération d'état Maléfice.",6267
