key,0
#,
int32,str
0,""
1,"■Objectif■
Évite les obstacles et cours vers la ligne d'arrivée<Indent/>!

■Fin de la manche■
Nombre maximal de qualifiés atteint"
2,"■Objectif■
Évite les obstacles et cours vers la ligne d'arrivée<Indent/>!

■Fin de la manche■
Nombre maximal de qualifiés atteint"
3,"■Objectif■
Reste sur la plate-forme en évitant le souffle nasal de Typhon<Indent/>!

■Fin de la manche■
Nombre maximal d'éliminés atteint"
4,"■Objectif■
Transporte 3 cristaux jusqu'aux arrivées correspondantes<Indent/>!

■Fin de la manche■
Nombre maximal de qualifiés atteint"
5,"■Objectif■
Atteins la couronne au sommet avant tout le monde<Indent/>!

■Fin de la manche■
Premier joueur arrivé"
6,"Évite les obstacles et cours vers la ligne d'arrivée<Indent/>!"
7,"Évite les obstacles et cours vers la ligne d'arrivée<Indent/>!"
8,"Reste sur la plate-forme en évitant le souffle nasal de Typhon<Indent/>!"
9,"Transporte 3 cristaux jusqu'aux arrivées correspondantes<Indent/>!"
10,"Atteins la couronne au sommet avant tout le monde<Indent/>!"
11,"Franchis la ligne d'arrivée<Indent/>!"
12,"Franchis la ligne d'arrivée<Indent/>!"
13,"Ne tombe pas<Indent/>!"
14,"Transporte les cristaux<Indent/>!"
15,"Atteins la couronne<Indent/>!"
16,"En attente de joueurs"
17,"QUALIFIÉ(E)<Indent/>!"
18,"ÉLIMINÉ(E)<Indent/>!"
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,""
30,""
