key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,Turn[0],Turn[1],Turn[2],Turn[3],Turn[4],Turn[5],Turn[6],Turn[7],Gesture[0],Gesture[1],Gesture[2],Gesture[3],Gesture[4],Gesture[5],Gesture[6],Gesture[7],LipSync[0],LipSync[1],LipSync[2],LipSync[3],LipSync[4],LipSync[5],LipSync[6],LipSync[7],Facial[0],Facial[1],Facial[2],Facial[3],Facial[4],Facial[5],Facial[6],Facial[7],Shape[0],Shape[1],Shape[2],Shape[3],Shape[4],Shape[5],Shape[6],Shape[7],IsAutoShake[0],IsAutoShake[1],IsAutoShake[2],IsAutoShake[3],IsAutoShake[4],IsAutoShake[5],IsAutoShake[6],IsAutoShake[7],WidgetType[0],WidgetType[1],WidgetType[2],WidgetType[3],WidgetType[4],WidgetType[5],WidgetType[6],WidgetType[7],Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7]
int32,byte,byte,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,byte,byte,byte,str,str,str,str,str,str,str,str
0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,3,0,0,0,0,0,0,"La situation presse<Indent/>! Nos précieux fruits vont être mangés par les galagos<Indent/>! Si j'essaie de les récupérer, ils vont me charcuter<Indent/>! Aidez-moi, je vous en prie<Indent/>!","Aider le botaniste à récupérer les fruits<Indent/>?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>* Le niveau recommandé pour cet ALÉA est <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","","Merci<Indent/>! Je compte sur vous<Indent/>!","","Vous n'êtes pas très sympa, dites donc.",""
5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Vous m'apportez des prunes<Indent/>?","","","","Merci<Indent/>!","","Ah non<Indent/>? Dommage.",""
6,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Récupérez les prunes qui jonchent le sol et apportez-les-moi<Indent/>!","","","","","","",""
7,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"Maudits braconniers<Indent/>! Ils essaient de cacher les fourrures qu'ils ont chassées pour les récupérer quand nous serons partis.","Nous devons les stopper à tout prix<Indent/>! Je vous en prie, joignez-vous à moi<Indent/>!","Récupérer les fourrures braconnées<Indent/>?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>* Le niveau recommandé pour cet ALÉA est <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","Bonne chance, et que Nophica vous garde<Indent/>!","","Bien, dans ce cas je me chargerai de cette tâche moi-même.",""
8,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Avez-vous pu reprendre des fourrures aux braconniers<Indent/>?","","","","Je vous remercie, aventuri<If(PlayerParameter(4))>ère<Else/>er</If>, mais il reste peut-être des braconniers dans les environs.","","La zone grouille encore de braconniers. Chargez-vous d'eux avant qu'ils ne s'enfuient<Indent/>!",""
9,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Faites vite<Indent/>! Nous devons récupérer les fourrures avant que les braconniers puissent les cacher<Indent/>!","","","","","","",""
10,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"Ah, ces fichus Gobelins<Indent/>! J'vous jure... Alors que je me soulageais en vitesse contre cet arbre, ces stupides créatures en ont profité pour me voler mes mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses.","Je ne suis qu'un modeste marchand<Indent/>; la bagarre, c'est pas mon truc. Pourrais-je vous demander de récupérer mes biens<Indent/>? Je vous récompenserai, bien entendu.","Aider le marchand à récupérer ses mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses<Indent/>?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>* Le niveau recommandé pour cet ALÉA est <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","Montrez-leur qu'on ne se moque pas d'un Uldien impunément<Indent/>!","","Et moi qui croyais que les aventuriers étaient d'une nature généreuse, je me trompais...",""
11,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Mes mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses étaient-elles intactes<Indent/>?","","","","Oui, mais il y en avait d'autres... Bien plus<Indent/>! Je vous en supplie, retrouvez ce qui m'appartient<Indent/>!","","Alors que faites-vous là<Indent/>!? Du nerf, bon sang<Indent/>! Vous devez récupérer mes mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses<Indent/>!",""
12,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Hâtez-vous avant que les Gobelins ne s'enfuient avec mes mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses<Indent/>!","","","","","","",""
13,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Ce gros rocher que t'as là prend de la place dans ton sac. J'peux t'en débarrasser, si tu veux.","Donner le fragment de golem au prospecteur<Indent/>?","","","Parfait. N'hésite pas à revenir me voir si jamais t'en trouves d'autres, je ne compte pas bouger d'ici.","","Tss... Quel<If(PlayerParameter(4))>le<Else/></If> radin<If(PlayerParameter(4))>e<Else/></If><Indent/>! Et qu'est-ce que tu comptes faire de ce vieux rocher, de toute manière<Indent/>? Le manger<Indent/>!?",""
14,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Tu vois comme les pierres des golems s'attirent entre elles<Indent/>? J'suis sûr qu'elles contiennent du métal.","Trouve-moi quelques fragments et je pourrai le prouver<Indent/>!","","","","","",""
15,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Voilà qui devrait suffire.","","","","","","",""
16,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Mes éclaireurs n'ont pas repéré de braconniers dans les environs. Ça ira pour le moment. Je vous remercie.","","","","","","",""
17,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Un... deux... trois... J'aurais juré en avoir plus... Bon, tant pis. Je n'ai qu'à augmenter mes prix.","","","","","","",""
18,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Hé hé hé<Indent/>! Je vais rapporter ces fragments dans ma cabine. Et que je ne te voie pas me suivre<Indent/>!","","","","","","",""
19,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Je... euh... Je peux vous demander un service<Indent/>?","Je dois participer à un exercice d'en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment des recrues de l'ordre des Deux Vipères, mais mon groupe a perdu... quelques membres.","Vous voulez bien vous joindre à moi<Indent/>? Ça ne prendra pas longtemps.","Participer à l'exercice avec la recrue<Indent/>?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>* Le niveau recommandé pour cet ALÉA est <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","","(soupire)... Si seulement je pouvais retrouver mon groupe...",""
20,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"J'espère ne plus jamais voir de limace arboricole<Indent/>!","Ces répugnantes créatures descendent des hauteurs pour dévorer toutes les fleurs, puis dis<SoftHyphen/>pa<SoftHyphen/>rais<SoftHyphen/>sent avant qu'on ait pu leur couper la tête.","Je ne suis qu'un pauvre apiculteur, mais vous... Les limaces n'ont aucune chance contre votre ruse et vos compétences<Indent/>! Qu'en dites-vous<Indent/>?","Aider l'apiculteur<Indent/>?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>* Le niveau recommandé pour cet ALÉA est <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Oh, vous tombez à point nommé. Regardez, les voilà<Indent/>!","","Sans fleurs, comment nos abeilles vont-elles pouvoir fabriquer notre précieux miel, hein<Indent/>!?",""
21,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Je vous en prie<Indent/>! Tuez ces limaces<Indent/>! Pensez aux pauvres abeilles<Indent/>!","","","","","","",""
22,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Je vous en prie, aidez-moi<Indent/>! Spenser, un habitué du bar, est devenu in<SoftHyphen/>con<SoftHyphen/>trô<SoftHyphen/>la<SoftHyphen/>ble.","Ce n'est pas pour rien qu'on l'appelle le “Boit-sans-soif”. Il ne sait pas s'arrêter, et il change du tout au tout quand il boit.","Ivre, il s'en prend à tous ceux qui passent par là, amis comme inconnus. Je vous en prie, maîtrisez-le<Indent/>!","Maîtriser Spenser<Indent/>?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>* Le niveau recommandé pour cet ALÉA est <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","","Pitié<Indent/>! J'ai une femme et des enfants<Indent/>! Vous devez m'aider<Indent/>!!",""
23,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Débarrassez-nous de ce sac à vin<Indent/>!","","","","","","",""
24,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,3,0,0,0,0,0,0,0,"Entrer dans le Guêpier des Ventrerouge<Indent/>?","Passer les portes<Indent/>?","","","","","",""
25,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Nos éclaireurs indiquent que des marchands gobelins s'entendent avec des braconniers dans un camp non loin pour vendre des fourrures qu'ils ont volées.","Cependant, les négociations ne semblent pas se dérouler comme prévu, les deux camps ayant commencé à en venir aux mains. C'est l'occasion de frapper un grand coup<Indent/>!","Acceptez-vous d'aider mon unité à tendre une embuscade aux contrebandiers Griffecoeurl<Indent/>?","Aider les vigiles sombres<Indent/>?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>* Le niveau recommandé pour cet ALÉA est <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Excellent. Hâtons-nous de battre le fer tant qu'il est chaud.","","Alors, vous laisseriez ces bandits poursuivre leur contrebande sans lever le petit doigt<Indent/>? Je ne comprendrai jamais les aventuriers...",""
26,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Montrez à ces hors-la-loi qu'ils n'ont rien à faire dans notre forêt<Indent/>!","","","","","","",""
