key,0
#,Text
int32,str
0,""
1,"Chaîne ≧ <Value>IntegerParameter(1)</Value>"
2,"Force ≧ <Value>IntegerParameter(1)</Value>"
3,"Dextérité ≧ <Value>IntegerParameter(1)</Value>"
4,"Vitalité ≧ <Value>IntegerParameter(1)</Value>"
5,"Intelligence ≧ <Value>IntegerParameter(1)</Value>"
6,"Esprit ≧ <Value>IntegerParameter(1)</Value>"
7,"Piété ≧ <Value>IntegerParameter(1)</Value>"
8,"<Gui(56)/> ≧ <Value>IntegerParameter(1)</Value>"
9,"<Gui(57)/> ≧ <Value>IntegerParameter(1)</Value>"
10,"<Gui(58)/> ≧ <Value>IntegerParameter(1)</Value>"
11,"<Gui(59)/> ≧ <Value>IntegerParameter(1)</Value>"
12,"<Gui(60)/> ≧ <Value>IntegerParameter(1)</Value>"
13,"<Gui(61)/> ≧ <Value>IntegerParameter(1)</Value>"
14,"Collecte ≧ <Value>IntegerParameter(1)</Value>"
15,"Savoir-faire ≧ <Value>IntegerParameter(1)</Value>"
16,"Collecte < <Value>IntegerParameter(1)</Value>"
17,"Savoir-faire <If(IntegerParameter(2))>≧<Else/><</If> <Value>IntegerParameter(1)</Value>"
18,"Requiert <Sheet(Status,IntegerParameter(1),0)/>"
19,"PR ≧ <Value>IntegerParameter(1)</Value>"
20,"<Sheet(Item,IntegerParameter(1),9)/> <If(IntegerParameter(2))><If(<Sheet(Item,IntegerParameter(1),6)/>)>équipée<Else/>équipé</If><Else/><If(<Sheet(Item,IntegerParameter(1),6)/>)>non équipée<Else/>non équipé</If></If>"
