key,0
#,Text
int32,str
0,""
1," Taux de récolte +<Value>IntegerParameter(1)</Value>%"
2," Taux de récolte x <Value>IntegerParameter(1)</Value>"
3," <If(IntegerParameter(2))>récoltable<Else/>Taux de récolte <Value>IntegerParameter(1)</Value>%</If>"
4," Objets de haut niveau +<Value>IntegerParameter(1)</Value>%"
5," Objets de haut niveau x <Value>IntegerParameter(1)</Value>"
6," Objets de haut niveau <Value>IntegerParameter(1)</Value>%"
7," Objets de niveau égal ou inférieur +<Value>IntegerParameter(1)</Value>%"
8," Objets de niveau égal ou inférieur x <Value>IntegerParameter(1)</Value>"
9," Objets de niveau égal ou inférieur <Value>IntegerParameter(1)</Value>%"
10,""
11,""
12,""
13,""
14," Quantité + <Value>IntegerParameter(1)</Value>"
15," Quantité x <Value>IntegerParameter(1)</Value>"
16," Quantité <Value>IntegerParameter(1)</Value>"
17," Quantité + <Value>IntegerParameter(1)</Value> (↑)"
18," Nombre de tentatives + <Value>IntegerParameter(1)</Value>"
19," Nombre de tentatives + <Value>IntegerParameter(1)</Value> (↑)"
20," Découverte d'objets cachés x <Value>IntegerParameter(1)</Value>%"
21," <If(IntegerParameter(2))> Collectionnable<Else/> Non collectionnable</If>"
22," Chances de récolte supp. +<Value>IntegerParameter(1)</Value>%"
23," Chances de récolte supp. +<Value>IntegerParameter(1)</Value>% (↑)"
24," Sublimation +<Value>IntegerParameter(1)</Value>% quand val. collection max."
25," Sublimation +<Value>IntegerParameter(2)</Value>% quand val. collection max. (↑)"
26," Valeur de collection + <Value>IntegerParameter(1)</Value> (↑)"
27," Chances de Sélection méthodique +<Value>IntegerParameter(1)</Value>% (↑)"
28," Bonus d'Inspection rigoureuse +<Value>IntegerParameter(1)</Value>% (↑)"
29," Bonus d'Intuition +<Value>IntegerParameter(1)</Value>% (↑)"
30," Valeur de collection + <Value>IntegerParameter(1)</Value>"
31," Chances de Sélection méthodique +<Value>IntegerParameter(1)</Value>%"
32," Bonus d'Inspection rigoureuse +<Value>IntegerParameter(1)</Value>% (↑)"
33," Bonus d'Intuition +<Value>IntegerParameter(1)</Value>%"
