key,0,1,2,3,4,5
#,PhysicalBonus,MentalBonus,TacticalBonus,Experience,Name,Description
int32,sbyte,sbyte,sbyte,uint32,str,str
0,0,0,0,0,"",""
1,40,0,0,2000,"Accent sur le physique","Physique +40"
2,0,40,0,2000,"Accent sur le mental","Mental +40"
3,0,0,40,2000,"Accent sur la tactique","Tactique +40"
4,20,20,0,2000,"Programme physique et mental","Physique +20 / Mental +20"
5,20,0,20,2000,"Programme physique et tactique","Physique +20 / Tactique +20"
6,0,20,20,2000,"Programme mental et tactique","Mental +20 / Tactique +20 "
7,0,0,0,3000,"Programme complet","Aucun changement global"
