key,0,1,2
#,,,
int32,str,str,str
0,"C'est un dummy, vous savez<Indent/>?","Je le savais<Indent/>!","Ah bon<Indent/>!?"
1,"Prendre la cellule magitek<Indent/>?","Oui","Non"
2,"","",""
3,"","",""
4,"Détruire le rosaire de culte<Indent/>?","Oui","Non"
5,"Utiliser les cellules magitek<Indent/>?","Oui","Non"
6,"Voulez-vous vraiment quitter “<Highlight>ObjectParameter(56)</Highlight>”<Indent/>?","Oui","Non"
7,"","",""
8,"Voulez-vous quitter l'instance<Indent/>?","Oui","Non"
9,"Ouvrir la porte au moyen de la petite clef<Indent/>?","Oui","Non"
10,"","",""
11,"Déclencher l'explosion<Indent/>?","Oui","Non"
12,"Il y a un interrupteur. L'activer<Indent/>?","Oui","Non"
13,"Ramasser la clef<Indent/>?","Oui","Non"
14,"Ramasser la clef de type A<Indent/>?","Oui","Non"
15,"Ramasser la clef de type B<Indent/>?","Oui","Non"
16,"Ramasser la clef de type C<Indent/>?","Oui","Non"
17,"Ramasser la clef de type D<Indent/>?","Oui","Non"
18,"Ouvrir la porte au moyen de la petite clef<Indent/>?","Oui","Non"
19,"Ouvrir la porte du Gui<Indent/>?","Oui","Non"
20,"Ouvrir la porte de l'Œillet<Indent/>?","Oui","Non"
21,"Ouvrir la porte du Lys<Indent/>?","Oui","Non"
22,"Ouvrir la porte de la Rose<Indent/>?","Oui","Non"
23,"","",""
24,"","",""
25,"Éteindre la lampe<Indent/>?","Oui","Non"
26,"Activer le levier et ouvrir la porte<Indent/>?","Oui","Non"
27,"","",""
28,"","",""
29,"Utiliser le rosaire de culte<Indent/>?","Oui","Non"
30,"Utiliser le transporteur magitek<Indent/>?","Oui","Non"
31,"Utiliser le parchemin ensanglanté<Indent/>?","Oui","Non"
32,"Utiliser le levier du monte-charge<Indent/>?","Oui","Non"
33,"Utiliser le levier du monte-charge<Indent/>?","Oui","Non"
34,"Utiliser le détonateur<Indent/>?","Oui","Non"
35,"Placer 12 onz de poudre dans le fourneau<Indent/>?","Oui","Non"
36,"Utiliser le raccourci<Indent/>?","Oui","Non"
37,"Ouvrir la porte frontale de l'Arrêt<Indent/>?","Oui","Non"
38,"Utiliser <SheetFr(EventItem,1,IntegerParameter(1),1,1)/><Indent/>?","Oui","Non"
39,"Vous trouvez une sorte d'interrupteur. L'activer<Indent/>?","Oui","Non"
