key,0
#,String
int32,str
0,""
1,"Jauge du serment"
2,"L'action <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Volonté de fer<UIGlow>01</UIGlow><UIForeground>01</UIForeground> fait apparaître un symbole indiquant que votre génération d'inimitié est considérablement augmentée<Indent/>; les ennemis font plus facilement de vous leur cible, ce qui vous permet de mieux protéger vos alliés."
3,"La description des interfaces de job peut être consultée depuis la fenêtre Actions et traits."
4,"Jauge du serment"
5,"L'obtention du trait <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Maîtrise du serment<UIGlow>01</UIGlow><UIForeground>01</UIForeground> fait apparaître à l'écran la <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Jauge du serment<UIGlow>01</UIGlow><UIForeground>01</UIForeground> qui indique aussi si Volonté de fer est actif. Votre serment se renforce lorsque vos attaques automatiques touchent vos ennemis et permet de lancer <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Schiltron<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Couverture<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (nv 45) et <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Intervention<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (nv 62)."
6,"Jauge de la bête"
7,"L'action <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Défi<UIGlow>01</UIGlow><UIForeground>01</UIForeground> fait apparaître un symbole indiquant que votre génération d'inimitié est considérablement augmentée<Indent/>; les ennemis font plus facilement de vous leur cible, ce qui vous permet de mieux protéger vos alliés."
8,"Jauge de la bête"
9,"La <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Jauge de la bête<UIGlow>01</UIGlow><UIForeground>01</UIForeground> indique le niveau d'éveil de la bête sauvage qui sommeille en vous. La jauge se remplit au fur et à mesure que vous utilisez certaines actions, et permet d'en lancer de plus puissantes, comme <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Bête intérieure<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ou <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Cyclone de fer<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (nv 45)."
10,"Jauge de sang"
11,"L'action <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Férocité<UIGlow>01</UIGlow><UIForeground>01</UIForeground> fait apparaître un symbole indiquant que votre génération d'inimitié est considérablement augmentée<Indent/>; les ennemis font plus facilement de vous leur cible, ce qui vous permet de mieux protéger vos alliés."
12,"Jauge de ténèbres intérieures"
13,"Ce compte à rebours violet indique combien de temps vous pouvez encore bénéficier de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Ténèbres intérieures<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, un effet qui augmente les dégâts que vous infligez. Cet effet peut vous être procuré grâce à <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Déluge de ténèbres<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ou <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Tranchant de ténèbres<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (nv 40)."
14,"Jauge de sang"
15,"L'obtention du trait <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Sang noir<UIGlow>01</UIGlow><UIForeground>01</UIForeground> fait apparaître à l'écran la <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Jauge de sang<UIGlow>01</UIGlow><UIForeground>01</UIForeground> qui peut être remplie en utilisant diverses actions. L'énergie qu'elle contient permet de déclencher des actions comme <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Marée de sang<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ou <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Quietus<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (nv 64)."
16,"Jauge de ténèbres intérieures"
17,"Ce symbole indique que vous bénéficiez d'<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Arts ténébreux<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, un effet octroyé lorsque le bouclier conféré par <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Nuit noirissime<UIGlow>01</UIGlow><UIForeground>01</UIForeground> a absorbé tous les dégâts qu'il pouvait encaisser et disparaît. Sous cet effet, le prochain <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Déluge de ténèbres<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ou <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Tranchant de ténèbres<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ne consomme aucun PM."
18,"Jauge de ténèbres intérieures"
19,"Ce compte à rebours rouge indique combien de temps votre part obscure invoquée grâce à <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Ombre vivante<UIGlow>01</UIGlow><UIForeground>01</UIForeground> peut encore se battre à vos côtés."
20,"Canne des soins"
21,"La <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Canne des soins<UIGlow>01</UIGlow><UIForeground>01</UIForeground> indique le nombre de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Lys<UIGlow>01</UIGlow><UIForeground>01</UIForeground> dont vous bénéficiez. Ils éclosent au bout d'un certain temps passé en combat, et peuvent être utilisés afin de lancer <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Offrande de réconfort<UIGlow>01</UIGlow><UIForeground>01</UIForeground> et <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Offrande de ravissement<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (nv 76)."
22,"Canne des soins"
23,"Certaines actions consommant des <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Lys<UIGlow>01</UIGlow><UIForeground>01</UIForeground> peuvent faire progresser la floraison d'un <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Lys de sang<UIGlow>01</UIGlow><UIForeground>01</UIForeground> d'un degré. Une fois le troisième degré atteint, le <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Lys de sang<UIGlow>01</UIGlow><UIForeground>01</UIForeground> éclot et peut être utilisé pour lancer <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Offrande de misère<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
24,"Jauge de flux d'éther"
25,"La <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Jauge de flux d'éther<UIGlow>01</UIGlow><UIForeground>01</UIForeground> indique le nombre de degrés restants de l'effet procuré par l'action <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Flux d'éther<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
26,"Jauge d'éther féerique"
27,"La <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Jauge d'éther féerique<UIGlow>01</UIGlow><UIForeground>01</UIForeground> indique le pouvoir de votre fée. Au cours des combats où votre fée est invoquée, cette ressource augmente au fur et à mesure que vous utilisez des actions consommant un degré de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Flux d'éther<UIGlow>01</UIGlow><UIForeground>01</UIForeground> comme <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Loi de revivification<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ou <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Traité de l'excogitation<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. En revanche, elle diminue à chaque utilisation de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Pacte d'éther<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
28,"Jauge d'éther féerique"
29,"Vous pouvez renvoyer votre fée Eos et invoquer Séraphin à sa place qui se bat à vos côtés pendant un temps limité indiqué sur la <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Jauge d'éther féerique<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Votre fée revient dès que Séraphin disparait."
30,"Table des arcanes"
