key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5],Talk[6],Talk[7]
int32,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,str,str,str,str,str,str,str,str
0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
1,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,"Salut<Indent/>! Tu veux un mandat<Indent/>?","Hum, tu débutes à peine, je me trompe<Indent/>? Reviens quand tu auras un peu plus d'expérience, d'accord<Indent/>?","Bon courage<Indent/>! J'espère que tout se passera bien.","Rien.","Voilà la récompense<Indent/>!","0","0","0"
2,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Bonjour. Souhaitez-vous obtenir un mandat<Indent/>? Je vais vous aider à trouver un travail qui corresponde à vos aptitudes.","Ici, nous proposons des mandats aux aventuriers rattachés à la guilde. Quand vous aurez assez d'expérience pour <Switch(IntegerParameter(1))><Case(1)>que T'mokkri</Case><Case(2)>que Gontrant</Case><Case(3)>qu'Eustace</Case></Switch> vous donne des au<SoftHyphen/>to<SoftHyphen/>ri<SoftHyphen/>sa<SoftHyphen/>tions, alors je vous trouverai du travail.","Tout est en règle, vous pouvez y aller. J'espère que la chance vous sourira.","Ici, nous proposons des mandats aux aventuriers rattachés à la guilde. Quand vous aurez assez d'expérience pour <Switch(IntegerParameter(1))><Case(1)>que T'mokkri</Case><Case(2)>que Gontrant</Case><Case(3)>qu'Eustace</Case></Switch> vous donne des au<SoftHyphen/>to<SoftHyphen/>ri<SoftHyphen/>sa<SoftHyphen/>tions, alors je vous trouverai du travail.","Vous avez terminé le travail sans encombres, à ce que je vois. J'ai bien fait de vous confier cette mission. Tenez, prenez votre récompense.","0","0","Vous avez abattu une créature dont la tête était mise à prix, vous dites<Indent/>!? Eh bien, ça alors... Bien sûr, cela mérite une récompense sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>re. Voilà<Indent/>!"
3,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Bonjour, nous émettons des mandats destinés aux aventuriers en fonction des tâches que l'on nous confie.","Vous cherchez du travail<Indent/>? Ici, nous proposons des mandats aux aventuriers rattachés à la guilde. Quand <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Miounne</Case><Case(3)>Momodi</Case></Switch> vous recommandera, je vous trouverai du travail.","Et voilà<Indent/>! Je vous souhaite bonne chance, à présent.","Vous cherchez du travail<Indent/>? Ici, nous proposons des mandats aux aventuriers rattachés à la guilde. Quand vous aurez suf<SoftHyphen/>fi<SoftHyphen/>sam<SoftHyphen/>ment progressé pour vaincre les monstres du coin, je vous trouverai du travail.","Vous venez rendre compte de votre mission, très bien. Voici votre récompense... Le client sera satisfait, c'est certain<Indent/>!","0","0","Vous avez abattu une créature dont la tête était mise à prix, vous dites<Indent/>? Mes félicitations<Indent/>! Tenez, voici la prime promise. En espérant que vous en ferez bon usage."
4,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Salut<Indent/>! Les mandats t'intéressent<Indent/>? Je peux te trouver des boulots in<SoftHyphen/>té<SoftHyphen/>res<SoftHyphen/>sants<Indent/>!","Je fais partie de la guilde des aventuriers, et je propose des mandats aux membres qui sont assez forts. Quand tu auras la re<SoftHyphen/>com<SoftHyphen/>man<SoftHyphen/>da<SoftHyphen/>tion de <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Miounne</Case><Case(3)>Momodi</Case></Switch>, je te trouverai quelque chose.","Bon courage. J'attendrai ton retour<Indent/>!","Je fais partie de la guilde des aventuriers, et je propose des mandats aux membres qui sont assez forts. Quand tu auras suf<SoftHyphen/>fi<SoftHyphen/>sam<SoftHyphen/>ment progressé pour vaincre les monstres du coin, je te trouverai quelque chose.","Ah, tu as déjà fini<Indent/>? Très bien, très bien, n'hésite pas à revenir quand tu auras du temps libre<Indent/>!","0","0","Quoi<Indent/>!? Tu as abattu un monstre dont la tête était mise à prix, tu dis<Indent/>? Mais c'est formidable<Indent/>! Tiens, tu as bien mérité ta récompense<Indent/>!"
5,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Bonjour, nous émettons des mandats destinés aux aventuriers en fonction des tâches qui nous parviennent des quatre coins de la forêt.","Vous êtes au guichet des mandats, où nous proposons aux aventuriers des tâches adaptées à leur capacités. Si <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Miounne</Case><Case(3)>Momodi</Case></Switch> vous recommande, je vous donnerai du travail avec joie.","Bon courage. J'attendrai votre retour<Indent/>!","Vous êtes au guichet des mandats, où nous proposons aux aventuriers des tâches adaptées à leurs capacités. Si <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Miounne</Case><Case(3)>Momodi</Case></Switch> vous recommande, je vous donnerai du travail avec joie.","Ah, vous avez rempli votre mission<Indent/>! Parfait, beau travail. Voici la récompense, comme promis.","0","0","Vous êtes venu<If(PlayerParameter(4))>e<Else/></If> à bout d'un monstre dont la tête était mise à prix<Indent/>!? Merci infiniment<Indent/>! Grâce à vous, la forêt de Sombrelinceul sera un peu moins dangereuse. Tenez, votre récompense..."
6,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Salut<Indent/>! Si tu cherches des mandats, tu es au bon endrrroit.","Ce que je fais ici<Indent/>? Eh bien, je propose des mandats aux aven<SoftHyphen/>tu<SoftHyphen/>rrriers rattachés à la guilde. Le travail ne manque pas en ce moment, d'ailleurs ton aide serait la bienvenue. Hélas, tu manques encore un peu d'expérience pour cela... Reviens me voir quand <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Miounne</Case><Case(3)>Momodi</Case></Switch> t'aurrra donné son aval et je m'occuperai de toi.","Bonne chance, et sois prrrudent<If(PlayerParameter(4))>e<Else/></If><Indent/>!","Ce que je fais ici<Indent/>? Eh bien, je propose des mandats aux aven<SoftHyphen/>tu<SoftHyphen/>rrriers rattachés à la guilde. Le travail ne manque pas en ce moment, d'ailleurs ton aide serait la bienvenue. Hélas, tu manques encore un peu d'expérience pour cela... Il faut que tu progresses encore et que tu deviennes suf<SoftHyphen/>fi<SoftHyphen/>sam<SoftHyphen/>ment fort<If(PlayerParameter(4))>e<Else/></If> pour abattre les monstres qui rôdent autourrr de Limsa Lominsa<Indent/>; sinon je ne donne pas cher de ta peau.","Tu as fini<Indent/>? Bien, bien, bien... Voilà ta récompense. Le client sera rrravi, j'en suis sûre<Indent/>!","0","0","Ça y est, tu as rempli ta mission<Indent/>? Quoi<Indent/>? Tu as abattu un monstre dont la tête était mise à prix<Indent/>!? Mais c'est forrrmidable<Indent/>! Tu mérites une récompense sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>re."
7,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"<If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>Bonsoir<Else/>Bonjour</If><Else/><If(LessThan(PlayerParameter(11),17))>Bonjour<Else/>Bonsoir</If></If>, mon ami<If(PlayerParameter(4))>e<Else/></If>. Je propose des mandats aux aventuriers en fonction des demandes qui nous parviennent à la guilde.","Ce que je fais ici<Indent/>? Eh bien, je propose des mandats aux aventuriers rattachés à la guilde. Le travail ne manque pas en ce moment, d'ailleurs votre aide serait la bienvenue. Hélas, vous manquez encore un peu d'expérience pour cela... Revenez me voir quand vous aurez l'au<SoftHyphen/>to<SoftHyphen/>ri<SoftHyphen/>sa<SoftHyphen/>tion de <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Miounne</Case><Case(3)>Momodi</Case></Switch> et je m'occuperai de vous.","Bonne chance, et que les Douze veillent sur vous...","Ce que je fais ici<Indent/>? Eh bien, je propose des mandats aux aventuriers rattachés à la guilde. Le travail ne manque pas en ce moment, d'ailleurs votre aide serait la bienvenue. Hélas, vous manquez encore un peu d'expérience pour cela... Il faut que vous progressiez encore et que vous deveniez suf<SoftHyphen/>fi<SoftHyphen/>sam<SoftHyphen/>ment fort<If(PlayerParameter(4))>e<Else/></If> pour abattre les monstres qui rôdent autour d'Ul'dah.","Ah, vous revoilà. Tout s'est bien passé, on dirait. Tenez, c'est votre récompense. Au plaisir de vous revoir<Indent/>!","0","0","Vous avez tué un monstre dont la tête était mise à prix<Indent/>!? Mes félicitations<Indent/>! J'imagine que ça n'a pas dû être chose aisée... Vous méritez bien une petite récompense sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>re<Indent/>!"
