key,0,1,2,3
#,Name,ENPC,,
int32,str,ENpcResident,byte,byte
0,"",0,0,0
1,"",0,0,0
2,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,8
3,"Au prochain ouvrage collectif, on essaye de terminer la con<SoftHyphen/>struc<SoftHyphen/>tion des guichets côté ouest<Indent/>! Oubliez pas d'aller voir l'horaire sur le panneau<Indent/>!",1032493,3,8
4,"La première phase des travaux est terminée, bien joué<Indent/>! Maintenant, à vos dons pour préparer la suivante<Indent/>!",1032493,3,8
5,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,8
6,"Je compte sur vous pour finir le boulot pendant le prochain ouvrage collectif<Indent/>! L'horaire est indiqué sur le panneau<Indent/>!",1032493,3,8
7,"Deuxième phase terminée, c'est du bon boulot<Indent/>! On attend vos dons pour préparer la troisième<Indent/>!",1032493,3,8
8,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,8
9,"Encore un petit effort au prochain ouvrage collectif pour terminer les dernières ins<SoftHyphen/>tal<SoftHyphen/>la<SoftHyphen/>tions<Indent/>! Et vérifiez bien l'horaire sur le panneau<Indent/>!",1032493,3,8
10,"Ça y est, l'Esplanade des démunis est terminée<Indent/>! Bravo à tous, c'était du vrai travail de pro<Indent/>!",1032493,8,8
11,"",0,0,0
12,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
13,"La première phase de recon<SoftHyphen/>struc<SoftHyphen/>tion du Hoyau est terminée, bien joué<Indent/>! Maintenant, à vos dons pour préparer la suivante<Indent/>!",1032493,3,10
14,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
15,"Deuxième phase de recon<SoftHyphen/>struc<SoftHyphen/>tion du Hoyau terminée, c'est du bon boulot<Indent/>! On attend vos dons pour préparer la troisième<Indent/>!",1032493,3,10
16,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
17,"Encore un petit effort au prochain ouvrage collectif pour terminer la troisième phase<Indent/>! Et vérifiez bien l'horaire sur le panneau<Indent/>!",1032493,3,10
18,"Troisième phase de recon<SoftHyphen/>struc<SoftHyphen/>tion du Hoyau terminée<Indent/>! Il n'en reste plus qu'une, et elle attend vos dons avec impatience<Indent/>!",1032493,3,10
19,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
20,"Encore un petit effort au prochain ouvrage collectif pour terminer la quatrième phase<Indent/>! Et vérifiez bien l'horaire sur le panneau<Indent/>!",1032493,3,10
21,"Ça y est, Le Hoyau est terminé<Indent/>! Bravo à tous, c'était du vrai travail de pro<Indent/>! À présent, au tour de l'estrade de Sainte Roelle<Indent/>! Nous comptons plus que jamais sur vos dons<Indent/>!",1032493,8,10
22,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
23,"La première phase de recon<SoftHyphen/>struc<SoftHyphen/>tion de l'estrade de Sainte Roelle est terminée, bien joué<Indent/>! Maintenant, à vos dons pour préparer la suivante<Indent/>!",1032493,3,10
24,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
25,"Deuxième phase de recon<SoftHyphen/>struc<SoftHyphen/>tion de l'estrade de Sainte Roelle terminée, c'est du bon boulot<Indent/>! On attend vos dons pour préparer la troisième<Indent/>!",1032493,3,10
26,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
27,"Encore un petit effort au prochain ouvrage collectif pour terminer la troisième phase<Indent/>! Et vérifiez bien l'horaire sur le panneau<Indent/>!",1032493,3,10
28,"Troisième phase de recon<SoftHyphen/>struc<SoftHyphen/>tion de l'estrade de Sainte Roelle terminée<Indent/>! Il n'en reste plus qu'une, et elle attend vos dons avec impatience<Indent/>!",1032493,3,10
29,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
30,"Ça y est, l'estrade de Sainte Roelle est terminée<Indent/>! Bravo à tous, c'était du vrai travail de pro<Indent/>! À présent, au tour du Nichoir<Indent/>! Nous comptons plus que jamais sur vos dons<Indent/>!",1032493,8,10
31,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
32,"La première phase de recon<SoftHyphen/>struc<SoftHyphen/>tion du Nichoir est terminée, bien joué<Indent/>! Maintenant, à vos dons pour préparer la suivante<Indent/>!",1032493,3,10
33,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
34,"Deuxième phase de recon<SoftHyphen/>struc<SoftHyphen/>tion du Nichoir terminée, c'est du bon boulot<Indent/>! On attend vos dons pour préparer la troisième<Indent/>!",1032493,3,10
35,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
36,"Troisième phase de recon<SoftHyphen/>struc<SoftHyphen/>tion du Nichoir terminée<Indent/>! En avant toute pour la quatrième<Indent/>! À vos dons<Indent/>!",1032493,3,10
37,"Le niveau de ressources requis vient d'être atteint. Veuillez consulter l'horaire du prochain ouvrage collectif sur le panneau d'in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions.",0,0,10
38,"Encore un petit effort au prochain ouvrage collectif pour terminer la quatrième phase<Indent/>! Et vérifiez bien l'horaire sur le panneau<Indent/>!",1032493,3,10
