key,0,1,2,3,4
#,Type,,,,Text
int32,HWDInfoBoardArticleType,byte,uint16,bit&01,str
0,0,0,0,False,""
1,0,0,0,False,""
2,0,0,0,False,""
3,0,0,0,False,""
4,0,0,0,False,""
5,1,0,0,True,""
6,1,0,0,True,""
7,1,0,0,True,""
8,1,0,0,True,""
9,1,0,0,True,""
10,1,0,0,True,""
11,1,0,0,True,""
12,2,1,1,True,"<Switch(IntegerParameter(1))><Case(1)>Esplanade des démunis, phase 1</Case><Case(2)>N°1 : Esplanade des démunis, phase 1</Case></Switch>"
13,2,1,2,False,"<Switch(IntegerParameter(1))><Case(1)>On recherche des artisans<Indent/>!</Case><Case(2)>N°2 : On recherche des artisans<Indent/>!</Case></Switch>"
14,2,4,3,True,"<Switch(IntegerParameter(1))><Case(1)>Esplanade des démunis, phase 2</Case><Case(2)>N°3 : Esplanade des démunis, phase 2</Case></Switch>"
15,2,4,4,False,"<Switch(IntegerParameter(1))><Case(1)>Nouveaux ouvrages collectifs<Indent/>!</Case><Case(2)>N°4 : Nouveaux ouvrages collectifs<Indent/>!</Case></Switch>"
16,2,7,5,True,"<Switch(IntegerParameter(1))><Case(1)>Esplanade des démunis, phase 3</Case><Case(2)>N°5 : Esplanade des démunis, phase 3</Case></Switch>"
17,2,7,6,False,"<Switch(IntegerParameter(1))><Case(1)>Contribuez au projet de Lizbeth<Indent/>!</Case><Case(2)>N°6 : Contribuez au projet de Lizbeth<Indent/>!</Case></Switch>"
18,2,10,7,True,"<Switch(IntegerParameter(1))><Case(1)>Fin des travaux à l'Esplanade des démunis</Case><Case(2)>N°7 : Fin des travaux à l'Esplanade des démunis</Case></Switch>"
19,3,1,2,True,"Les dons d'objets"
20,3,1,3,True,"Les ouvrages collectifs"
21,3,1,1,True,"Le projet de recon<SoftHyphen/>struc<SoftHyphen/>tion d'Ishgard"
22,1,0,0,True,""
23,1,0,0,True,""
24,1,0,0,True,""
25,1,0,0,True,""
26,2,11,1,True,"<Switch(IntegerParameter(1))><Case(1)>Le Hoyau</Case><Case(2)>N°1 : Le Hoyau</Case></Switch>"
27,2,11,2,False,"<Switch(IntegerParameter(1))><Case(1)>C'est reparti pour un tour<Indent/>!</Case><Case(2)>N°2 : C'est reparti pour un tour<Indent/>!</Case></Switch>"
28,2,14,3,False,"<Switch(IntegerParameter(1))><Case(1)>Jusqu'au bout de l'allée</Case><Case(2)>N°3 : Jusqu'au bout de l'allée</Case></Switch>"
29,2,16,4,False,"<Switch(IntegerParameter(1))><Case(1)>Un dernier coup de balai</Case><Case(2)>N°4 : Un dernier coup de balai</Case></Switch>"
30,2,19,5,False,"<Switch(IntegerParameter(1))><Case(1)>Tous unis pour la fontaine</Case><Case(2)>N°5 : Tous unis pour la fontaine</Case></Switch>"
31,2,21,6,True,"<Switch(IntegerParameter(1))><Case(1)>L'estrade de Sainte Roelle</Case><Case(2)>N°6 : L'estrade de Sainte Roelle</Case></Switch>"
32,2,21,7,False,"<Switch(IntegerParameter(1))><Case(1)>À l'échafau... dage<Indent/>!</Case><Case(2)>N°7 : À l'échafau... dage<Indent/>!</Case></Switch>"
33,2,24,8,False,"<Switch(IntegerParameter(1))><Case(1)>Un artisan qui travaille est comme un guerrier qui bataille...</Case><Case(2)>N°8 : Un artisan qui travaille est comme un guerrier qui bataille...</Case></Switch>"
34,2,26,9,False,"<Switch(IntegerParameter(1))><Case(1)>Les pavés dans la mare</Case><Case(2)>N°9 : Les pavés dans la mare</Case></Switch>"
35,2,29,10,False,"<Switch(IntegerParameter(1))><Case(1)>Les ouvrages collectifs, y a que ça de vrai<Indent/>!</Case><Case(2)>N°10 : Les ouvrages collectifs, y a que ça de vrai<Indent/>!</Case></Switch>"
36,2,30,11,True,"<Switch(IntegerParameter(1))><Case(1)>Le Nichoir</Case><Case(2)>N°11 : Le Nichoir</Case></Switch>"
37,2,30,12,False,"<Switch(IntegerParameter(1))><Case(1)>Début des travaux au Nichoir</Case><Case(2)>N°12 : Début des travaux au Nichoir</Case></Switch>"
38,2,33,13,False,"<Switch(IntegerParameter(1))><Case(1)>Le grand nettoyage continue</Case><Case(2)>N°13 : Le grand nettoyage continue</Case></Switch>"
39,2,35,14,False,"<Switch(IntegerParameter(1))><Case(1)>Le grand nettoyage touche à sa fin</Case><Case(2)>N°14 : Le grand nettoyage touche à sa fin</Case></Switch>"
40,2,37,15,False,"<Switch(IntegerParameter(1))><Case(1)>Adieu, vieux débris<Indent/>!</Case><Case(2)>N°15 : Adieu, vieux débris<Indent/>!</Case></Switch>"
41,2,40,16,False,"<Switch(IntegerParameter(1))><Case(1)>Les nids du Nichoir</Case><Case(2)>N°16 : Les nids du Nichoir</Case></Switch>"
42,2,43,17,False,"<Switch(IntegerParameter(1))><Case(1)>Brique après brique</Case><Case(2)>N°17 : Brique après brique</Case></Switch>"
43,2,46,18,False,"<Switch(IntegerParameter(1))><Case(1)>C'est le der des ders au Nichoir<Indent/>!</Case><Case(2)>N°18 : C'est le der des ders au Nichoir<Indent/>!</Case></Switch>"
44,2,48,19,True,"<Switch(IntegerParameter(1))><Case(1)>Fin des travaux au Nichoir</Case><Case(2)>N°19 : Fin des travaux au Nichoir</Case></Switch>"
45,3,11,4,True,"Le Kupo de la fortune"
46,3,11,5,True,"Le Diadème"
47,1,0,0,True,""
48,1,0,0,True,""
49,1,0,0,True,""
50,1,0,0,True,""
51,2,49,1,True,"<Switch(IntegerParameter(1))><Case(1)>Tombeplume</Case><Case(2)>N°1 : Tombeplume</Case></Switch>"
52,2,50,2,False,"<Switch(IntegerParameter(1))><Case(1)>À vos biceps<Indent/>!</Case><Case(2)>N°2 : À vos biceps<Indent/>!</Case></Switch>"
53,2,52,3,False,"<Switch(IntegerParameter(1))><Case(1)>Sus aux débris</Case><Case(2)>N°3 : Sus aux débris</Case></Switch>"
54,2,54,4,False,"<Switch(IntegerParameter(1))><Case(1)>Aplanir pour mieux construire</Case><Case(2)>N°4 : Aplanir pour mieux construire</Case></Switch>"
55,2,56,5,False,"<Switch(IntegerParameter(1))><Case(1)>Sous les pavés le nettoyage</Case><Case(2)>N°5 : Sous les pavés le nettoyage</Case></Switch>"
56,2,59,6,False,"<Switch(IntegerParameter(1))><Case(1)>Installations et habitations</Case><Case(2)>N°6 : Installations et habitations</Case></Switch>"
57,2,62,7,False,"<Switch(IntegerParameter(1))><Case(1)>Des cœurs à l'ouvrage</Case><Case(2)>N°7 : Des cœurs à l'ouvrage</Case></Switch>"
58,2,65,8,False,"<Switch(IntegerParameter(1))><Case(1)>Des artisans pour des logements</Case><Case(2)>N°8 : Des artisans pour des logements</Case></Switch>"
59,2,67,9,True,"<Switch(IntegerParameter(1))><Case(1)>L'Abaque</Case><Case(2)>N°9 : L'Abaque</Case></Switch>"
60,2,68,10,False,"<Switch(IntegerParameter(1))><Case(1)>On s'attaque à L'Abaque</Case><Case(2)>N°10 : On s'attaque à L'Abaque</Case></Switch>"
61,2,70,11,False,"<Switch(IntegerParameter(1))><Case(1)>Ouvrage à la noix</Case><Case(2)>N°11 : Ouvrage à la noix</Case></Switch>"
62,2,73,12,False,"<Switch(IntegerParameter(1))><Case(1)>Embellir L'Abaque</Case><Case(2)>N°12 : Embellir L'Abaque</Case></Switch>"
63,2,74,13,True,"<Switch(IntegerParameter(1))><Case(1)>Retraite de Givreglacé</Case><Case(2)>N°13 : Retraite de Givreglacé</Case></Switch>"
64,2,75,14,False,"<Switch(IntegerParameter(1))><Case(1)>Un nouveau symbole</Case><Case(2)>N°14 : Un nouveau symbole</Case></Switch>"
65,2,79,15,True,"<Switch(IntegerParameter(1))><Case(1)>Fin des travaux à Tombeplume</Case><Case(2)>N°15 : Fin des travaux à Tombeplume</Case></Switch>"
66,1,0,0,True,""
67,1,0,0,True,""
68,1,0,0,True,""
69,1,0,0,True,""
70,1,0,0,True,""
71,2,80,1,True,"<Switch(IntegerParameter(1))><Case(1)>Le Nouveau Refrain (Ouest)</Case><Case(2)>N°1 : Le Nouveau Refrain (Ouest)</Case></Switch>"
72,2,81,2,False,"<Switch(IntegerParameter(1))><Case(1)>Martelez au rythme du Nouveau Refrain<Indent/>!</Case><Case(2)>N°2: Martelez au rythme du Nouveau Refrain<Indent/>!</Case></Switch>"
73,2,83,3,False,"<Switch(IntegerParameter(1))><Case(1)>N'oubliez pas de faire le ménage<Indent/>!</Case><Case(2)>N°3 : N'oubliez pas de faire le ménage<Indent/>!</Case></Switch>"
74,2,86,4,False,"<Switch(IntegerParameter(1))><Case(1)>Des maisons où vivre il fait bon<Indent/>!</Case><Case(2)>N°4 : Des maisons où vivre il fait bon<Indent/>!</Case></Switch>"
75,2,89,5,False,"<Switch(IntegerParameter(1))><Case(1)>C'est l'heure de l'ouvrage collectif<Indent/>!</Case><Case(2)>N°5 : C'est l'heure de l'ouvrage collectif<Indent/>!</Case></Switch>"
76,2,92,6,False,"<Switch(IntegerParameter(1))><Case(1)>Encore un petit effort dans la partie ouest du Nouveau Refrain<Indent/>!</Case><Case(2)>N°6 : Encore un petit effort dans la partie ouest du Nouveau Refrain<Indent/>!</Case></Switch>"
77,2,94,7,True,"<Switch(IntegerParameter(1))><Case(1)>La porte des Industrieux</Case><Case(2)>N°7 : La porte des Industrieux</Case></Switch>"
78,2,95,8,False,"<Switch(IntegerParameter(1))><Case(1)>Frappez à la bonne porte<Indent/>!</Case><Case(2)>N°8 : Frappez à la bonne porte<Indent/>!</Case></Switch>"
79,2,97,9,False,"<Switch(IntegerParameter(1))><Case(1)>Le Nouveau Refrain (Est)</Case><Case(2)>N°9 : Le Nouveau Refrain (Est)</Case></Switch>"
80,2,98,10,False,"<Switch(IntegerParameter(1))><Case(1)>Dernier déblayage, promis<Indent/>!</Case><Case(2)>N°10 : Dernier déblayage, promis<Indent/>!</Case></Switch>"
81,2,100,11,False,"<Switch(IntegerParameter(1))><Case(1)>L'ultime coup de balais</Case><Case(2)>N°11 : L'ultime coup de balais</Case></Switch>"
82,2,103,12,True,"<Switch(IntegerParameter(1))><Case(1)>Des maisons qui poussent comme des champignons</Case><Case(2)>N°12 : Des maisons qui poussent comme des champignons</Case></Switch>"
83,2,106,13,False,"<Switch(IntegerParameter(1))><Case(1)>Des maisons pour tout le monde<Indent/>!</Case><Case(2)>N°13 : Des maisons pour tout le monde<Indent/>!</Case></Switch>"
84,2,108,14,True,"<Switch(IntegerParameter(1))><Case(1)>Les Bains floconneux</Case><Case(2)>N°14 : Les Bains floconneux</Case></Switch>"
85,2,109,15,False,"<Switch(IntegerParameter(1))><Case(1)>Tout le monde dans le même bain<Indent/>!</Case><Case(2)>N°15 : Tout le monde dans le même bain<Indent/>!</Case></Switch>"
86,2,111,16,False,"<Switch(IntegerParameter(1))><Case(1)>Un projet monumental</Case><Case(2)>N°16 : Un projet monumental</Case></Switch>"
