key,0,1,2,3,4,5,6
#,Type,IconType,Image,TextType,Text[0],Text[1],Text[2]
int32,byte,byte,Image,byte,str,str,str
0,0,0,0,0,"","",""
1,0,0,150011,0,"","",""
2,0,0,150012,0,"","",""
3,0,0,0,0,"","",""
4,0,0,0,0,"","",""
5,1,1,150021,1,"Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point d'exclamation<UIGlow>01</UIGlow><UIForeground>01</UIForeground> au-dessus de leur tête.

Faites un <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>clic droit<UIGlow>01</UIGlow><UIForeground>01</UIForeground> sur Ryssfloh pour lancer la quête.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point d'exclamation<UIGlow>01</UIGlow><UIForeground>01</UIForeground> au-dessus de leur tête.

Faites un <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>clic droit<UIGlow>01</UIGlow><UIForeground>01</UIForeground> sur Bertennant pour lancer la quête.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point d'exclamation<UIGlow>01</UIGlow><UIForeground>01</UIForeground> au-dessus de leur tête.

Faites un <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>clic droit<UIGlow>01</UIGlow><UIForeground>01</UIForeground> sur Wymond pour lancer la quête."
6,1,1,150022,1,"Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point d'exclamation<UIGlow>01</UIGlow><UIForeground>01</UIForeground> au-dessus de leur tête.

Pour lancer la quête, ciblez Ryssfloh et pressez ensuite la touche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Confirmer<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point d'exclamation<UIGlow>01</UIGlow><UIForeground>01</UIForeground> au-dessus de leur tête.

Pour lancer la quête, ciblez Bertennant et pressez ensuite la touche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Confirmer<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point d'exclamation<UIGlow>01</UIGlow><UIForeground>01</UIForeground> au-dessus de leur tête.

Pour lancer la quête, ciblez Wymond et pressez ensuite la touche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Confirmer<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
7,0,0,0,0,"","",""
8,0,0,0,0,"","",""
9,0,0,0,0,"","",""
10,1,1,150121,0,"Lorsque vous lancez une quête, une fenêtre vous présentant brièvement son contenu ainsi que la récompense apparaît à l'écran.
Si cela vous intéresse et que vous vous sentez à la hauteur de la tâche, n'hésitez pas et cliquez sur <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Accepter<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","",""
11,1,1,150121,0,"Lorsque vous lancez une quête, une fenêtre vous présentant brièvement son contenu ainsi que la récompense apparaît à l'écran.
Si cela vous intéresse et que vous vous sentez à la hauteur de la tâche, n'hésitez pas et sélectionnez <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Accepter<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","",""
12,0,0,0,0,"","",""
13,0,0,0,0,"","",""
14,0,0,0,0,"","",""
15,1,1,150811,1,"Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>récompense<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Baderon et accomplissez votre première quête<Indent/>!","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>récompense<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Miounne et accomplissez votre première quête<Indent/>!","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>récompense<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Momodi et accomplissez votre première quête<Indent/>!"
