key,0
#,
int32,str
0,""
1,"La maison des merveilles vous accueille<Indent/>!"
2,"La maison des merveilles de Mowena offre une large sélection d'objets en tout genre glanés çà et là par nos marchands d'exception et nos partenaires du peuple féérique<Indent/>! Venez troquer vos mémoquartz allagois, vos attestations diverses ou même vos vieux bibelots. Qui sait<Indent/>? Peut-être qu'ils nous intéressent, et que nous vous les échangerons contre l'article de vos rêves<Indent/>!"
3,"Bienvenue au comptoir des assignats<Indent/>!"
4,"Vous pouvez échanger ici les assignats d'artisan et de récolteur que notre maison délivre contre toutes sortes d'objets utiles à votre métier<Indent/>! Nos produits pourraient bien vous aider à atteindre le summum de votre art, alors prenez le temps de jeter un œil sur ce que nous avons en stock<Indent/>!"
5,"Bienvenue au comptoir des assignats de récolteur<Indent/>!"
6,"Vous pouvez échanger ici les assignats de récolteur que notre maison délivre contre toutes sortes d'objets utiles à votre métier<Indent/>! Nos produits pourraient bien vous aider à atteindre le summum de votre art, alors prenez le temps de jeter un œil sur ce que nous avons en stock<Indent/>!"
7,"Échangez ici vos marques de loup<Indent/>!"
8,"Ici, vous pouvez échanger vos marques de loup dûment remportées en compétition contre des pièces d'équipement inédites et du matériel utile. Entraînez-vous sans relâche, prouvez votre habileté au combat, et vous repartirez mieux outillé(e) que jamais<Indent/>! Que la bienveillance du Cristal vous montre la voie<Indent/>!"
9,"Bienvenue aux Petites Curiosités de Lor Ul<Indent/>!"
10,"Ici, vous pouvez échanger vos assignats d'artisan et vos assignats de récolteur contre de formidables produits<Indent/>! J'espère te voir souvent, petit arbrisseau du Monarque<Indent/>!"
11,"Bienvenue au comptoir d'échange des assignats du Thésauros..."
12,"... Nous avons ouvert ici un comptoir temporaire d'échange d'assignats d'artisan et de récolteur, en partenariat avec la maison des splendeurs de Rowena. Les produits que nous proposons vous seront utiles pour per<SoftHyphen/>fec<SoftHyphen/>tion<SoftHyphen/>ner votre art, n'hésitez donc pas à jeter un œil sur ce que nous avons en stock."
13,"Bienvenue au comptoir universel de Vieille Sharlayan<Indent/>!"
14,"Sous la tutelle du syndicat des commerçants de l'Agora, notre éta<SoftHyphen/>blis<SoftHyphen/>se<SoftHyphen/>ment vous propose d'échanger vos mémoquartz et divers objets contre une sélection d'articles rares et précieux en tous genres. Notre catalogue a été constitué en étroite coopération avec la célèbre maison des splendeurs de Rowena, alors n'hésitez pas à le consulter<Indent/>!"
