key,0
#,Name
int32,str
0,""
1,"Client<Indent/>: Sergent-major Sylskaetsyn"
2,"Client<Indent/>: Wynstin Walder, du Consortium de Brugaire"
3,"Client<Indent/>: George Abitbol, l'homme le plus classe du monde"
4,"Client<Indent/>: Montures Mog"
5,"Client<Indent/>: Audrie, des Montures Mog"
6,"Client<Indent/>: Un élé<SoftHyphen/>men<SoftHyphen/>ta<SoftHyphen/>lis<SoftHyphen/>te du Temple de la Sérénité"
7,"Client<Indent/>: Ayled, cantinière"
8,"Client<Indent/>: Buscarron"
9,"Client<Indent/>: Maisenta, maison de commerce “le Lièvre noir”"
10,"Client<Indent/>: 3e Lance des vigiles sombres"
11,"Client<Indent/>: 4e Lance des vigiles sombres"
12,"Client<Indent/>: 5e Lance des vigiles sombres"
13,"Client<Indent/>: Juliembert, de la 5e Lance des vigiles sombres"
14,"Client<Indent/>: Les habitants du Moulin de la Carrière"
15,"Client<Indent/>: Un membre de la guilde des botanistes"
16,"Client<Indent/>: Guilde des chasseurs"
17,"Client<Indent/>: Gabineaux"
18,"Client<Indent/>: 1re Lance des vigiles sombres"
19,"Client<Indent/>: Lanverlais, de la 1re Lance des vigiles sombres"
20,"Client<Indent/>: Eugenaire, de la guilde des chasseurs"
21,"Client<Indent/>: Galfrid, division du Centaure des flèches divines"
22,"Client<Indent/>: Gabineaux, de la guilde des botanistes"
23,"Client<Indent/>: Leonceault, de la guilde des botanistes"
24,"Client<Indent/>: Alixie, du Temple de la Sérénité"
25,"Client<Indent/>: Maurelin, division du Centaure des flèches divines"
26,"Client<Indent/>: Margault, des Montures Mog"
27,"Client<Indent/>: Eylgar, de la 3e Lance des vigiles sombres"
28,"Client<Indent/>: Gustavain, des Montures Mog"
29,"Client<Indent/>: Waldew, du Temple de la Sérénité"
30,"Client<Indent/>: Florimond, de la 4e Lance des vigiles sombres"
31,"Client<Indent/>: Buscarron, patron du bar “Au Choix de Buscarron”"
32,"Client<Indent/>: Rosa Hawthorne, rucher de Pleinefleur"
33,"Client<Indent/>: Ysabel Hawthorne, habitante de la forêt"
34,"Client<Indent/>: Rolfe Hawthorne, habitant de la forêt"
35,"Client<Indent/>: Balan, de la 5e Lance des vigiles sombres"
36,"Client<Indent/>: Ombeline, habitante du Moulin de la Carrière"
37,"Client<Indent/>: Kupni Kapp, le Mog barde"
38,"Client<Indent/>: Charline, du Temple de la Sérénité"
39,"Client<Indent/>: Alderique, habitante du Moulin de la Carrière"
40,"Client<Indent/>: Averay, de la 6e Lance des vigiles sombres"
41,"Client<Indent/>: Adestan, du Temple de la Sérénité"
42,"Client<Indent/>: Guttrix, le colporteur honnête"
43,"Client<Indent/>: Rolandaix, prospecteur des ruines de Gelmorra"
44,"Client<Indent/>: Pimoh Nelhah, de la 2e Lance des vigiles sombres"
45,"Client<Indent/>: Castellaint, de la 5e Lance des vigiles sombres"
46,"Client<Indent/>: Anaoc, gérant de la métairie du Coq rouge"
47,"Client<Indent/>: Arenlona, herboriste de la métairie du Coq rouge"
48,"Client<Indent/>: Moegramm, dresseur à la métairie du Coq rouge"
49,"Client<Indent/>: Weitzaren, chef des meuniers à La Flotte grise"
50,"Client<Indent/>: Ahldskyf, capitaine du navire marchand l'Orion"
51,"Client<Indent/>: Lyulf, agriculteur du Martinet"
52,"Client<Indent/>: Faucillien, des pêcheurs de Wawalago"
53,"Client<Indent/>: Ancreta, 2e d'infanterie des casaques jaunes"
54,"Client<Indent/>: Sylskaetsyn, 2e d'infanterie des casaques jaunes"
55,"Client<Indent/>: Fraeloefsyn, 3e d'infanterie des casaques jaunes"
56,"Client<Indent/>: Hyllbornsyn, 3e d'infanterie des casaques jaunes"
57,"Client<Indent/>: Y'alabali, 4e d'infanterie des casaques jaunes"
58,"Client<Indent/>: Myndeidin, brasseur de Port-aux-Ales"
59,"Client<Indent/>: O'adebh, brasseusse de Port-aux-Ales"
60,"Client<Indent/>: Haldbroda, marin du quai de la Torche"
61,"Client<Indent/>: Gugudi, majordome du seigneur Gegeruju"
62,"Client<Indent/>: Wheiskaet, capitaine de la Garde personnelle de Gegeruju"
63,"Client<Indent/>: Maetimynd, forgeron de Naldiq et Vymelli"
64,"Client<Indent/>: Isouda"
65,"Client<Indent/>: Dyrstweitz, pro<SoftHyphen/>prié<SoftHyphen/>taire du Requin volant"
66,"Client<Indent/>: Memeroon, du comptoir de Memeroon"
67,"Client<Indent/>: P'tahjha, de la douane de Mealvaan"
68,"Client<Indent/>: Syzfrusk, caviste de Port-aux-Vins"
69,"Client<Indent/>: E'bandala, caviste de Port-aux-Vins"
70,"Client<Indent/>: Adelard, des Bons filons d'Amajina et Fils"
71,"Client<Indent/>: Crooked Haft, des Bons filons d'Amajina et Fils"
72,"Client<Indent/>: Linette, des Bons filons d'Amajina et Fils"
73,"Client<Indent/>: Drunken Stag, des Bons filons d'Amajina et Fils"
74,"Client<Indent/>: Marcette"
75,"Client<Indent/>: Erimmont, des Caves de Mun-Tuy"
76,"Client<Indent/>: Lyngsath, chef du restaurant Le Bismarck"
77,"Client<Indent/>: Pipikkuli"
78,"Client<Indent/>: Shushunen, Firme du commerce de l'Aldenard oriental"
79,"Client<Indent/>: Aewuld, ouvrier émérite de la guilde des orfèvres"
80,"Client<Indent/>: Airell, diacre de l'ordre de Nald'thal"
81,"Client<Indent/>: Lilimolu, prêtre de l'ordre de Nald'thal"
82,"Client<Indent/>: Anonyme"
83,"Client<Indent/>: Guntram, des Soixante-dix-sept caravanes"
84,"Client<Indent/>: Aubelet, paladin des casques d'argent"
85,"Client<Indent/>: Solitary Elk, soldat du régiment de la Rose"
86,"Client<Indent/>: Alewyn, de la guilde des alchimistes"
87,"Client<Indent/>: Kokobi, soldat des lames de cuivre"
88,"Client<Indent/>: Zuzutyro, des Soixante-dix-sept caravanes"
89,"Client<Indent/>: Chechezan, soldat du régiment de la Rose"
90,"Client<Indent/>: Yayake, de la guilde des occultistes"
91,"Client<Indent/>: Drunken Stag, des Bons filons d'Amajina et Fils"
92,"Client<Indent/>: Havak Alvak, historien indépendant"
93,"Client<Indent/>: Aalot, soldat du régiment de l'Orchidée"
94,"Client<Indent/>: Tutusi, des Soixante-dix-sept caravanes"
95,"Client<Indent/>: Grifiud, habitant de Petite Ala Mhigo"
96,"Client<Indent/>: Ryumomo, soldat du régiment du Lotus"
97,"Client<Indent/>: Mamane, prêtre de l'ordre de Nald'thal"
98,"Client<Indent/>: Comité des constructeurs navals du Maelstrom"
99,"Client<Indent/>: Commandement du Maelstrom"
100,"Client<Indent/>: Infanterie spéciale du Maelstrom"
101,"Client<Indent/>: Comité du génie du Maelstrom"
102,"Client<Indent/>: 3e d'infanterie du Maelstrom"
103,"Client<Indent/>: Brigade du Sanglier noir"
104,"Client<Indent/>: Brigade du Blaireau bleu"
105,"Client<Indent/>: Brigade de la Loutre rouge"
106,"Client<Indent/>: Brigade du Loup blanc"
107,"Client<Indent/>: Brigade mhigoise des Immortels"
108,"Client<Indent/>: 1er régiment du génie des Immortels"
109,"Client<Indent/>: 2e régiment d'infanterie des Immortels"
110,"Client<Indent/>: Escadron des Ronces sanglantes"
111,"Client<Indent/>: Légion étrangère des Immortels"
112,"Client<Indent/>: 3e régiment d'infanterie des Immortels"
113,"Client<Indent/>: Ririphon, employé de la Maison Gegeruju"
114,"Client<Indent/>: Bango Zango, du Consortium de Brugaire"
115,"Client<Indent/>: Zwynwyda, de la métairie du Coq rouge"
116,"Client<Indent/>: Fewon Bulion, marchand indépendant"
117,"Client<Indent/>: H'rhanbolo, capitaine de la Princesse de glace"
118,"Client<Indent/>: Roarich, président des comptoirs d'Ashgana"
119,"Client<Indent/>: Gigiyon, des Soixante-dix-sept caravanes"
120,"Client<Indent/>: Mimina, des Soixante-dix-sept caravanes"
121,"Client<Indent/>: Frediswitha, des Soixante-dix-sept caravanes"
122,"Client<Indent/>: Vivenne, cantinière"
123,"Client<Indent/>: Lanquairt, cantinier"
124,"Client<Indent/>: Syele, de la Trouvaille de Saint-Coinach"
125,"Client<Indent/>: Duvicauroix, cantinier"
126,"Client<Indent/>: Marcelain, chevalier ishgardais"
127,"Client<Indent/>: Edmelle, astrologue de l'Observatoire"
128,"Client<Indent/>: Arthurioux, chevalier de la maison Fortemps"
129,"Client<Indent/>: Uwilsyng, promoteur du Colisée"
130,"Client<Indent/>: Rammbroes, anthropologue de la Trouvaille de Saint-Coinach"
131,"Client<Indent/>: Nazyl Duzyl, chercheur de la Trouvaille de Saint-Coinach"
132,"Client<Indent/>: Bataillon de la vipère jaune"
133,"Client<Indent/>: Blanbroes, des Bons filons d'Amajina et Fils"
134,"Client<Indent/>: Irmengard, des Bons filons d'Amajina et Fils"
135,"Client<Indent/>: Prairillot, chevalier de la maison Haillenarte"
136,"Client<Indent/>: Aimiliens, spécialiste en téléscopes"
137,"Client<Indent/>: Lancefer, chercheur à Manteneige"
138,"Client<Indent/>: Corentiaux, chevalier de la maison Fortemps"
139,"Client<Indent/>: Brunadier, chevalier de la maison Durendaire"
140,"Client<Indent/>: Hanrieaux, serviteur de la maison Durendaire"
141,"Client<Indent/>: Unsynwilf, cuisinier avant-gardiste"
142,"Client<Indent/>: Q'molosi, grossiste"
143,"Client<Indent/>: Fupepe, intermédiaire"
144,"Client<Indent/>: Daca Jinjahl, pêcheuse en rivières de forêt"
145,"Client<Indent/>: F'abodji, domestique du seigneur Gegeruju"
146,"Client<Indent/>: Drividot, pêcheur en rivières de montagne"
147,"Client<Indent/>: Louviaune, grossiste"
148,"Client<Indent/>: Clifton, membre de la Trouvaille de Saint-Coinach"
149,"Client<Indent/>: Aedoc, habitant du Moulin de la Carrière"
