key,0,1,2,3,4
#,,,,,
int32,byte,byte,int32,str,str
0,0,0,-1,"",""
1,1,4,82201,"Défense améliorée","Augmente l'effet de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Défense<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à 90%."
2,1,5,82202,"Prière améliorée","Augmente la puissance de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Prière<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à 5000."
3,2,3,82203,"Fureur améliorée","Permet de recevoir <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Brutalité<UIGlow>01</UIGlow><UIForeground>01</UIForeground> lorsque vous utilisez <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Fureur<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Brutalité<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> plus des dégâts sont subis pendant la durée de l'effet, plus la puissance de la prochaine action <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Frappes brutales<UIGlow>01</UIGlow><UIForeground>01</UIForeground> augmente.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s"
4,3,4,82204,"Coups de pied améliorés","Augmente l'effet de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Coups de pied<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à 7%."
5,3,6,82205,"Coups de pied améliorés II","Augmente l'effet de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Coups de pied<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à 9%."
6,4,3,82206,"Ciblage amélioré","Augmente l'effet de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Ciblage<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à 30% et permet aux attaques de toucher à coup sûr."
7,4,5,82207,"Ciblage amélioré II","Augmente l'effet de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Ciblage<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à 50% et permet aux attaques de toucher à coup sûr."
8,5,5,82208,"Iainuki amélioré","Augmente la puissance de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Iainuki<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à 500 et les chances d'infliger Mort à 10%."
9,6,2,82209,"Chants améliorés","Augmente l'effet de certains chants en fonction du niveau de job de soutien de barde fantôme."
10,12,6,82212,"Passe-partout","Permet d'ouvrir toutes les portes verrouillées dans un donjon."
11,9,5,82211,"Tir amélioré","Accorde 5% de chances d'infliger Mort à certaines cibles lors de l'utilisation de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Tir<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
12,7,5,82210,"Cloches améliorées","Augmente l'effet de chaque degré de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Cloche d'attaque<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à 5%.
Augmente la puissance curative de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Cloche de détente<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à 3000."
13,16,5,82213,"Préséance","Permet de recevoir <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Préséance<UIGlow>01</UIGlow><UIForeground>01</UIForeground> lorsque vous entrez en combat.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Préséance<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> la vitesse des attaques automatiques est augmentée, et les temps de lancement et de recharge des sorts et des techniques d'arme sont réduits.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 25s"
14,19,4,82214,"Magi Saut amélioré","Augmente la puissance de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Magi Saut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à 500 et son effet de réduction de dégâts à 90%."
15,21,1,82215,"Magi Apprentissage I","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Magi Missile<UIGlow>01</UIGlow><UIForeground>01</UIForeground> et <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Magi Aquasouffle<UIGlow>01</UIGlow><UIForeground>01</UIForeground> peuvent être appris.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Magi Missile<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 35% de chances d'infliger à certaines cibles un montant de dégâts égal à 75% des PV maximums.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Magi Aquasouffle<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> effectue une attaque magique neutre sur la cible et les ennemis autour."
