key,0
#,
int32,str
0,""
100,""
101,"Nos efforts ont payé, et les réparations devraient être terminées sous peu<Indent/>! Continuez de remplir les missions qui vous sont attribuées<Indent/>!"
102,"Fé<SoftHyphen/>li<SoftHyphen/>ci<SoftHyphen/>ta<SoftHyphen/>tions à tous<Indent/>! Les réparations sont maintenant terminées et l'alerte a été levée grâce à votre aide<Indent/>!"
103,"L'alerte rouge a été levée, la situation est de retour à la normale. Vous pouvez quitter les lieux, nos équipes se chargeront du reste."
104,"Nombre de prises"
105,"Type de prise"
106,"Évaluation actuelle"
107,"<Clickable(<SheetFr(Item,12,IntegerParameter(1),1,1)/>)/> fabriqué<If(<Sheet(Item,IntegerParameter(1),6)/>)>e<Else/></If>"
108,"<Clickable(<SheetFr(Item,12,IntegerParameter(1),1,1)/>)/> récolté<If(<Sheet(Item,IntegerParameter(1),6)/>)>e<Else/></If>"
109,"<Clickable(<SheetFr(Item,12,IntegerParameter(1),1,1)/>)/> (<If(Equal(IntegerParameter(2),1))>grosse prise<Else/>petite prise</If>) pêché<If(<Sheet(Item,IntegerParameter(1),6)/>)>e<Else/></If>"
110,"Livrer <SheetFr(EObj,7,IntegerParameter(1),1,1)/>"
111,"<Sheet(WKSMechaEventData,IntegerParameter(1),1)/>"
112,""
113,"<Sheet(WKSMissionText,IntegerParameter(1),0)/>"
114,"●<Sheet(WKSMechaEventData,IntegerParameter(1),2)/>"
115,"Participer"
116,"Contribution personnelle"
117,"<Clickable(<SheetFr(Item,12,IntegerParameter(1),1,1)/>)/>"
118,""
119,"Point de récolte"
120,"Accomplissez des missions cosmiques"
121,"<Clickable(<SheetFr(Item,12,IntegerParameter(1),1,1)/>)/> <If(<Sheet(Item,IntegerParameter(1),6)/>)>obtenue<Else/>obtenu</If> par éthérolyse"
122,"<Clickable(<SheetFr(Item,12,IntegerParameter(1),1,1)/>)/> <If(<Sheet(Item,IntegerParameter(1),6)/>)>obtenue<Else/>obtenu</If>"
123,"Cumul de <Unknown2F>FF1002280CFF07537461747573E8020103</Unknown2F>"
124,"Nombre de chaînes actuel"
125,"Multiplicateur d'évaluation actuel<Indent/>: <Value>IntegerParameter(1)</Value>%"
126,"[Bonus d'objectif]"
127,"Temps imparti<Indent/>: +<Value>IntegerParameter(1)</Value>:<TwoDigitValue>IntegerParameter(2)</TwoDigitValue>"
128,"PR<Indent/>: +<Value>IntegerParameter(1)</Value>"
129,"<Sheet(Action,IntegerParameter(1),0)/><Indent/>: +<Value>IntegerParameter(2)</Value>"
130,"Multiplicateur d'évaluation<Indent/>: +<Value>IntegerParameter(1)</Value>%"
131,"Cartouches de formule"
132,"Record<Indent/>: <Format(IntegerParameter(1),FF05021D0103)/>"
133,""
134,""
135,""
136,""
137,""
138,""
139,""
140,""
141,""
142,""
143,""
144,""
145,""
146,""
147,""
148,""
149,""
1000,""
1001,"●メカミッション:壁をぶっ壊せ!"
1002,"●メカミッション:隕石を受け止めろ！"
1003,"●メカミッション:ルナテンダーを追いかけろ"
1004,"●メカミッション:邪魔なキノコを掃除せよ"
1005,"●メカミッション:鉱石を取得せよ"
1006,"Début de l'in<SoftHyphen/>ter<SoftHyphen/>ven<SoftHyphen/>tion mécanique<Indent/>! Utilisez vos mécanos cosmiques pour détruire les grands cristaux corrompus<Indent/>!"
1007,"Cette fois-ci, nous devons concasser ces immenses minéraux pour récupérer leurs fragments. Ils feront d'excellents catalyseurs pour l'altération élémentaire."
1008,"Ces cristaux sont par<SoftHyphen/>ti<SoftHyphen/>cu<SoftHyphen/>liè<SoftHyphen/>rement solides, mais l'équipement de nos machines ne devrait pas avoir trop de mal à les pulvériser<Indent/>!"
1009,"Une fois à l'objectif, nous devrons effectuer quelques pré<SoftHyphen/>pa<SoftHyphen/>ra<SoftHyphen/>tions avant de commencer l'in<SoftHyphen/>ter<SoftHyphen/>ven<SoftHyphen/>tion. Faites attention à ne pas trop vous éloigner de la zone d'opérations<Indent/>!"
1010,"Merci pour votre par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pa<SoftHyphen/>tion à cette in<SoftHyphen/>ter<SoftHyphen/>ven<SoftHyphen/>tion mécanique<Indent/>! Utilisez la cosmoforeuse pour fragmenter les cristaux corrompus<Indent/>!"
1011,"L'analyseur de terrain a détecté un gisement caché<Indent/>! C'est le moment de pulvériser les minéraux<Indent/>!"
1012,"Nous avons récolté la moitié de l'objectif<Indent/>! Continuez comme ça<Indent/>!"
1013,"Encore un petit effort<Indent/>! Nous aurons bientôt suf<SoftHyphen/>fi<SoftHyphen/>sam<SoftHyphen/>ment de fragments de cristaux corrompus<Indent/>!"
1014,"Mission accomplie<Indent/>! Grâce aux efforts de tous, le projet va encore progresser d'un pas de géant<Indent/>!"
1015,"L'in<SoftHyphen/>ter<SoftHyphen/>ven<SoftHyphen/>tion est un échec... Ce n'est pas faute d'avoir essayé<Indent/>! Vous pouvez retourner à vos assignations respectives."
1016,"●目標に到達だ！
これよりボーナスタイムに突入するぞ！"
1017,"●メカの「●発破」が連打できるようになり、
お手伝いは「●範囲収集：大」を
いつでも使えるようになるぞ。"
1018,"●ジャンジャン石を集めて、
「●プレイヤー貢献度」を稼いでくれ！"
1019,"●目標に到達だ！
みんな、協力ありがとう。"
1020,"●残念ながら●ボーナスタイムは発生しなかったが、
作戦は成功だ！"
1021,"●報酬を受け取っておのおのの活動に戻ってくれ。
またの参加を期待している！	"
1022,"●ボーナスタイム終了！
作戦は大成功だ、みんな協力ありがとう。"
1023,"●報酬を受け取っておのおのの活動に戻ってくれ。
またの参加を期待している！"
1024,"La tempête magnétique devrait bientôt nous toucher... Nous ignorons ses effets sur nos équipements, alors gardez un œil attentif dessus."
