key,0,1,2,3,4,5,6,7,8,9
#,,,,,,,,,,
int32,int32,int32,byte,byte,byte,byte,byte,int32,str,str
0,0,0,0,0,0,0,0,0,"",""
1,20,0,30,3,1,1,1,15,"Flamme pompon","Inflige <Value>IntegerParameter(1)</Value> point<If(LessThanOrEqualTo(IntegerParameter(1),1))><Else/>s</If> de dégâts à un ennemi en face de vous.
Coût en PM<Indent/>: <Value>IntegerParameter(3)</Value>    Recharge<Indent/>: <Value>IntegerParameter(4)</Value> tour<If(LessThanOrEqualTo(IntegerParameter(4),1))><Else/>s</If>"
2,10,8,40,4,3,3,2,25,"Mini-météore pompon","Inflige <Value>IntegerParameter(1)</Value> point<If(LessThanOrEqualTo(IntegerParameter(1),1))><Else/>s</If> de dégâts aux ennemis dans l'aire d'effet située <Value>IntegerParameter(2)</Value> cases en face de vous.
Coût en PM<Indent/>: <Value>IntegerParameter(3)</Value>    Recharge<Indent/>: <Value>IntegerParameter(4)</Value> tour<If(LessThanOrEqualTo(IntegerParameter(4),1))><Else/>s</If>"
3,15,0,80,10,0,0,3,50,"Météore pompon","Inflige <Value>IntegerParameter(1)</Value> point<If(LessThanOrEqualTo(IntegerParameter(1),1))><Else/>s</If> de dégâts à tous les ennemis.
Coût en PM<Indent/>: <Value>IntegerParameter(3)</Value>    Recharge<Indent/>: <Value>IntegerParameter(4)</Value> tour<If(LessThanOrEqualTo(IntegerParameter(4),1))><Else/>s</If>"
4,50,0,10,1,0,0,4,0,"Soin pompon","Restaure <Value>IntegerParameter(1)</Value> PV.
Coût en PM<Indent/>: <Value>IntegerParameter(3)</Value>    Recharge<Indent/>: <Value>IntegerParameter(4)</Value> tour<If(LessThanOrEqualTo(IntegerParameter(4),1))><Else/>s</If>"
5,0,0,20,3,0,0,5,0,"Guérison pompon","Dissipe toutes les altérations d'état hormis Glas.
Coût en PM<Indent/>: <Value>IntegerParameter(3)</Value>    Recharge<Indent/>: <Value>IntegerParameter(4)</Value> tour<If(LessThanOrEqualTo(IntegerParameter(4),1))><Else/>s</If>"
6,0,0,30,3,0,0,6,0,"Barrière pompon","Crée sur vous une barrière absorbant les dégâts.
Durée de l'effet<Indent/>: <Value>IntegerParameter(5)</Value> tour<If(LessThanOrEqualTo(IntegerParameter(5),1))><Else/>s</If>
Coût en PM<Indent/>: <Value>IntegerParameter(3)</Value>    Recharge<Indent/>: <Value>IntegerParameter(4)</Value> tour<If(LessThanOrEqualTo(IntegerParameter(4),1))><Else/>s</If>"
7,0,0,20,3,0,0,7,0,"Lévitation pompon","Permet d'éviter les attaques au sol.
Durée de l'effet<Indent/>: <Value>IntegerParameter(5)</Value> tour<If(LessThanOrEqualTo(IntegerParameter(5),1))><Else/>s</If>
Coût en PM<Indent/>: <Value>IntegerParameter(3)</Value>    Recharge<Indent/>: <Value>IntegerParameter(4)</Value> tour<If(LessThanOrEqualTo(IntegerParameter(4),1))><Else/>s</If>"
8,0,0,50,99,0,0,8,0,"Résurrection pompon","Permet de ressusciter au<SoftHyphen/>to<SoftHyphen/>ma<SoftHyphen/>ti<SoftHyphen/>que<SoftHyphen/>ment en cas de K.O. pendant la durée de l'effet.
Durée de l'effet<Indent/>: permanent
Coût en PM<Indent/>: <Value>IntegerParameter(3)</Value>    Recharge<Indent/>: <Value>IntegerParameter(4)</Value> tour<If(LessThanOrEqualTo(IntegerParameter(4),1))><Else/>s</If>"
9,100,0,0,0,0,0,0,0,"",""
10,100,0,0,0,0,0,0,0,"",""
11,0,0,0,0,0,0,0,0,"",""
12,0,0,0,0,0,0,0,0,"",""
13,100,0,0,0,0,7,0,0,"",""
14,10,2,0,0,0,1,0,0,"",""
15,100,0,0,0,0,1,0,0,"",""
16,0,0,0,0,0,0,0,0,"",""
17,0,0,0,0,0,0,0,0,"",""
18,9999,0,0,0,0,0,0,0,"",""
