key,0,1
#,,
int32,str,str
0,"",""
1,"",""
2,"",""
3,"",""
4,"Difficulté réduite","Les changements suivants ont été apportés aux missions sadiques<Indent/>:
 - Le système qui mémorisait la progression a été retiré et il est désormais possible de refaire chaque instance autant de fois que désiré.
 - L'option “Progression” a été retirée des conditions de recrutement.
 - La récompense minimum est désormais d'un coffre.
 - La limite hebdomadaire d'objets pouvant être obtenus dans les coffres a été supprimée."
5,"Options","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Condition de groupement<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
“Déjà terminé” n'est disponible que pour les missions préalablement réussies.

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Objectif<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
“Réussir le raid” n'est sélectionnable que si la récompense hebdomadaire n'a pas encore été obtenue.

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Phase<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Cette option n'est disponible que si l'objectif “Entraînement” a été sélectionné. Spécifier une phase ne permet pas de sauter celles précédentes.

L'enregistrement sera annulé si la remise à zéro hebdomadaire a lieu entre-temps."
6,"Progression individuelle","La progression des missions “sadiques” les plus récentes est enregistrée indépendamment pour chaque joueur à des temps donnés, leur permettant de reprendre l'incursion à l'endroit où ils étaient parvenus.

Elle est réinitialisée tous les <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow><ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>dimanches</Case><Case(2)>lundis</Case><Case(3)>mardis</Case><Case(4)>mercredis</Case><Case(5)>jeudis</Case><Case(6)>vendredis</Case><Case(7)>samedis</Case></Switch> à <If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>h (temps réel)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
7,"Récompenses et coffres","Les personnages qui participent à une mission “sadique” qu'ils ont déjà terminée pendant la semaine en cours ne reçoivent pas de récompenses.

Par ailleurs, le nombre de ces joueurs influence celui des coffres apparaissant lors de l'incursion, ainsi que la quantité de récompenses qu'ils contiennent.
- Un coffre si aucun joueur n'a déjà accompli le raid dans la semaine en cours.
 - Un coffre contenant moins de récompenses si entre un et quatre joueurs ont déjà accompli le raid dans la semaine en cours.
 - Aucun coffre si cinq joueurs ou plus ont déjà accompli le raid dans la semaine en cours.

En cas d'enregistrement seul ou en équipe de moins de huit joueurs, le nombre de coffres et la quantité de récompenses qu'ils contiennent peuvent varier en fonction de la progression des membres ajoutés par groupement automatique."
