key,0,1,2,3,4,5,6,7
#,Name,Description,Icon,Action,Pet,MasterOrder,DisableOrder,
int32,str,str,Image,Action,Pet,bit&01,bit&02,bit&04
0,"","",405,0,0,False,True,False
1,"Renvoyer","Renvoie le familier.",530,0,0,False,True,False
2,"Suivre","Ordonne au familier de vous suivre.",529,0,0,False,True,False
3,"Se placer","Ordonne au familier de se placer à l'endroit désigné.",527,0,0,False,True,False
4,"Attendre","Ordonne au familier de rester où il est.",528,0,0,False,True,False
5,"Défendre","Ordonne au familier de n'attaquer que lorsque vous attaquez ou lorsque vous êtes attaqué<If(PlayerParameter(4))>e<Else/></If>.",531,0,0,False,True,False
6,"Passif","Ordonne au familier de n'attaquer que lorsque vous en donnez l'ordre.",532,0,0,False,True,False
7,"Libre arbitre","Ordonne au familier d'attaquer librement.",786,0,0,True,False,False
8,"Obéir","Ordonne au familier d'attaquer, mais il n'accomplit pas certaines actions sans votre ordre.",786,0,0,True,False,False
9,"Coup de vent","Effectue une attaque magique de vent sur la cible.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Puissance<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 90",786,637,1,True,False,False
10,"Éjection","Effectue une attaque magique de vent sur la cible.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Puissance<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 80
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Effet additionnel<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> projette la cible 15 yalms en arrière
En mode <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Obéir<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, requiert l'ordre du maître.",786,638,1,True,False,False
11,"Rafale descendante","Effectue une attaque magique de vent sur la cible et les ennemis autour.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Puissance<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 80
En mode <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Obéir<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, requiert l'ordre du maître.",786,639,1,True,False,False
12,"Émeraude scintillante","Augmente de 10% les dégâts magiques subis par la cible.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
En mode <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Obéir<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, requiert l'ordre du maître.",786,640,1,True,False,False
13,"Griffes","Effectue une attaque magique de terre sur la cible.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Puissance<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 70
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Effet additionnel<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> augmente l'inimitié envers le familier.",786,633,2,True,False,False
14,"Topaze scintillante","Effectue une attaque magique de terre sur les ennemis alentour.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Puissance<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 60
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Effet additionnel<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> augmente l'inimitié envers le familier.
En mode <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Obéir<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, requiert l'ordre du maître.",786,634,2,True,False,False
15,"Pelotonnement","Réduit de 20% les dégâts subis par le familier.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 20s
En mode <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Obéir<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, requiert l'ordre du maître.",786,635,2,True,False,False
16,"Charge","Effectue une attaque magique de terre sur la cible.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Puissance<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 60
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Effet additionnel<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> inflige Étourdissement.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 2s
En mode <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Obéir<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, requiert l'ordre du maître.",786,636,2,True,False,False
17,"Lame de vent","Effectue une attaque magique de vent sur la cible.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Puissance<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 100",786,792,5,True,False,False
18,"Onde de choc","Effectue une attaque magique de vent sur la cible.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Puissance<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 90
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Effet additionnel<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> projette la cible 15 yalms en arrière.
En mode <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Obéir<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, requiert l'ordre du maître.",786,793,5,True,False,False
19,"Taillade aérienne","Effectue une attaque magique de vent sur la cible et les ennemis autour.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Puissance<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 90
En mode <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Obéir<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, requiert l'ordre du maître.",786,794,5,True,False,False
20,"Contagion","Augmente de 10% les dégâts magiques subis par la cible.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
En mode <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Obéir<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, requiert l'ordre du maître.",786,795,5,True,False,False
