key,0,1
#,,
int32,str,str
0,"Abattre 1 <SheetFr(BNpcName,12,13089,1,1)/>",""
1,"Abattre 1 <SheetFr(BNpcName,12,13080,1,1)/>",""
2,"Abattre 1 <SheetFr(BNpcName,12,13096,1,1)/>",""
3,"Abattre 1 <SheetFr(BNpcName,12,13099,1,1)/>",""
4,"ALÉA avec éval. max.<Indent/>: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
5,"Abattre 1 <SheetFr(BNpcName,12,12931,1,1)/>",""
6,"Abattre 1 <SheetFr(BNpcName,12,12941,1,1)/>",""
7,"Abattre 1 <SheetFr(BNpcName,12,12949,1,1)/>",""
8,"Abattre 1 <SheetFr(BNpcName,12,12943,1,1)/>",""
9,"ALÉA avec éval. max.<Indent/>: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
10,"Abattre 1 <SheetFr(BNpcName,12,12956,1,1)/>",""
11,"Abattre 1 <SheetFr(BNpcName,12,12960,1,1)/>",""
12,"Abattre 1 <SheetFr(BNpcName,12,12964,1,1)/>",""
13,"Abattre 1 <SheetFr(BNpcName,12,12966,1,1)/>",""
14,"ALÉA avec éval. max.<Indent/>: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
15,"Abattre 1 <SheetFr(BNpcName,12,12972,1,1)/>",""
16,"Abattre 1 <SheetFr(BNpcName,12,12989,1,1)/>",""
17,"Abattre 1 <SheetFr(BNpcName,12,12991,1,1)/>",""
18,"Abattre 1 <SheetFr(BNpcName,12,12973,1,1)/>",""
19,"ALÉA avec éval. max.<Indent/>: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
20,"Abattre 1 <SheetFr(BNpcName,12,13116,1,1)/>",""
21,"Abattre 1 <SheetFr(BNpcName,12,13113,1,1)/>",""
22,"Abattre 1 <SheetFr(BNpcName,12,13104,1,1)/>",""
23,"Abattre 1 <SheetFr(BNpcName,12,13110,1,1)/>",""
24,"ALÉA avec éval. max.<Indent/>: <Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
25,"Abattre 1 <SheetFr(BNpcName,12,13121,1,1)/>",""
26,"Abattre 1 <SheetFr(BNpcName,12,13129,1,1)/>",""
