key,0,1,2,3,4,5
#,,,Name,Text,,
int32,byte,byte,SnipeTalkName,str,str,str
0,0,0,0,"","",""
1,0,0,0,"","",""
2,0,0,0,"","",""
3,0,0,0,"","",""
4,0,0,0,"","",""
5,0,0,0,"","",""
6,0,0,0,"","",""
7,0,0,0,"","",""
8,0,0,0,"","",""
9,0,0,0,"","",""
10,61,1,10,"Non, je ne suis pas à vendre<Indent/>! Pas à vendre, non<Indent/>! Même contre une pièce d'or voeburtoise, non non<Indent/>!","",""
11,61,1,11,"Alors, qu'est-ce qu'il y a dans ce bazar...","",""
12,61,1,12,"Il fait tellement sombre qu'on n'y voit pas plus loin que le bout de son nez...","",""
13,61,1,13,"Me regarder avec ces yeux de merlan frit ne me fera pas progresser plus vite, tu sais<Indent/>? Concentre-toi sur ces fresques, plutôt<Indent/>!","",""
14,61,1,14,"Aïeuh<Indent/>! Tu l'as fait exprès, avoue<Indent/>!","",""
15,57,7,0,"Stoïque dans la douleur, le bec-en-sabot ne bouge pas d'un ilm.","",""
16,61,1,15,"Tu m'as eu<Indent/>! Bravo pour ton sang-froid et tes réflexes<Indent/>!","",""
17,61,1,16,"Perdu, je porte un authentique casque des Tholl<Indent/>! Dommage, dommage<Indent/>!","",""
18,61,1,17,"Mouahahahaha<Indent/>! Tu m'as touché alors qu'il fallait pas<Indent/>! C'est bête, hein<Indent/>?","",""
19,57,7,0,"C'est le garçon que vous cherchez<Indent/>!","",""
20,57,7,0,"Cet “individu” n'a pas l'air de se cacher... D'ailleurs, ce n'est pas un Mystel.","",""
21,57,7,0,"Cette fresque semble très vieille. Le personnage au centre brandit une arme. Devant lui, une bête de couleur noire est au sol, entourée par plusieurs personnes qui semblent se réjouir.","",""
22,57,7,0,"Cette fresque semble assez vieille. Le personnage assis sur le trône semble avoir accordé une audience à une très grande foule.","",""
23,57,7,0,"Cette fresque semble dater un peu. Plusieurs personnages font face à ce qui semble être un tourbillon de Ténèbres. Le centre de l'image a été fortement détérioré.","",""
24,61,1,10,"C'est mon célèbre “pain baveux”<Indent/>! Il est fourré de fruits de cactus aigre-doux, donc sa mie reste moelleuse même s'il sèche. Parfait pour traverser le désert, oui oui<Indent/>!","",""
25,61,1,10,"Voici mon “jambon de la passion”, fait des meilleurs morceaux de chair de lézard et relevé d'épices mystère<Indent/>! Certains trouvent l'odeur un peu... <Emphasis>spéciale</Emphasis>, mais il n'y a rien de mieux pour se réchauffer la nuit, non non<Indent/>!","",""
26,61,1,10,"Oh, tu vas adorer mes “brochettes batraciennes”<Indent/>! J'attrape de petites grenouilles cachées sous les rochers et je les fais griller. Craquantes à l'extérieur, gluantes à l'intérieur, parfaites pour l'apéritif, oui oui<Indent/>!","",""
27,61,1,10,"Mon plus grand succès<Indent/>! Des vers blancs badigeonnés de miel onctueux. Une fois que tu auras goûté à mes “larves laiteuses”, tu ne pourras plus t'en passer, non non<Indent/>!","",""
28,57,7,0,"Vous avez trouvé la tablette<Indent/>!","",""
29,61,1,18,"Hmm... À mon avis, voici l'autel que nous cherchons, mais aucune trace du miroir aquatique, l'objet de culte emblématique du peuple de la Nuit. Je suppose qu'ils l'auront emporté avec eux après leur dernière visite...","",""
30,57,7,0,"Vous avez repéré l'individu suspect<Indent/>! Mais il s'est enfui en direction du village...","",""
31,57,7,0,"Le bec-en-sabot regarde droit devant lui. Ce n'est pas l'individu suspect.","",""
