key,0
#,Description
int32,str
0,""
1,"La vitalité est augmentée de 8 points."
2,"La vitalité est augmentée de 16 points."
3,"La vitalité est augmentée de 24 points."
4,"La vitalité est augmentée de 8 points."
5,"La vitalité est augmentée de 16 points."
6,"La vitalité est augmentée de 24 points."
7,"La force est augmentée de 8 points."
8,"La force est augmentée de 16 points."
9,"La force est augmentée de 24 points."
10,"Vous pouvez cumuler deux effets Vitesse de l'éclair."
11,"Vous pouvez cumuler trois effets Vitesse de l'éclair."
12,"La force est augmentée de 8 points."
13,"La force est augmentée de 16 points."
14,"La force est augmentée de 24 points."
15,"La dextérité est augmentée de 8 points."
16,"La dextérité est augmentée de 16 points."
17,"Accorde 20% de chances qu'<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Œil de faucon<UIGlow>01</UIGlow><UIForeground>01</UIForeground> vous soit octroyé lorsque vous utilisez <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Tir à l'arc puissant<UIGlow>01</UIGlow><UIForeground>01</UIForeground> avec succès.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30s"
18,"Les dégâts de base des actions sont augmentés de 10%."
19,"La dextérité est augmentée de 24 points."
20,"Les dégâts de base des actions sont augmentés de 20%."
21,"L'esprit est augmenté de 8 points."
22,"L'esprit est augmenté de 16 points."
23,"Les soins et les dégâts de base des actions sont augmentés de 10%."
24,"L'esprit est augmenté de 24 points."
25,"Accorde 15% de chances lors du lancement de Soin que le prochain Extra Soin ne consomme pas de PM.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s"
26,"Les soins et les dégâts de base des actions sont augmentés de 30%."
27,"L'in<SoftHyphen/>tel<SoftHyphen/>li<SoftHyphen/>gence est augmentée de 8 points."
28,"L'in<SoftHyphen/>tel<SoftHyphen/>li<SoftHyphen/>gence est augmentée de 16 points."
29,"Les soins et les dégâts de base des actions sont augmentés de 10%."
30,"L'in<SoftHyphen/>tel<SoftHyphen/>li<SoftHyphen/>gence est augmentée de 24 points."
31,"Les soins et les dégâts de base des actions sont augmentés de 30%."
32,"Accorde 40% de chances lors du lancement de <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Feu<UIGlow>01</UIGlow><UIForeground>01</UIForeground> que le prochain <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Méga Feu<UIGlow>01</UIGlow><UIForeground>01</UIForeground> soit instantané et qu'il ne consomme aucun PM."
33,"Accorde des chances aux dégâts périodiques de foudre que le prochain sort <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Foudre<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Extra Foudre<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Méga Foudre<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ou <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Giga Foudre<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ajoute la totalité de ses dégâts périodiques à ses dégâts de base, soit instantané et ne consomme aucun PM.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 40s
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Dégâts périodiques de Foudre/Méga Foudre<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 10% de chances.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Dégâts périodiques d'Extra Foudre/Giga Foudre<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 3% de chances."
34,"Vous bénéficiez au<SoftHyphen/>to<SoftHyphen/>ma<SoftHyphen/>ti<SoftHyphen/>que<SoftHyphen/>ment de l'effet Forestier lorsque vous devenez botaniste."
35,"Vous pouvez vous cacher d'ennemis de niveau 30 ou inférieur."
36,"Vous pouvez vous cacher d'ennemis de niveau 40 ou inférieur."
37,"Vous pouvez vous cacher d'ennemis de niveau 50 ou inférieur."
38,"Vous bénéficiez au<SoftHyphen/>to<SoftHyphen/>ma<SoftHyphen/>ti<SoftHyphen/>que<SoftHyphen/>ment de l'effet Prospecteur lorsque vous devenez mineur."
39,"Vous pouvez vous cacher d'ennemis de niveau 30 ou inférieur."
40,"Vous pouvez vous cacher d'ennemis de niveau 40 ou inférieur."
41,"Vous pouvez vous cacher d'ennemis de niveau 50 ou inférieur."
42,"Votre con<SoftHyphen/>nais<SoftHyphen/>san<SoftHyphen/>ce des arbres matures et de la végétation vous permet d'augmenter votre taux de récolte sous certaines conditions."
43,"Votre con<SoftHyphen/>nais<SoftHyphen/>san<SoftHyphen/>ce des arbres matures et de la végétation vous permet d'augmenter les tentatives de récolte sous certaines conditions."
