key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,str,str,str,str,byte,bit&01,uint16,byte,uint16,uint32,int32,uint32,uint32,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,"","","","","",0,False,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Campement bêta<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez aux missions cosmiques<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Campement bêta<Indent/>: collecte des matériaux","Nous avons besoin de matériaux pour agrandir la station<Indent/>! Merci de participer aux missions cosmiques<Indent/>!","Le moment tant attendu est enfin arrivé ! Nous sommes en train de 
réunir les matériaux nécessaires à l'agrandissement de la station !","Searchingway",0,False,158,1,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2,"Campement bêta<Indent/>: préparation
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tenez-vous prêts<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Campement bêta<Indent/>: préparation du chantier","Un projet d'ouvrage collectif visant à agrandir la station va bientôt commencer<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif va bientôt être lancé en vue 
d'agrandir la station ! Venez nous filer un coup de main !","Searchingway",0,False,158,2,0,241001,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
3,"Campement bêta<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez à l'effort collectif<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Campement bêta<Indent/>: chantier en cours","Un projet d'ouvrage collectif visant à agrandir la station est en cours<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif vient d'être 
lancé afin d'agrandir la station !","Searchingway",0,False,158,3,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
4,"Campement bêta<Indent/>: terminé
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Quartier libre<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Campement bêta<Indent/>: chantier terminé","L'agrandissement de la station est terminé<Indent/>! L'exploration spatiale continue, merci de votre coopération<Indent/>!","L'agrandissement de la station est terminé ! 
Un grand merci à tous les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants !","Searchingway",1,False,158,4,0,241002,1406,18,0,6,0,2,3,0,0,0,0,0,0,0,0,0
5,"Cosmo-navette centrale<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez aux missions cosmiques<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmo-navette centrale<Indent/>: collecte des matériaux","Nous avons besoin de matériaux pour installer un système de navettes<Indent/>! Merci de participer aux missions cosmiques<Indent/>!","Un nouveau système de navettes pour se déplacer à travers la station 
est prévu ! Nous sommes en train de réunir les matériaux nécessaires !","Searchingway",1,False,158,5,0,241003,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
6,"Cosmo-navette centrale<Indent/>: préparation
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tenez-vous prêts<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmo-navette centrale<Indent/>: préparation du chantier","Un projet d'ouvrage collectif visant à installer un système de navettes va bientôt commencer<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif va bientôt être lancé pour la con<SoftHyphen/>struc<SoftHyphen/>tion 
de la cosmo-navette centrale ! Venez nous filer un coup de main !","Searchingway",1,False,158,6,0,241003,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
7,"Cosmo-navette centrale<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez à l'effort collectif<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmo-navette centrale<Indent/>: chantier en cours","Un projet d'ouvrage collectif visant à installer un système de navettes est en cours<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif vient d'être lancé pour 
la con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette centrale !","Searchingway",1,False,158,7,0,241003,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
