key,0,1,2,3,4,5,6,7,8,9,10,11
#,PopRange,TerritoryType,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene,Name,Question
int32,Level,TerritoryType,DefaultTalk,DefaultTalk,DefaultTalk,WarpCondition,WarpLogic,Cutscene,Cutscene,bit&01,str,str
131072,0,0,0,0,0,1,1,0,0,False,"",""
131073,2040811,148,0,0,0,2,2,0,0,False,"",""
131074,3884000,204,590352,590353,0,3,1,0,0,False,"","Entrer dans la salle de commandement du Carquois<Indent/>?"
131075,3884182,132,0,0,0,1,1,0,0,False,"","Sortir de la salle de commandement du Carquois<Indent/>?"
131076,3878860,133,0,0,0,1,1,0,0,False,"","Sortir de la Chaire du Lotus<Indent/>?"
131077,1381039,152,590354,590355,0,4,1,0,0,False,"Aller à la jetée du Bouquet","Embarquer vers la jetée du Bouquet<Indent/>?"
131078,1381038,133,590356,590259,0,4,1,0,0,False,"","Embarquer vers Vieille Gridania<Indent/>?"
131079,4124796,177,0,0,0,5,3,0,0,False,"",""
131080,1359058,179,0,0,0,5,4,0,0,False,"",""
131081,4124801,178,0,0,0,5,5,0,0,False,"",""
131082,4125264,128,0,0,0,1,1,0,0,False,"","Voulez-vous sortir<Indent/>?"
131083,2232680,132,0,0,0,1,1,0,0,False,"","Voulez-vous sortir<Indent/>?"
131084,4125288,130,0,0,0,1,1,0,0,False,"","Voulez-vous sortir<Indent/>?"
131085,4107979,131,0,0,0,1,1,0,0,False,"","Sortir du Hall d'argent<Indent/>?"
131086,4143657,140,590441,590620,590448,6,1,0,0,False,"","Embarquer pour la crique du Croissant<Indent/>?
Coût<Indent/>: 40 gils"
131087,4143677,140,590442,590621,590449,6,1,0,0,False,"","Embarquer pour le Bazar argenté<Indent/>?
Coût<Indent/>: 40 gils"
131088,4107477,212,0,590450,0,7,1,0,0,False,"","Entrer dans le Refuge des sables<Indent/>?"
131089,4132388,140,0,0,0,1,1,0,0,False,"","Sortir du Refuge des sables<Indent/>?"
131090,4148347,212,0,590564,0,21,1,0,0,False,"","Entrer dans le salon de l'Aube<Indent/>?"
131091,4148350,212,0,0,0,1,1,0,0,False,"","Sortir du salon de l'Aube<Indent/>?"
131092,4158063,128,0,0,0,1,1,0,0,False,"Aérodrome de Limsa Lominsa (3e étage)","Aller à l'aérodrome de Limsa Lominsa<Indent/>?"
131093,4158069,128,0,0,0,1,1,0,0,False,"Guilde des aventuriers (1er étage)","Aller à la guilde des aventuriers<Indent/>?"
131094,4161445,129,0,0,0,1,1,0,0,False,"Bastingage (RDC)","Aller au Bastingage<Indent/>?"
131095,4164411,130,0,0,0,1,1,0,0,False,"Aérodrome d'Ul'dah (3e étage)","Aller à l'aérodrome d'Ul'dah<Indent/>?"
131096,4164414,131,0,0,0,1,1,0,0,False,"District politique (1er étage)","Aller au district politique<Indent/>?"
131097,4164413,130,0,0,0,1,1,0,0,False,"Marchés de l'allée du Rubis (RDC)","Aller aux marchés de l'allée du Rubis<Indent/>?"
131098,4087066,210,590451,590452,0,8,1,0,0,False,"","Entrer dans le Hall d'argent<Indent/>?"
131099,4165046,146,590611,0,0,1,1,0,0,False,"","Entrer dans la zone<Indent/>?"
131100,4165037,145,590610,0,0,1,1,0,0,False,"","Quitter la zone<Indent/>?"
131101,4103382,132,0,590530,590453,9,1,227,232,True,"Aller à Gridania","Embarquer pour Gridania<Indent/>?
Coût<Indent/>: 120 gils"
131102,4103399,128,0,590530,590453,9,1,227,230,True,"Aller à Limsa Lominsa","Embarquer pour Limsa Lominsa<Indent/>?
Coût<Indent/>: 120 gils"
131103,4103339,130,0,589916,590454,9,1,231,228,True,"Aller à Ul'dah","Embarquer pour Ul'dah<Indent/>?
Coût<Indent/>: 120 gils"
131104,4103399,128,0,589916,590454,9,1,231,230,True,"Aller à Limsa Lominsa","Embarquer pour Limsa Lominsa<Indent/>?
Coût<Indent/>: 120 gils"
131105,4103339,130,0,590531,590455,9,1,229,228,True,"Aller à Ul'dah","Embarquer pour Ul'dah<Indent/>?
Coût<Indent/>: 120 gils"
131106,4103382,132,0,590531,590455,9,1,229,232,True,"Aller à Gridania","Embarquer pour Gridania<Indent/>?
Coût<Indent/>: 120 gils"
131107,4165398,129,0,591076,590456,10,1,235,234,True,"","Aller à Limsa Lominsa<Indent/>?
Coût<Indent/>: 80 gils"
131108,4165376,140,0,591077,590457,10,1,233,236,True,"","Aller à la baie des Vêpres<Indent/>?
Coût<Indent/>: 80 gils"
131109,4165794,138,590514,590515,590622,11,1,0,0,False,"Aller à Port-aux-Ales","Aller à Port-aux-Ales<Indent/>?
Coût<Indent/>: 40 gils"
131110,4165749,129,590516,590517,590623,11,1,0,0,False,"Aller à Limsa Lominsa","Aller à Limsa Lominsa<Indent/>?
Coût<Indent/>: 40 gils"
131111,4165755,137,590518,590519,590624,12,1,0,0,False,"Aller à Costa del Sol","Aller à Costa del Sol<Indent/>?
Coût<Indent/>: 40 gils"
131112,4165749,129,590520,590521,590625,12,1,0,0,False,"Aller à Limsa Lominsa","Aller à Limsa Lominsa<Indent/>?
Coût<Indent/>: 40 gils"
131113,4165801,139,590510,0,590511,13,1,0,0,False,"Aller au comptoir de Jijiroon","Aller au comptoir de Jijiroon<Indent/>?
Coût<Indent/>: 40 gils"
131114,4165797,139,590512,0,590513,13,1,0,0,False,"Aller au comptoir de Memeroon","Aller au comptoir de Memeroon<Indent/>?
Coût<Indent/>: 40 gils"
131115,4165794,138,590522,590626,590628,14,1,0,0,False,"Aller à Port-aux-Ales","Aller à Port-aux-Ales<Indent/>?
Coût<Indent/>: 40 gils"
131116,4165877,135,590523,590627,590629,14,1,0,0,False,"Aller au quai de la Torche","Aller au quai de la Torche<Indent/>?
Coût<Indent/>: 40 gils"
131117,1317627,148,590524,590525,0,15,1,0,0,False,"Aller au-delà de la porte du Loup blanc","Sortir par la porte du Loup blanc<Indent/>?"
131118,1317561,132,590529,590526,0,15,1,0,0,False,"","Entrer dans Gridania<Indent/>?"
131119,4165759,137,590527,0,590630,16,1,0,0,False,"Aller à la ravine des Cueillepluies","Aller à la ravine des Cueillepluies<Indent/>?
Coût<Indent/>: 40 gils"
131120,4165758,137,590528,0,590631,16,1,0,0,False,"Aller à la Chute cachée","Aller à la Chute cachée<Indent/>?
Coût<Indent/>: 40 gils"
131121,3877982,205,590535,590536,0,19,1,0,0,False,"Aller à la Chaire du Lotus","Aller à la Chaire du Lotus<Indent/>?"
131122,4146949,198,590563,0,0,20,1,0,0,False,"Aller au salon de l'Amiral","Aller au salon de l'Amiral<Indent/>?"
131123,4169071,129,0,0,0,1,1,0,0,False,"","Sortir du salon de l'Amiral<Indent/>?"
131124,4190590,134,0,0,0,2,2,0,0,False,"",""
131125,4189532,141,0,0,0,2,2,0,0,False,"",""
131126,4165939,146,590603,0,0,1,1,0,0,False,"","Aller au Malm du Minotaure<Indent/>?"
131127,4165935,146,590604,0,0,1,1,0,0,False,"","Aller à la Thébaïde de Nald<Indent/>?"
131128,4103339,130,590607,0,0,1,1,0,0,False,"","Retourner à la salle d'attente<Indent/>?"
