key,0,1,2,3,4,5,6,7,8
#,,Item,Location[0],Location[1],Location[2],Location[3],Location[4],Location[5],
int32,uint16,Item,TerritoryType,TerritoryType,TerritoryType,TerritoryType,TerritoryType,TerritoryType,str
0,0,0,0,0,0,0,0,0,""
1,200,15168,148,135,141,0,0,0,"Je m'occupe de chat<Indent/>!"
2,201,15169,152,138,145,0,0,0,"Tourneboulant<Indent/>!"
3,202,15170,153,139,146,0,0,0,"Votre majordome est avancé<Indent/>!"
4,203,15171,154,180,134,0,0,0,"Ça va jeter un froid<Indent/>!"
5,204,15172,140,148,135,0,0,0,"Pathétique..."
6,205,15173,141,152,138,0,0,0,"C'est tourneboulant<Indent/>!"
7,206,15174,145,153,139,0,0,0,"Nom d'un chien<Indent/>!"
8,207,15175,146,154,180,0,0,0,"Noko noko<Indent/>!"
9,208,15176,134,140,148,0,0,0,"Tsss<Indent/>!"
10,209,15177,135,141,152,0,0,0,"Cœur de guerrier<Indent/>!"
11,210,15178,138,145,153,0,0,0,"Je te couvre<Indent/>!"
12,211,15179,139,146,154,0,0,0,"Mode Sommeil activé<Indent/>!"
13,212,15180,180,134,140,0,0,0,"Tir à vue<Indent/>!"
14,392,30803,397,398,399,400,401,402,"Votre Altesse<Indent/>!"
15,391,30804,397,398,399,400,401,402,"Qui m'aime me suive<Indent/>!"
16,390,30805,612,613,614,620,621,622,"Je ne faiblirai pas<Indent/>!"
17,393,30806,612,613,614,620,621,622,"Quel ennui..."
