key,0,1
#,,
int32,str,str
0,"TEXT_CTSMKDENTRANCE_00929_Q1_000_000","Que voulez-vous faire<Indent/>?"
1,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT","Explorer l'<InstanceContent><Sheet(ContentFinderCondition,IntegerParameter(1),43)/></InstanceContent>"
2,"TEXT_CTSMKDENTRANCE_00929_A1_000_001","En savoir plus sur l'île de Lunule"
3,"TEXT_CTSMKDENTRANCE_00929_A1_000_002","Rien en particulier"
4,"TEXT_CTSMKDENTRANCE_00929_A1_000_003","Voir le niveau de savoir et les devises"
5,"TEXT_CTSMKDENTRANCE_00929_A1_000_004","Voir les jobs de soutien"
6,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION_SOUTH","S'enregistrer pour l'<InstanceContent><Sheet(ContentFinderCondition,IntegerParameter(1),43)/></InstanceContent><Indent/>?
* Si votre niveau de savoir est supérieur à 20, il sera ajusté au<SoftHyphen/>to<SoftHyphen/>ma<SoftHyphen/>ti<SoftHyphen/>que<SoftHyphen/>ment à ce niveau."
7,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION","S'enregistrer pour l'<InstanceContent><Sheet(ContentFinderCondition,IntegerParameter(1),43)/></InstanceContent><Indent/>?"
8,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION_HARD","S'enregistrer pour l'<InstanceContent><Sheet(ContentFinderCondition,IntegerParameter(1),43)/></InstanceContent><Indent/>?"
9,"TEXT_CTSMKDENTRANCE_00929_A1_000_005","Oui"
10,"TEXT_CTSMKDENTRANCE_00929_A1_000_006","Non"
