key,0,1
#,,
int32,str,str
0,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_001","Hmm ? Non, moi c'est Researchingway ! Si vous êtes <If(PlayerParameter(4))>nouvelle<Else/>nouveau</If> sur le projet, adressez-vous plutôt à Searchingway pour qu'il vous explique en détail le fonc<SoftHyphen/>tion<SoftHyphen/>ne<SoftHyphen/>ment !"
1,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_016","Bienvenue sur Phaenna ! Et j'suis toujours pas Searchingway, mais Researchingway ! Avant de commencer vos activités ici, vous devriez lui parler !"
2,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_017","Bienvenue sur ce lointain caillou répondant au doux nom d'Oizys ! Avant toute chose, adressez-vous non pas à moi, Researchingway, mais à mon collègue Searchingway pour qu'il vous fasse un topo rapide<Indent/>!"
3,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_018","Bienvenue sur Auxesia<Indent/>! Ça fait une sacrée trotte depuis Ætherys, pas vrai<Indent/>? Moi, c'est Researchingway, et c'est sûrement Searchingway que vous cherchez... Allez donc lui parler pour qu'il vous explique la procédure et tout le tintouin<Indent/>!"
4,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_002","Z'êtes au laboratoire d'étude cosmique ! Ici, nous effectuons des analyses de données pour optimiser le déroulement du projet, et nous développons des outils pour nos collaborateurs !"
5,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_003","Ça vous dirait de participer à la recherche cosmique ? Y vous suffit d'effectuer des missions et de remplir les tâches associées, et lorsque vous aurez collecté assez de données, vous viendrez me les transmettre !"
6,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_004","Nos outils n'en sont encore qu'au stade de prototype, mais une fois que nos recherches auront progressé grâce à l'analyse des données, on pourra les améliorer et leur apporter de nouvelles fonctionnalités !"
7,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_100_005","Si vous êtes intéressé<If(PlayerParameter(4))>e<Else/></If>, vous aurez tous les détails qu'il vous faut en consultant votre tablette cosmique !"
