key,0,1
#,,
int32,str,str
0,"TEXT_VOICEMAN_07510_000020_ALXAAL","Aaaaah<Indent/>!"
1,"TEXT_VOICEMAN_07510_000030_ALXAAL","（★未使用／削除予定★）"
2,"TEXT_VOICEMAN_07510_000040_PRISHE","Il faut qu'on renvoie ce maudit lézard là d'où il vient<Indent/>! Le plus vite sera le mieux<Indent/>!"
3,"TEXT_VOICEMAN_07510_000050_PRISHE","En unissant nos forces, c'est comme si c'était déjà fait, pas vrai<Indent/>?"
4,"TEXT_VOICEMAN_07510_000060_ALXAAL","Tu as entièrement raison... Grâce à toi et à tous nos autres camarades, je sais désormais qui je suis vraiment."
5,"TEXT_VOICEMAN_07510_000070_ALXAAL","Détruire les ambitions de Sareel Ja en annihilant ce monstre marquera la fin de cette aventure, mais aussi le début d'une autre<Indent/>!"
6,"TEXT_VOICEMAN_07510_000100_SHANTOTTO","Oooohohohohoho<Indent/>!"
7,"TEXT_VOICEMAN_07510_000010_SAREELJA","（★未使用／削除予定★）"
