key,0,1
#,,
int32,str,str
0,"TEXT_BANALL410_05462_SEQ_00","Zelihali semble chercher quelqu'un du regard."
1,"TEXT_BANALL410_05462_SEQ_01","Zelihali vous a appris que Liplu et Wawkesa avaient quelque chose d'important à vous dire. Allez parler à ce dernier à l'embarcadère de Poga, à Kozama'uka."
2,"TEXT_BANALL410_05462_SEQ_02","Liplu vous a demandé de remettre une lettre d'invitation aux bienfaiteurs de Zirgorteh et une autre aux fermiers de Gok Golma. Dans un premier temps, rendez-vous au relais des Cimes, à Urqopacha, et parlez à Fahrafahr."
3,"TEXT_BANALL410_05462_SEQ_03","Fahrafahr a besoin d'étudier le contenu de la lettre en compagnie de Vuyargur. Pendant ce temps, allez rendre visite à Ryoqor Terteh."
4,"TEXT_BANALL410_05462_SEQ_04","Vous avez passé du bon temps avec Ryoqor Terteh et ses amis. Parlez à Fahrafahr."
5,"TEXT_BANALL410_05462_SEQ_05","Fahrafahr est prête à se plier en quatre pour faire aboutir le projet des dirigeants de Tural Voyages. À présent, allez remettre la seconde lettre à Ruvoll Ja, à Gok Golma."
6,"TEXT_BANALL410_05462_SEQ_06","Ruvoll Ja, Anggir, Gotoll Ja, ainsi que Bol Tst'ei et Ty'at Roh sont aux anges après avoir pris con<SoftHyphen/>nais<SoftHyphen/>san<SoftHyphen/>ce du projet commun. Retournez transmettre les réponses de vos camarades à Liplu, à l'embarcadère de Poga."
7,"TEXT_BANALL410_05462_SEQ_07","Le sourire malicieux de Liplu vous a indiqué qu'elle semblait manigancer quelque chose... mais quoi<Indent/>?"
8,"TEXT_BANALL410_05462_SEQ_08",""
9,"TEXT_BANALL410_05462_SEQ_09",""
10,"TEXT_BANALL410_05462_SEQ_10",""
11,"TEXT_BANALL410_05462_SEQ_11",""
12,"TEXT_BANALL410_05462_SEQ_12",""
13,"TEXT_BANALL410_05462_SEQ_13",""
14,"TEXT_BANALL410_05462_SEQ_14",""
15,"TEXT_BANALL410_05462_SEQ_15",""
16,"TEXT_BANALL410_05462_SEQ_16",""
17,"TEXT_BANALL410_05462_SEQ_17",""
18,"TEXT_BANALL410_05462_SEQ_18",""
19,"TEXT_BANALL410_05462_SEQ_19",""
20,"TEXT_BANALL410_05462_SEQ_20",""
21,"TEXT_BANALL410_05462_SEQ_21",""
