key,0,1
#,,
int32,str,str
0,"TEXT_FESHLX202_05468_SEQ_00","* <Emphasis>Cette quête est un événement à durée limitée.</Emphasis>

Pattin semble avoir très hâte de commencer la partie de cache-cache."
1,"TEXT_FESHLX202_05468_SEQ_01","Cette quête ne peut être commencée et effectuée que pendant la durée de l'événement saisonnier correspondant. Pour plus de détails, veuillez consulter The Lodestone.

Après votre discussion avec Pattin, vous vous mettez en route pour l'endroit où se déroulera la partie de cache-cache. Parlez au gardien du cimetière afin qu'il vous emmène sur place."
2,"TEXT_FESHLX202_05468_SEQ_02","Le gardien vous a guidé<If(PlayerParameter(4))>e<Else/></If> jusqu'au cimetière désaffecté, où les “enfants” sont en train de terminer les pré<SoftHyphen/>pa<SoftHyphen/>ra<SoftHyphen/>tions. Discutez avec Bea, qui n'attend plus que vous pour commencer.
* Si vous êtes ressorti<If(PlayerParameter(4))>e<Else/></If> du cimetière désaffecté, adressez-vous au gardien du cimetière qui se trouve à l'amphithéâtre de Mih Khetto pour y retourner."
3,"TEXT_FESHLX202_05468_SEQ_03","Les jeunes monstres vous ont expliqué que vous alliez devoir débusquer les vrais “enfants” costumés en leur lançant <SheetFr(EventItem,1,2003819,2,1)/>. Afin de vous assurer que vous avez bien compris les règles, une partie d'en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment a débuté. Trouvez Pattin parmi les illusions."
4,"TEXT_FESHLX202_05468_SEQ_04","Vous avez réussi à trouver le véritable Pattin et êtes désormais prêt<If(PlayerParameter(4))>e<Else/></If> à passer aux choses sérieuses. Observez les costumes étranges, puis utilisez <SheetFr(EventItem,1,2003819,2,1)/> sur ceux que vous pensez être vos partenaires de jeu afin de débusquer les cinq par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants. Les vrais “enfants” seront déguisés en ours, contrairement aux illusions."
5,"TEXT_FESHLX202_05468_SEQ_05","Vous avez réussi à trouver tous les joueurs. Retournez à l'entrée du cimetière et adressez-vous à Dodd, afin de faire une deuxième partie."
6,"TEXT_FESHLX202_05468_SEQ_06","Pattin a décidé qu'il voulait être celui qui chercherait les autres. Vous avez été débusqué<If(PlayerParameter(4))>e<Else/></If> par quelqu'un, sans doute Pattin, et la partie de cache-cache est maintenant terminée. Parlez à Pattin."
7,"TEXT_FESHLX202_05468_SEQ_07","D'après Pattin et les autres, personne n'a réussi à vous trouver. Mais alors, qui était dans le participant grimé qui vous a surpris<If(PlayerParameter(4))>e<Else/></If> plus tôt...<Indent/>? La femme à tête de citrouille vous a assuré que c'était pro<SoftHyphen/>ba<SoftHyphen/>ble<SoftHyphen/>ment quelqu'un d'inoffensif qui voulait simplement jouer avec vous. Elle vous a également accordé libre accès au cimetière désaffecté, à sa demeure et au manoir abandonné pendant toute la durée de la Veillée des saints. Dans leurs déguisements, humains et monstres, vivants et défunts, se confondent dans le joyeux chaos de la fête. Profitez de ces rencontres et de cette agitation propres à cette nuit ex<SoftHyphen/>cep<SoftHyphen/>tion<SoftHyphen/>nelle."
