key,0,1
#,,
int32,str,str
0,"TEXT_JOBXBM141_05496_SEQ_00","J'yhuh Tia est très satisfait de votre avancée."
1,"TEXT_JOBXBM141_05496_SEQ_01","Avant de progresser dans le Dédale bestial, votre mentor a souhaité voir comment se porte votre première bête. Reparlez-lui accompagné<If(PlayerParameter(4))>e<Else/></If> de votre cu sith."
2,"TEXT_JOBXBM141_05496_SEQ_02","Alors que vous étiez en pleine con<SoftHyphen/>ver<SoftHyphen/>sa<SoftHyphen/>tion, l'aventurier que vous aviez croisé aux Feuilles de carline, et qui vous avait informé<If(PlayerParameter(4))>e<Else/></If> de la présence d'une créature inédite – votre cu sith – dans la forêt, a déboulé au Bannock, visiblement à votre recherche. Sylmond, c'est son nom, vous a parlé de sa passion pour les bêtes, et après avoir passé un moment en votre compagnie, il est reparti vaquer à ses occupations. Loosefrox a tout à coup annoncé son intention de braver à son tour le Dédale bestial avant de s'en aller terminer le premier plateau. Quant à J'yhuh Tia, il vous a demandé d'obtenir au moins vingt prises dans votre bestiaire. Partez donc explorer les diverses contrées d'Éorzéa pour atteindre cet objectif avant de reparler à votre maître.
Les zones d'apparition de chaque bête sont indiquées dans le bestiaire de dresseur."
3,"TEXT_JOBXBM141_05496_SEQ_03","Puisque vous êtes désormais fin prêt<If(PlayerParameter(4))>e<Else/></If> à braver le deuxième plateau du Dédale bestial, retrouvez Lauda au ranch de Brancharquée."
4,"TEXT_JOBXBM141_05496_SEQ_04","Lauda vous a précisé qu'en pénétrant dans le Dédale en même temps que Loosefrox, vous allez chacun<If(PlayerParameter(4))>e<Else/></If> devoir affronter un double de l'autre afin de terminer le plateau. J'yhuh Tia vous a promis d'intervenir en cas de problème, mais vous devrez néanmoins tout donner pour être vainqueur et gagner ce défi.

* La prochaine quête de dresseur sera accessible auprès de Lauda une fois que vous aurez traversé avec succès le deuxième plateau du Dédale bestial."
5,"TEXT_JOBXBM141_05496_SEQ_05",""
6,"TEXT_JOBXBM141_05496_SEQ_06",""
7,"TEXT_JOBXBM141_05496_SEQ_07",""
8,"TEXT_JOBXBM141_05496_SEQ_08",""
9,"TEXT_JOBXBM141_05496_SEQ_09",""
10,"TEXT_JOBXBM141_05496_SEQ_10",""
11,"TEXT_JOBXBM141_05496_SEQ_11",""
