key,0,1
#,,
int32,str,str
0,"TEXT_KINGWK401_05483_SEQ_00","Searchingway veut discuter de l'étape suivante de son projet."
1,"TEXT_KINGWK401_05483_SEQ_01","Searchingway vous a annoncé avec joie le départ imminent du projet d'exploration pour une nouvelle planète<Indent/>: EG19. Rejoignez Cruisingway au cosmoport de la station Terra Firma, car elle n'attend plus que vous pour faire décoller le Galacticway."
2,"TEXT_KINGWK401_05483_SEQ_02","Une fois de plus, Cruisingway vous a accueilli<If(PlayerParameter(4))>e<Else/></If> à bord de sa navette spatiale. Faites preuve d'un peu patience et laissez-vous transporter jusqu'à destination."
3,"TEXT_KINGWK401_05483_SEQ_03","Après un bref saut éthérospatial, vous êtes arrivés sur EG19, une planète verdoyante que Namingway a décidé de baptiser “Auxesia”. Searchingway vous attend désormais à la station du Havre forestier pour discuter de la suite des événements."
4,"TEXT_KINGWK401_05483_SEQ_04","Vous avez enfin foulé le sol fertile d'Auxesia, où vous avez retrouvé Dylise et vos amis loporrites. Searchingway en a profité pour requérir de nouveau votre aide et donner le coup d'envoi pour cette nouvelle étape du projet d'exploration cosmique. Pendant que l'équipe de recherche passe la planète au peigne fin dans l'espoir de trouver des indices sur les mystérieux pionniers, contribuez au projet en remplissant les diverses missions publiées sur votre tablette cosmique et restez à l'affût d'éventuelles alertes<Indent/>!"
5,"TEXT_KINGWK401_05483_SEQ_05",""
6,"TEXT_KINGWK401_05483_SEQ_06",""
7,"TEXT_KINGWK401_05483_SEQ_07",""
8,"TEXT_KINGWK401_05483_SEQ_08",""
9,"TEXT_KINGWK401_05483_SEQ_09",""
10,"TEXT_KINGWK401_05483_SEQ_10",""
11,"TEXT_KINGWK401_05483_SEQ_11",""
12,"TEXT_KINGWK401_05483_SEQ_12",""
13,"TEXT_KINGWK401_05483_SEQ_13",""
14,"TEXT_KINGWK401_05483_SEQ_14",""
15,"TEXT_KINGWK401_05483_SEQ_15",""
16,"TEXT_KINGWK401_05483_SEQ_16",""
17,"TEXT_KINGWK401_05483_SEQ_17",""
18,"TEXT_KINGWK401_05483_SEQ_18",""
19,"TEXT_KINGWK401_05483_SEQ_19",""
20,"TEXT_KINGWK401_05483_SEQ_20",""
21,"TEXT_KINGWK401_05483_SEQ_21",""
22,"TEXT_KINGWK401_05483_SEQ_22",""
