key,0,1
#,,
int32,str,str
0,"TEXT_KINGWZ404_05489_SEQ_00","Theorizingway attend à nouveau l'arrivée de visiteurs importants."
1,"TEXT_KINGWZ404_05489_SEQ_01","Theorizingway vous a appris que des invités de l'académie de magie de Sharlayan, absents lors de la visite d'Oizys, allaient bientôt atterrir sur Auxesia. Lui et vous êtes ainsi allés accueillir Rurusha, Jude et Hinageshi, spé<SoftHyphen/>cia<SoftHyphen/>listes respectifs en archéologie, en astronomie et en anthropologie. Le Loporrite vous a <If(PlayerParameter(4))>chargée<Else/>chargé</If> de les accompagner et de répondre à leur question, <If(PlayerParameter(4))>forte<Else/>fort</If> de votre expérience sur le terrain. Pour commencer, rendez-vous près de Pousse vivace, et parlez à Jude."
2,"TEXT_KINGWZ404_05489_SEQ_02","Vous avez brièvement discuté du génie des Nagylvi en matière de con<SoftHyphen/>struc<SoftHyphen/>tions écologiques, ainsi que de la présence de traces écrites qui gagneraient à être déchiffrées. Poursuivez la visite autour de la cité de la Feuillaison, et voyez ce qu'en pense Hinageshi."
3,"TEXT_KINGWZ404_05489_SEQ_03","C'est avec un enthousiasme débordant qu'Hinageshi a découvert les habitations des Nagylvi. À vrai dire, vos trois invités ont tellement apprécié l'endroit qu'ils ont décidé de vous libérer pour poursuivre la visite de façon autonome. Vous pouvez donc dès à présent retourner auprès de Theorizingway, à la station du Havre forestier."
4,"TEXT_KINGWZ404_05489_SEQ_04","Vos trois invités de marque sont revenus comblés de leur balade sur Auxesia – Rurusha et Jude sont même allés jusqu'à dire qu'ils avaient redécouvert leur travail. Au passage, la vénérable archéologue a évoqué l'ouverture possible d'un département des sciences spatiales à l'académie de magie. Quant à Hinageshi, elle entend bien rapporter ses découvertes à son époux le professeur Tankin... mais pas avant d'avoir caressé les oreilles de Searchingway, qui sont apparemment devenues un objet de culte chez certaines étudiantes<Indent/>!"
5,"TEXT_KINGWZ404_05489_SEQ_05",""
6,"TEXT_KINGWZ404_05489_SEQ_06",""
7,"TEXT_KINGWZ404_05489_SEQ_07",""
8,"TEXT_KINGWZ404_05489_SEQ_08",""
9,"TEXT_KINGWZ404_05489_SEQ_09",""
10,"TEXT_KINGWZ404_05489_SEQ_10",""
11,"TEXT_KINGWZ404_05489_SEQ_11",""
