key,0,1
#,,
int32,str,str
0,"TEXT_SUBGSC801_05466_SEQ_00","* <Emphasis>Cette quête est un événement à durée limitée.</Emphasis>

Une charmante poupée magique de chat souhaite vous vanter les mérites d'une nouvelle attraction."
1,"TEXT_SUBGSC801_05466_SEQ_01","Cette quête ne peut être commencée et effectuée que pendant la durée de l'événement saisonnier correspondant. Pour plus de détails, veuillez consulter The Lodestone.

Alors que vous arpentiez les allées du Gold Saucer, une poupée magique de chat vous a appris qu'une nouvelle attraction intitulée “Frappe fatale” avait ouvert ses portes et vous a invité<If(PlayerParameter(4))>e<Else/></If> à retrouver W'zazanh au square des merveilles pour qu'elle vous guide sur place."
2,"TEXT_SUBGSC801_05466_SEQ_02","Après un petit échange de civilités avec W'zazanh, vous êtes entré<If(PlayerParameter(4))>e<Else/></If> au square des clavistes."
3,"TEXT_SUBGSC801_05466_SEQ_03","Vous êtes arrivé<If(PlayerParameter(4))>e<Else/></If> dans le nouveau square qui semble très animé. Il va falloir vous adresser au réceptionniste pour en apprendre plus au sujet de Frappe fatale avant d'attaquer une partie."
4,"TEXT_SUBGSC801_05466_SEQ_04","Vous avez découvert tous les détails concernant la mirifique attraction du Gold Saucer. Désormais, il ne vous reste plus qu'à vous jeter à l'eau et à vaincre des hordes d'ennemis à l'aide de votre clavier<Indent/>!"
5,"TEXT_SUBGSC801_05466_SEQ_05",""
6,"TEXT_SUBGSC801_05466_SEQ_06",""
7,"TEXT_SUBGSC801_05466_SEQ_07",""
8,"TEXT_SUBGSC801_05466_SEQ_08",""
9,"TEXT_SUBGSC801_05466_SEQ_09",""
10,"TEXT_SUBGSC801_05466_SEQ_10",""
11,"TEXT_SUBGSC801_05466_SEQ_11",""
12,"TEXT_SUBGSC801_05466_SEQ_12",""
13,"TEXT_SUBGSC801_05466_SEQ_13",""
14,"TEXT_SUBGSC801_05466_SEQ_14",""
15,"TEXT_SUBGSC801_05466_SEQ_15",""
16,"TEXT_SUBGSC801_05466_SEQ_16",""
17,"TEXT_SUBGSC801_05466_SEQ_17",""
18,"TEXT_SUBGSC801_05466_SEQ_18",""
19,"TEXT_SUBGSC801_05466_SEQ_19",""
20,"TEXT_SUBGSC801_05466_SEQ_20",""
21,"TEXT_SUBGSC801_05466_SEQ_21",""
