key,0,1,2,3,4
#,,,,,
int32,byte,byte,int32,str,str
0,0,0,-1,"",""
1,1,4,82201,"まもり効果アップ","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「まもり」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量を90％に上昇させる。"
2,1,5,82202,"いのり効果アップ","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「いのり」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の回復力を5000に上昇させる。"
3,2,3,82203,"あばれる効果アップ","自身に<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「肉斬骨断」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>が付与される。
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「肉斬骨断」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>効果中に受けたダメージ量によって、いちげきの威力が増加する。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>15秒"
4,3,4,82204,"けり効果アップ","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「けり」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量を7％に上昇させる。"
5,3,6,82205,"けり効果アップII","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「けり」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量を9％に上昇させる。"
6,4,3,82206,"ねらう効果アップ","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「ねらう」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量が30％に上昇し、さらに攻撃が必中になる。"
7,4,5,82207,"ねらう効果アップII","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「ねらう」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量が50％に上昇し、さらに攻撃が必中になる。"
8,5,5,82208,"いあいぬき効果アップ","いあいぬきの威力を500に上昇させる。さらに即死の確率を10％に上昇させる。"
9,6,2,82209,"うた効果アップ","うたの効果量をサポート吟遊詩人のサポートジョブレベルに応じて上昇させる。"
10,12,6,82212,"かぎあけ","ダンジョン内にある鍵のかかった扉を開けることができるようになる。"
11,9,5,82211,"ほうげき効果アップ","ほうげきの実行時、5％の確率で一部の対象を即死させる。"
12,7,5,82210,"ベル効果アップ","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「たたかいのベル」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量を5％に上昇させる。
さらに<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「いこいのベル」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の回復力を3000に上昇させる。"
13,16,5,82213,"せんせいこうげき","戦闘状態になると、自身に<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「せんせいこうげき」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>が付与される。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>せんせいこうげき効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のキャストタイムとリキャストタイムが短縮される。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>25秒"
14,19,4,82214,"マギ・ジャンプ効果アップ","マギ・ジャンプの威力が500に上昇し、さらに被ダメージ低下の効果量が90％になる。"
15,21,1,82215,"マギ・ラーニングI","マギ・ミサイル、マギ・アクアブレスがラーニング可能となる。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>マギ・ミサイル効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>一部の対象に35％の確率で現在ＨＰの75％分のダメージ。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>マギ・アクアブレス効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>対象とその周囲の敵に無属性範囲魔法攻撃。"
16,21,2,82216,"マギ・ラーニングII","マギ・エアロラ、マギ・マイティガードがラーニング可能となる。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>マギ・エアロラ効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>対象に風属性魔法攻撃。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>マギ・マイティガード効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>一定時間、自身と周囲のパーティメンバーの被ダメージを20％軽減させる。"
17,21,3,82217,"マギ・ラーニングIII","マギ・ホワイトウィンドがラーニング可能となる。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>マギ・ホワイトウィンド効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>自身と周囲のパーティメンバーのＨＰを、自身の現在ＨＰ分だけ回復する。
また、マギ・エアロラを修得している場合、マギ・エアロガがラーニング可能になる。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>マギ・エアロガ効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>対象とその周囲の敵に風属性範囲魔法攻撃。"
