key,0,1
#,,
int32,str,str
0,"<Sheet(BNpcName,13089,0)/>を1体討伐する",""
1,"<Sheet(BNpcName,13080,0)/>を1体討伐する",""
2,"<Sheet(BNpcName,13096,0)/>を1体討伐する",""
3,"<Sheet(BNpcName,13099,0)/>を1体討伐する",""
4,"F.A.T.E.で最高評価を獲得する：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
5,"<Sheet(BNpcName,12931,0)/>を1体討伐する",""
6,"<Sheet(BNpcName,12941,0)/>を1体討伐する",""
7,"<Sheet(BNpcName,12949,0)/>を1体討伐する",""
8,"<Sheet(BNpcName,12943,0)/>を1体討伐する",""
9,"F.A.T.E.で最高評価を獲得する：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
10,"<Sheet(BNpcName,12956,0)/>を1体討伐する",""
11,"<Sheet(BNpcName,12960,0)/>を1体討伐する",""
12,"<Sheet(BNpcName,12964,0)/>を1体討伐する",""
13,"<Sheet(BNpcName,12966,0)/>を1体討伐する",""
14,"F.A.T.E.で最高評価を獲得する：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
15,"<Sheet(BNpcName,12972,0)/>を1体討伐する",""
16,"<Sheet(BNpcName,12989,0)/>を1体討伐する",""
17,"<Sheet(BNpcName,12991,0)/>を1体討伐する",""
18,"<Sheet(BNpcName,12973,0)/>を1体討伐する",""
19,"F.A.T.E.で最高評価を獲得する：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
20,"<Sheet(BNpcName,13116,0)/>を1体討伐する",""
21,"<Sheet(BNpcName,13113,0)/>を1体討伐する",""
22,"<Sheet(BNpcName,13104,0)/>を1体討伐する",""
23,"<Sheet(BNpcName,13110,0)/>を1体討伐する",""
24,"F.A.T.E.で最高評価を獲得する：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
25,"<Sheet(BNpcName,13121,0)/>を1体討伐する",""
26,"<Sheet(BNpcName,13129,0)/>を1体討伐する",""
27,"<Sheet(BNpcName,13136,0)/>を1体討伐する",""
28,"<Sheet(BNpcName,13124,0)/>を1体討伐する",""
29,"F.A.T.E.で最高評価を獲得する：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
