key,0,1
#,,
int32,str,str
0,"TEXT_KINGKW303_05504_SEQ_00","<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>特殊ルール： クラス・ジョブ固定<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
蜃気楼の町のリディルセイルは、ファントムウェポンの強化に取りかかりたいようだ。"
1,"TEXT_KINGKW303_05504_SEQ_01","※本クエストには「<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> クラス・ジョブ固定」が、
　設定されています。
　受注時と同じクラス・ジョブでのみ進行できます。

リディルセイルと話した。「<Sheet(Item,50977,0)/>」を3個集めて、「ファントムウェポン」を所持した状態で、蜃気楼の町の「ドドックリ」に渡そう。

「<Sheet(Item,50977,0)/>」は、蜃気楼の町にいる「アーミナ」から交換できます。"
2,"TEXT_KINGKW303_05504_SEQ_02","ドドックリに「<Sheet(Item,50977,0)/>」を渡した。ファントム包丁によって幻影を切り裂き、ファントムウェポンの真の姿を暴きだした。しかしゲロルトが言うには、さらにその先の姿があるらしい。"
3,"TEXT_KINGKW303_05504_SEQ_03",""
4,"TEXT_KINGKW303_05504_SEQ_04",""
5,"TEXT_KINGKW303_05504_SEQ_05",""
6,"TEXT_KINGKW303_05504_SEQ_06",""
7,"TEXT_KINGKW303_05504_SEQ_07",""
8,"TEXT_KINGKW303_05504_SEQ_08",""
9,"TEXT_KINGKW303_05504_SEQ_09",""
10,"TEXT_KINGKW303_05504_SEQ_10",""
11,"TEXT_KINGKW303_05504_SEQ_11",""
12,"TEXT_KINGKW303_05504_SEQ_12",""
13,"TEXT_KINGKW303_05504_SEQ_13",""
14,"TEXT_KINGKW303_05504_SEQ_14",""
15,"TEXT_KINGKW303_05504_SEQ_15",""
16,"TEXT_KINGKW303_05504_SEQ_16",""
17,"TEXT_KINGKW303_05504_SEQ_17",""
18,"TEXT_KINGKW303_05504_SEQ_18",""
19,"TEXT_KINGKW303_05504_SEQ_19",""
20,"TEXT_KINGKW303_05504_SEQ_20",""
21,"TEXT_KINGKW303_05504_SEQ_21",""
22,"TEXT_KINGKW303_05504_SEQ_22",""
23,"TEXT_KINGKW303_05504_SEQ_23",""
